# PBAscii Data File  PDS Version 2.4.4
# Copyright (C) 2001  PGS Tigress UK Limited
#
# File created by avocat on 28/06/2004
# using pdsboot_base( PDS Version 2.4.4 )
#

SRCAPPL= project
SRCFILE= stdin

UNITS= METRIC

WELLNM= 15/12-A-12 A
OPERTR= PERTRA AS
WELLSYMB=      3

LNGTDE=     1.89051194
LATTDE=    58.07790889
NORTHING=      6438068.329790
EASTING=       434560.095640
PERMDAT= MSL
REFNAME= KB
PROJCOD=      1


# Elevation data: <Point> <Ref Datum> <Height> [<start date> <end date>]
#                                      metres

ELVREF= KB MSL   51.500000   28/12/2003 28/12/2003

DATTYP= DEVN
DESCRP= Deviation Survey
LNGTDE=     1.89051111
LATTDE=    58.07790833
REFDIR=     0.00000000
FDTSTAT=      0

#    <Depth>      <Inclination>    <Azimuth>
    0.00000000     0.00000000     0.00000000
   51.200001       0.00000000     0.00000000
  135.20000        0.00000000     0.00000000
  221.20000        0.55900002   320.28000
  232.20000        0.63000000   320.28000
  261.20001        0.60000002     7.0400000
  290.20001        1.2900000     43.080002
  319.20001        3.1600001     54.459999
  348.20001        4.9200001     63.570000
  376.20001        5.8499999     71.400002
  405.20001        6.3099999     61.709999
  445.20001        7.2800002     43.320000
  474.20001        7.5500002     43.099998
  503.20001        6.6999998     39.389999
  532.20001        5.7700000     40.919998
  560.20001        5.4899998     42.490002
  588.20001        5.6199999     41.250000
  618.20001        5.8099999     41.849998
  647.20001        5.9800000     43.020000
  676.20001        6.0300002     44.549999
  705.20001        5.2800002     37.709999
  734.20001        5.2800002     37.029999
  764.20001        5.3299999     38.360001
  794.20001        5.2500000     39.040001
  824.20001        5.1799998     39.599998
  852.20001        5.2900000     38.919998
  882.20001        5.2100000     37.860001
  911.20001        5.5500002     43.860001
  940.20001        5.7399998     46.549999
  969.20001        6.3299999     40.950001
  998.20001        6.6999998     39.439999
 1027.2000         6.6199999     40.880001
 1056.2000         6.4699998     42.299999
 1085.2000         6.3699999     39.570000
 1113.2000         6.3699999     40.169998
 1143.2000         6.3200002     43.770000
 1172.2000         6.1100001     45.150002
 1201.2000         6.0799999     47.029999
 1230.2000         6.1500001     47.220001
 1260.2000         5.9400001     48.790001
 1271.1801         5.9159999     48.657001
 1288.2000         5.8800001     48.450001
 1317.2000         5.9299998     48.580002
 1333.2000         5.9200001     50.410000
 1342.0000         5.9699998     49.924000
 1347.0000         5.9990001     49.651001
 1347.2000         6.0000000     49.639999
 1422.2000        11.220000     343.20999
 1448.9200        11.130000     335.09000
 1478.5000        11.210000     333.76001
 1505.8000        13.360000     330.94000
 1534.1000        15.060000     328.17001
 1562.6000        14.460000     326.79001
 1591.1000        15.410000     325.20999
 1619.9000        16.969999     325.07999
 1648.4000        19.059999     324.95001
 1676.3000        21.070000     324.92001
 1704.7000        22.480000     322.82001
 1733.5100        24.180000     319.82001
 1762.7000        25.940001     317.82001
 1790.1899        26.090000     317.09000
 1818.8000        25.920000     317.20999
 1847.1400        25.860001     317.01001
 1874.9900        25.950001     316.85999
 1903.2300        26.110001     316.97000
 1931.7500        26.410000     317.03000
 1960.2000        26.580000     317.26999
 1988.6400        26.690001     317.39001
 2017.5000        27.129999     317.56000
 2044.5000        26.860001     317.53000
 2072.7000        26.680000     317.64001
 2101.2000        26.330000     317.92999
 2129.8999        26.299999     318.14001
 2158.1001        26.090000     317.78000
 2186.5000        26.250000     318.01001
 2214.8999        26.830000     318.53000
 2243.7000        27.010000     318.44000
 2273.3999        27.100000     318.20001
 2299.3999        27.469999     318.10001
 2328.1001        27.480000     317.78000
 2356.7500        26.940001     317.54999
 2385.3101        26.430000     317.26999
 2391.0000        26.427999     317.25000
 2413.6499        26.420000     317.17001
 2441.9500        26.709999     317.47000
 2470.6001        27.160000     317.72000
 2499.5000        27.730000     317.98001
 2528.2000        27.790001     317.62000
 2555.7000        28.010000     317.89001
 2571.0000        28.069000     317.58499
 2584.3000        28.120001     317.32001
 2612.6001        28.530001     317.31000
 2641.1001        28.870001     317.51999
 2670.2000        29.480000     317.73999
 2697.7000        28.910000     317.82999
 2726.3999        29.059999     318.19000
 2754.7000        29.770000     318.23999
 2783.1001        30.379999     318.73999
 2811.6001        30.370001     318.47000
 2840.2000        30.860001     318.89001
 2953.3999        32.740002     319.04001
 2994.0000        33.359001     319.09601
 3074.1001        34.580002     319.20001
 3099.2400        35.223000     319.20499
 3105.0000        35.369999     319.20599
 3126.5000        35.919998     319.20999
 3156.0000        36.610001     319.67999
 3163.2000        36.720001     319.51001
 3182.3999        36.950001     319.91000
 3211.1001        36.610001     320.17999
 3239.1001        35.040001     320.92999
 3268.0000        34.400002     321.35999
 3305.0000        34.400002     321.35999

CDMETH= MCURV

#      <Depth>         <DX>           <DY>          <TVD>
    0.00000000     0.00000000     0.00000000     0.00000000
    2.0000000      0.00000000     0.00000000     2.0000000
    4.0000000      0.00000000     0.00000000     4.0000000
    6.0000000      0.00000000     0.00000000     6.0000000
    8.0000000      0.00000000     0.00000000     8.0000000
   10.000000       0.00000000     0.00000000    10.000000
   12.000000       0.00000000     0.00000000    12.000000
   14.000000       0.00000000     0.00000000    14.000000
   16.000000       0.00000000     0.00000000    16.000000
   18.000000       0.00000000     0.00000000    18.000000
   20.000000       0.00000000     0.00000000    20.000000
   22.000000       0.00000000     0.00000000    22.000000
   24.000000       0.00000000     0.00000000    24.000000
   26.000000       0.00000000     0.00000000    26.000000
   28.000000       0.00000000     0.00000000    28.000000
   30.000000       0.00000000     0.00000000    30.000000
   32.000000       0.00000000     0.00000000    32.000000
   34.000000       0.00000000     0.00000000    34.000000
   36.000000       0.00000000     0.00000000    36.000000
   38.000000       0.00000000     0.00000000    38.000000
   40.000000       0.00000000     0.00000000    40.000000
   42.000000       0.00000000     0.00000000    42.000000
   44.000000       0.00000000     0.00000000    44.000000
   46.000000       0.00000000     0.00000000    46.000000
   48.000000       0.00000000     0.00000000    48.000000
   50.000000       0.00000000     0.00000000    50.000000
   52.000000       0.00000000     0.00000000    52.000000
   54.000000       0.00000000     0.00000000    54.000000
   56.000000       0.00000000     0.00000000    56.000000
   58.000000       0.00000000     0.00000000    58.000000
   60.000000       0.00000000     0.00000000    60.000000
   62.000000       0.00000000     0.00000000    62.000000
   64.000000       0.00000000     0.00000000    64.000000
   66.000000       0.00000000     0.00000000    66.000000
   68.000000       0.00000000     0.00000000    68.000000
   70.000000       0.00000000     0.00000000    70.000000
   72.000000       0.00000000     0.00000000    72.000000
   74.000000       0.00000000     0.00000000    74.000000
   76.000000       0.00000000     0.00000000    76.000000
   78.000000       0.00000000     0.00000000    78.000000
   80.000000       0.00000000     0.00000000    80.000000
   82.000000       0.00000000     0.00000000    82.000000
   84.000000       0.00000000     0.00000000    84.000000
   86.000000       0.00000000     0.00000000    86.000000
   88.000000       0.00000000     0.00000000    88.000000
   90.000000       0.00000000     0.00000000    90.000000
   92.000000       0.00000000     0.00000000    92.000000
   94.000000       0.00000000     0.00000000    94.000000
   96.000000       0.00000000     0.00000000    96.000000
   98.000000       0.00000000     0.00000000    98.000000
  100.00000        0.00000000     0.00000000   100.00000
  102.00000        0.00000000     0.00000000   102.00000
  104.00000        0.00000000     0.00000000   104.00000
  106.00000        0.00000000     0.00000000   106.00000
  108.00000        0.00000000     0.00000000   108.00000
  110.00000        0.00000000     0.00000000   110.00000
  112.00000        0.00000000     0.00000000   112.00000
  114.00000        0.00000000     0.00000000   114.00000
  116.00000        0.00000000     0.00000000   116.00000
  118.00000        0.00000000     0.00000000   118.00000
  120.00000        0.00000000     0.00000000   120.00000
  122.00000        0.00000000     0.00000000   122.00000
  124.00000        0.00000000     0.00000000   124.00000
  126.00000        0.00000000     0.00000000   126.00000
  128.00000        0.00000000     0.00000000   128.00000
  130.00000        0.00000000     0.00000000   130.00000
  132.00000        0.00000000     0.00000000   132.00000
  134.00000        0.00000000     0.00000000   134.00000
  136.00000       -0.00249387     0.00300174   136.00000
  138.00000       -0.00872850     0.01050607   138.00000
  140.00000       -0.01496314     0.01801040   140.00000
  142.00000       -0.02119778     0.02551473   142.00000
  144.00000       -0.02743242     0.03301905   144.00000
  146.00000       -0.03366706     0.04052338   145.99983
  148.00000       -0.03990170     0.04802771   147.99980
  150.00000       -0.04613634     0.05553204   149.99977
  152.00000       -0.05237098     0.06303637   151.99974
  154.00000       -0.05860562     0.07054070   153.99969
  156.00000       -0.06484026     0.07804503   155.99966
  158.00000       -0.07107490     0.08554935   157.99963
  160.00000       -0.07730953     0.09305368   159.99960
  162.00000       -0.08354417     0.10055801   161.99957
  164.00000       -0.08977881     0.10806233   163.99954
  166.00000       -0.09601346     0.11556666   165.99951
  168.00000       -0.10224809     0.12307099   167.99948
  170.00000       -0.10848273     0.13057531   169.99945
  172.00000       -0.11471737     0.13807964   171.99942
  174.00000       -0.12095201     0.14558397   173.99939
  176.00000       -0.12718666     0.15308830   175.99936
  178.00000       -0.13342129     0.16059263   177.99933
  180.00000       -0.13965593     0.16809696   179.99930
  182.00000       -0.14589056     0.17560129   181.99927
  184.00000       -0.15212521     0.18310562   183.99924
  186.00000       -0.15835984     0.19060995   185.99919
  188.00000       -0.16459449     0.19811428   187.99916
  190.00000       -0.17082912     0.20561861   189.99913
  192.00000       -0.17706376     0.21312292   191.99910
  194.00000       -0.18329841     0.22062725   193.99907
  196.00000       -0.18953304     0.22813158   195.99904
  198.00000       -0.19576769     0.23563591   197.99901
  200.00000       -0.20200232     0.24314024   199.99898
  202.00000       -0.20823696     0.25064456   201.99895
  204.00000       -0.21447159     0.25814891   203.99890
  206.00000       -0.22070624     0.26565322   205.99887
  208.00000       -0.22694087     0.27315754   207.99884
  210.00000       -0.23317552     0.28066188   209.99881
  212.00000       -0.23941015     0.28816620   211.99878
  214.00000       -0.24564479     0.29567054   213.99875
  216.00000       -0.25187942     0.30317485   215.99872
  218.00000       -0.25811407     0.31067920   217.99869
  220.00000       -0.26434872     0.31818351   219.99866
  222.00000       -0.27339390     0.32907078   221.99860
  224.00000       -0.28665492     0.34503242   223.99849
  226.00000       -0.29991594     0.36099407   225.99838
  228.00000       -0.31317696     0.37695569   227.99828
  230.00000       -0.32643798     0.39291734   229.99817
  232.00000       -0.33969900     0.40887898   231.99806
  234.00000       -0.34619382     0.42744040   233.99796
