Halliburton Sperry-Sun

Pertra as
15/12-A-12 - A-12-14_TD

Block 15/12
VARG
15/12 Varg-A
Your Ref: Definitive A-12-14

DEPTH       DEVI        AZIM
M           DEG         DEG
        0.00        0.00        0.00
       51.20        0.00        0.00
      135.20        0.00        0.00
      221.20        0.56      320.28
      232.20        0.63      320.28
      261.20        0.60        7.04
      290.20        1.29       43.08
      319.20        3.16       54.46
      348.20        4.92       63.57
      376.20        5.85       71.40
      405.20        6.31       61.71
      445.20        7.28       43.32
      474.20        7.55       43.10
      503.20        6.70       39.39
      532.20        5.77       40.92
      560.20        5.49       42.49
      588.20        5.62       41.25
      618.20        5.81       41.85
      647.20        5.98       43.02
      676.20        6.03       44.55
      705.20        5.28       37.71
      734.20        5.28       37.03
      764.20        5.33       38.36
      794.20        5.25       39.04
      824.20        5.18       39.60
      852.20        5.29       38.92
      882.20        5.21       37.86
      911.20        5.55       43.86
      940.20        5.74       46.55
      969.20        6.33       40.95
      998.20        6.70       39.44
     1027.20        6.62       40.88
     1056.20        6.47       42.30
     1085.20        6.37       39.57
     1113.20        6.37       40.17
     1143.20        6.32       43.77
     1172.20        6.11       45.15
     1201.20        6.08       47.03
     1230.20        6.15       47.22
     1260.20        5.94       48.79
     1271.18        5.92       48.66
     1288.20        5.88       48.45
     1317.20        5.93       48.58
     1333.20        5.92       50.41
     1342.00        5.97       49.92
     1347.00        6.00       49.65
     1347.20        6.00       49.64
     1422.20       11.22      343.21
     1448.92       11.13      335.09
     1478.50       11.21      333.76
     1505.80       13.36      330.94
     1534.10       15.06      328.17
     1562.60       14.46      326.79
     1591.10       15.41      325.21
     1619.90       16.97      325.08
     1648.40       19.06      324.95
     1676.30       21.07      324.92
     1704.70       22.48      322.82
     1733.51       24.18      319.82
     1762.70       25.94      317.82
     1790.19       26.09      317.09
     1818.80       25.92      317.21
     1847.14       25.86      317.01
     1874.99       25.95      316.86
     1903.23       26.11      316.97
     1931.75       26.41      317.03
     1960.20       26.58      317.27
     1988.64       26.69      317.39
     2017.50       27.13      317.56
     2044.50       26.86      317.53
     2072.70       26.68      317.64
     2101.20       26.33      317.93
     2129.90       26.30      318.14
     2158.10       26.09      317.78
     2186.50       26.25      318.01
     2214.90       26.83      318.53
     2243.70       27.01      318.44
     2273.40       27.10      318.20
     2299.40       27.47      318.10
     2328.10       27.48      317.78
     2356.75       26.94      317.55
     2385.31       26.43      317.27
     2391.00       26.43      317.25
     2413.65       26.42      317.17
     2441.95       26.71      317.47
     2470.60       27.16      317.72
     2499.50       27.73      317.98
     2528.20       27.79      317.62
     2555.70       28.01      317.89
     2571.00       28.07      317.59
     2584.30       28.12      317.32
     2612.60       28.53      317.31
     2641.10       28.87      317.52
     2670.20       29.48      317.74
     2697.70       28.91      317.83
     2726.40       29.06      318.19
     2754.70       29.77      318.24
     2783.10       30.38      318.74
     2811.60       30.37      318.47
     2840.20       30.86      318.89
     2953.40       32.74      319.04
     2994.00       33.36      319.10
     3074.10       34.58      319.20
     3099.24       35.22      319.21
     3105.00       35.37      319.21
     3126.50       35.92      319.21
     3156.00       36.61      319.68
     3163.20       36.72      319.51
     3182.40       36.95      319.91
     3211.10       36.61      320.18
     3239.10       35.04      320.93
     3268.00       34.40      321.36
     3305.00       34.40      321.36
