Data from WELLPATH_ORIGINAL_SURVEY_POINTS_1.ASC has been resampled to 0.2m and
linearly interpolated between original survey points. Computed 2008-08-22.

HEADER INFORMATION	
----------------------------------------------------------------	
COMPANY:	BG Group
FIELD:	EXPLORATION - UTM Zone 31
WELL NAME:	15/12-19
WELLBORE NAME:	15/12-19
Drilled From:   Well Ref. Point
KICK OFF DEPTH: N/Am 
SURVEYNAME:     Definitive
SURVEYDATE:     2008-04-21
----------------------------------------------------------------	
CALCULATION METHOD: Minimum Curvature
DATUM NAME:         RKB@42.52
LAT REFERENCE:      Site
----------------------------------------------------------------	
SLOT EW MAP: 436239.01m
SLOT NS MAP: 6429787.29m
SURFACE LATITUDE MAP:   58°00'13.643N
SURFACE LONGITUDE  MAP: 001°55'16.368E
BOTTOM HOLE MD:  3212.00m 
BOTTOM HOLE TVD: 3211.35m 
BOTTOM HOLE EW MAP: 436244.60m
BOTTOM HOLE NS MAP: 6429796.98m
----------------------------------------------------------------	
WATER DEPTH:  85.00m 
KB-MSL:       42.52m 
SYSTEM DATUM: Mean Sea Level
----------------------------------------------------------------	
MAP-ZONE: UTM Zone 31, North 0 to 6E
NORTH REFERENCE: Grid
GEO DATUM: ED50 (International 1924)
VSDIR: 0
----------------------------------------------------------------	
SURVEY TYPE INFORMATION
235.80    - 654.00    15_12-19; 24'' MWD+SAG+SCC : MWD+SAG+SCC
668.60    - 1336.10   15_12-19; 17½" MWD+SAG+SCC : MWD+SAG+SCC
1364.00   - 2888.80   15_12-19; 12¼" MWD+SAG+SCC : MWD+SAG+SCC
2928.10   - 3188.60   15_12-19;  8½" MWD+SAG+SCC : MWD+SAG+SCC
3212.00   - 3212.00   15_12-19; Projection to TD : BLIND

----------------------------------------------------------------	
SURVEY LIST	
MD           Inc          AZI          TVD(RKB)     TVDS         X(m)         y(m)         NS           EW           DLS          Vsec
128.00       0.00         0.00         127.92       85.40        436239.01    6429787.29   0.00         0.00         0.00         0.00
128.20       0.00         1.01         128.12       85.60        436239.01    6429787.29   0.00         0.00         0.00         0.00
128.40       0.00         2.02         128.32       85.80        436239.01    6429787.29   0.00         0.00         0.00         0.00
128.60       0.00         3.03         128.52       86.00        436239.01    6429787.29   0.00         0.00         0.00         0.00
128.80       0.01         4.03         128.72       86.20        436239.01    6429787.29   0.00         0.00         0.00         0.00
129.00       0.01         5.04         128.92       86.40        436239.01    6429787.29   0.00         0.00         0.00         0.00
129.20       0.01         6.05         129.12       86.60        436239.01    6429787.29   0.00         0.00         0.00         0.00
129.40       0.01         7.06         129.32       86.80        436239.01    6429787.29   0.00         0.00         0.01         0.00
129.60       0.01         8.07         129.52       87.00        436239.00    6429787.30   0.00         -0.01        0.01         0.00
129.80       0.01         9.08         129.72       87.20        436239.00    6429787.30   0.01         -0.01        0.01         0.01
130.00       0.02         10.09        129.92       87.40        436239.00    6429787.30   0.01         -0.01        0.01         0.01
130.20       0.02         11.09        130.12       87.60        436239.00    6429787.30   0.01         -0.01        0.01         0.01
130.40       0.02         12.10        130.32       87.80        436239.00    6429787.30   0.01         -0.01        0.01         0.01
130.60       0.02         13.11        130.52       88.00        436239.00    6429787.30   0.01         -0.01        0.01         0.01
130.80       0.02         14.12        130.72       88.20        436239.00    6429787.30   0.01         -0.01        0.01         0.01
131.00       0.02         15.13        130.92       88.40        436239.00    6429787.30   0.01         -0.01        0.01         0.01
131.20       0.03         16.14        131.12       88.60        436239.00    6429787.30   0.01         -0.01        0.01         0.01
131.40       0.03         17.15        131.32       88.80        436239.00    6429787.30   0.01         -0.01        0.01         0.01
131.60       0.03         18.16        131.52       89.00        436239.00    6429787.30   0.01         -0.01        0.01         0.01
