HEADER INFORMATION	
----------------------------------------------------------------	
COMPANY:	BG Group
FIELD:	EXPLORATION - UTM Zone 31
WELL NAME:	15/12-19
WELLBORE NAME:	15/12-19
Drilled From	: Well Ref. Point
KICK OFF DEPTH:	N/Am 
SURVEYNAME:	Definitive
SURVEYDATE:	2008-04-21
PRINTED DATE:	2008-04-22
----------------------------------------------------------------	
CALCULATION METHOD:	Minimum Curvature
DATUM NAME:	RKB@42.52
LAT REFERENCE:	Site
----------------------------------------------------------------	
SLOT EW MAP:	436239.01m
SLOT NS MAP:	6429787.29m
SURFACE LATITUDE MAP:	58°00'13.643N
SURFACE LONGITUDE  MAP:	001°55'16.368E
BOTTOM HOLE MD:	3212.00m 
BOTTOM HOLE TVD:	3211.35m 
BOTTOM HOLE EW MAP:	436244.60m
BOTTOM HOLE NS MAP:	6429796.98m
----------------------------------------------------------------	
WATER DEPTH:	85.00m 
KB-MSL:	42.52m 
SYSTEM DATUM:	Mean Sea Level
----------------------------------------------------------------	
MAP-ZONE:	UTM Zone 31, North 0 to 6E
NORTH REFERENCE:	Grid
GEO DATUM:	ED50 (International 1924)
VSDIR:	0
----------------------------------------------------------------	
SURVEY TYPE INFORMATION
235.80    - 654.00    15_12-19; 24'' MWD+SAG+SCC : MWD+SAG+SCC
668.60    - 1336.10   15_12-19; 17½" MWD+SAG+SCC : MWD+SAG+SCC
1364.00   - 2888.80   15_12-19; 12¼" MWD+SAG+SCC : MWD+SAG+SCC
2928.10   - 3188.60   15_12-19; 8½" MWD+SAG+SCC : MWD+SAG+SCC
3212.00   - 3212.00   15_12-19; Projection to TD : BLIND

----------------------------------------------------------------	
SURVEY LIST	
MD          Inc        AZI         	TVD(RKB)   	TVDS     	X(m)        	y(m)        	NS          	EW     		DLS               Vsec        Lat              	Long
127.92  	0.00    	0.00      	127.92    	85.40     	436239.01   	6429787.29    	0.00        	0.00        	0.00        	0.00      	58°00'13.643N	001°55'16.368E	
190.20  	0.51    	313.68    	190.20    	147.68    	436238.81   	6429787.49    	0.19        	-0.20       	0.25        	0.19      	58°00'13.649N	001°55'16.356E	
235.80  	0.10    	4.87      	235.80    	193.28    	436238.66   	6429787.67    	0.37        	-0.34       	0.30        	0.37      	58°00'13.654N	001°55'16.347E	
263.10  	0.21    	200.89    	263.10    	220.58    	436238.65   	6429787.64    	0.35        	-0.36       	0.34        	0.35      	58°00'13.654N	001°55'16.346E	
291.80  	0.66    	191.23    	291.80    	249.28    	436238.60   	6429787.43    	0.14        	-0.41       	0.47        	0.14      	58°00'13.647N	001°55'16.343E	
320.80  	0.68    	192.40    	320.80    	278.28    	436238.53   	6429787.10    	-0.19       	-0.48       	0.03        	-0.19     	58°00'13.636N	001°55'16.339E	
349.70  	0.83    	193.89    	349.69    	307.17    	436238.44   	6429786.73    	-0.57       	-0.57       	0.16        	-0.57     	58°00'13.624N	001°55'16.334E	
377.80  	0.79    	190.04    	377.79    	335.27    	436238.36   	6429786.34    	-0.95       	-0.65       	0.07        	-0.95     	58°00'13.611N	001°55'16.330E	
437.60  	1.68    	174.39    	437.58    	395.06    	436238.37   	6429785.06    	-2.23       	-0.64       	0.47        	-2.23     	58°00'13.570N	001°55'16.332E	
465.40  	1.79    	179.14    	465.36    	422.84    	436238.42   	6429784.22    	-3.07       	-0.59       	0.20        	-3.07     	58°00'13.543N	001°55'16.336E	
494.40  	1.78    	185.44    	494.35    	451.83    	436238.38   	6429783.32    	-3.97       	-0.63       	0.20        	-3.97     	58°00'13.514N	001°55'16.334E	
