Data from WELLPATH_ORIGINAL_SURVEY_POINTS_1.ASC has been resampled to 0.2 meters and linearly interpolated between original survey points. Computed 2009-06-02

HEADER INFORMATION	
----------------------------------------------------------------	
COMPANY:	Talisman Energy Norway
FIELD:	EXPLORATION-UTM Zone 31
WELL NAME:	15/12-21 (Actual)
WELLBORE NAME:	15/12-21 (Actual)
Drilled From	: Well Ref. Point
KICK OFF DEPTH:	127.72 m
SURVEYNAME:	15/12-21 (Actual)
SURVEYDATE:	20-04-2009
PRINTED DATE:	29-04-2009
----------------------------------------------------------------	
CALCULATION METHOD:	Minimum Curvature
DATUM NAME:	RKB
LAT REFERENCE:	Site
----------------------------------------------------------------	
SLOT EW MAP:	434362.00m
SLOT NS MAP:	6454777.75m
SURFACE LATITUDE MAP:	58° 13' 40.534 N
SURFACE LONGITUDE  MAP:	1° 52' 56.859 E
BOTTOM HOLE MD:	3310.00 m
BOTTOM HOLE TVD:	3309.83 m
BOTTOM HOLE EW MAP:	434380.27m
BOTTOM HOLE NS MAP:	6454789.27m
----------------------------------------------------------------	
WATER DEPTH:	85.60 m
KB-MSL:	42.12 m
SYSTEM DATUM:	Mean Sea Level
----------------------------------------------------------------	
MAP-ZONE:	Zone 31N (0 E to 6 E)
NORTH REFERENCE:	Grid
GEO DATUM:	European 1950 - Mean
VSDIR:	360
----------------------------------------------------------------	
SURVEY TYPE INFORMATION
H  135.20 - 200.10 15/12-21; 36" SDS.MWD+SAG : MWD+SAG+SCC
H  240.10 - 1185.70 15/12-21; 17½" SDS.MWD+SAG : MWD+SAG+SCC
H  1220.80 - 2865.40 15/12-21; 12¼" SDS.MWD+SAG : MWD+SAG+SCC
H  2894.50 - 3289.50 15/12-21; 8½" SDS.MWD+SAG : MWD+SAG+SCC
H  3310.00 - 3310.00 15/12-21; EXTRAPOLATION TO TD : BLIND

----------------------------------------------------------------	
SURVEY LIST	
                  MD                 Inc       	         AZI            TVD(RKB)                TVDS                X(m)                y(m)                  NS                  EW                 DLS                Vsec
              127.80                0.00                0.00              127.72               85.60           434362.00          6454777.75                1.85                0.60                0.00                0.00
              128.00                0.02                1.27              127.92               85.80           434362.00          6454777.75                1.85                0.60                0.07                0.00
              128.20                0.04                2.54              128.12               86.00           434362.00          6454777.75                1.85                0.60                0.14                0.00
              128.40                0.05                3.82              128.33               86.21           434362.00          6454777.75                1.85                0.60                0.21                0.00
              128.60                0.07                5.09              128.53               86.41           434362.00          6454777.75                1.85                0.60                0.28                0.00
              128.80                0.09                6.36              128.73               86.61           434362.00          6454777.75                1.85                0.60                0.35                0.00
              129.00                0.11                7.63              128.93               86.81           434362.00          6454777.75                1.85                0.60                0.42                0.00
              129.20                0.12                8.91              129.14               87.02           434362.01          6454777.76                1.86                0.61                0.49                0.01
              129.40                0.14               10.18              129.34               87.22           434362.01          6454777.76                1.86                0.61                0.56                0.01
              129.60                0.16               11.45              129.54               87.42           434362.01          6454777.76                1.86                0.61                0.63                0.01
              129.80                0.18               12.72              129.74               87.62           434362.01          6454777.76                1.86                0.61                0.70                0.01
              130.00                0.19               14.00              129.94               87.82           434362.01          6454777.76                1.86                0.61                0.77                0.01
              130.20                0.21               15.27              130.15               88.03           434362.01          6454777.76                1.86                0.61                0.84                0.01
              130.40                0.23               16.54              130.35               88.23           434362.01          6454777.76                1.86                0.61                0.91                0.01
              130.60                0.25               17.81              130.55               88.43           434362.01          6454777.76                1.86                0.61                0.98                0.01
              130.80                0.26               19.09              130.75               88.63           434362.01          6454777.76                1.86                0.61                1.05                0.01
              131.00                0.28               20.36              130.95               88.83           434362.01          6454777.76                1.86                0.61                1.12                0.01
              131.20                0.30               21.63              131.16               89.04           434362.01          6454777.76                1.86                0.61                1.19                0.01
              131.40                0.32               22.90              131.36               89.24           434362.01          6454777.76                1.86                0.61                1.26                0.01
              131.60                0.33               24.18              131.56               89.44           434362.02          6454777.77                1.87                0.62                1.33                0.02
              131.80                0.35               25.45              131.76               89.64           434362.02          6454777.77                1.87                0.62                1.40                0.02
