HEADER INFORMATION	
----------------------------------------------------------------	
COMPANY:	Talisman Energy Norway
FIELD:	EXPLORATION-UTM Zone 31
WELL NAME:	15/12-21 (Actual)
WELLBORE NAME:	15/12-21 (Actual)
Drilled From	: Well Ref. Point
KICK OFF DEPTH:	127.72 m
SURVEYNAME:	15/12-21 (Actual)
SURVEYDATE:	20-04-2009
PRINTED DATE:	29-04-2009
----------------------------------------------------------------	
CALCULATION METHOD:	Minimum Curvature
DATUM NAME:	RKB
LAT REFERENCE:	Site
----------------------------------------------------------------	
SLOT EW MAP:	434362.00m
SLOT NS MAP:	6454777.75m
SURFACE LATITUDE MAP:	58° 13' 40.534 N
SURFACE LONGITUDE  MAP:	1° 52' 56.859 E
BOTTOM HOLE MD:	3310.00 m
BOTTOM HOLE TVD:	3309.83 m
BOTTOM HOLE EW MAP:	434380.27m
BOTTOM HOLE NS MAP:	6454789.27m
----------------------------------------------------------------	
WATER DEPTH:	85.60 m
KB-MSL:	42.12 m
SYSTEM DATUM:	Mean Sea Level
----------------------------------------------------------------	
MAP-ZONE:	Zone 31N (0 E to 6 E)
NORTH REFERENCE:	Grid
GEO DATUM:	European 1950 - Mean
VSDIR:	360
----------------------------------------------------------------	
SURVEY TYPE INFORMATION
H  135.20 - 200.10 15/12-21; 36" SDS.MWD+SAG : MWD+SAG+SCC
H  240.10 - 1185.70 15/12-21; 17½" SDS.MWD+SAG : MWD+SAG+SCC
H  1220.80 - 2865.40 15/12-21; 12¼" SDS.MWD+SAG : MWD+SAG+SCC
H  2894.50 - 3289.50 15/12-21; 8½" SDS.MWD+SAG : MWD+SAG+SCC
H  3310.00 - 3310.00 15/12-21; EXTRAPOLATION TO TD : BLIND

----------------------------------------------------------------	
SURVEY LIST	
MD         	Inc       	AZI    	TVD(RKB)   	TVDS       	X(m)        	y(m)        	NS          	EW          	DLS              	Vsec        	Lat                	Long
127.72  	0.00    	0.00      	127.72    	85.60     	434362.00   	6454777.75    	1.85        	0.60        	0.00        	0.00      	    58° 13' 40.534 N	     1° 52' 56.859 E	
135.20  	0.65    	47.08     	135.20    	93.08     	434362.03   	6454777.78    	1.88        	0.63        	2.59        	0.03      	    58° 13' 40.535 N	     1° 52' 56.860 E	
147.10  	0.57    	44.03     	147.10    	104.98    	434362.12   	6454777.87    	1.97        	0.72        	0.21        	0.12      	    58° 13' 40.538 N	     1° 52' 56.866 E	
163.40  	0.65    	30.04     	163.40    	121.28    	434362.22   	6454778.00    	2.11        	0.82        	0.32        	0.26      	    58° 13' 40.543 N	     1° 52' 56.872 E	
176.20  	0.76    	69.38     	176.20    	134.08    	434362.34   	6454778.10    	2.20        	0.94        	1.14        	0.35      	    58° 13' 40.546 N	     1° 52' 56.879 E	
190.60  	0.47    	45.67     	190.60    	148.48    	434362.47   	6454778.17    	2.27        	1.07        	0.79        	0.42      	    58° 13' 40.548 N	     1° 52' 56.887 E	
200.10  	0.65    	57.63     	200.10    	157.98    	434362.54   	6454778.23    	2.33        	1.14        	0.68        	0.48      	    58° 13' 40.550 N	     1° 52' 56.892 E	
242.10  	0.75    	65.07     	242.09    	199.97    	434363.00   	6454778.47    	2.57        	1.60        	0.09        	0.72      	    58° 13' 40.558 N	     1° 52' 56.919 E	
268.90  	0.73    	54.64     	268.89    	226.77    	434363.29   	6454778.65    	2.75        	1.89        	0.15        	0.90      	    58° 13' 40.564 N	     1° 52' 56.937 E	
298.70  	0.67    	43.45     	298.69    	256.57    	434363.57   	6454778.88    	2.98        	2.17        	0.15        	1.13      	    58° 13' 40.572 N	     1° 52' 56.954 E	
327.30  	0.82    	67.27     	327.29    	285.17    	434363.87   	6454779.08    	3.18        	2.47        	0.36        	1.33      	    58° 13' 40.578 N	     1° 52' 56.972 E	
385.00  	0.37    	65.96     	384.98    	342.86    	434364.42   	6454779.32    	3.42        	3.02        	0.23        	1.57      	    58° 13' 40.586 N	     1° 52' 57.006 E	
414.00  	0.35    	55.80     	413.98    	371.86    	434364.58   	6454779.41    	3.51        	3.18        	0.07        	1.66      	    58° 13' 40.589 N	     1° 52' 57.015 E	
443.00  	0.31    	53.08     	442.98    	400.86    	434364.72   	6454779.50    	3.60        	3.32        	0.04        	1.75      	    58° 13' 40.593 N	     1° 52' 57.023 E	
500.90  	0.35    	16.80     	500.88    	458.76    	434364.89   	6454779.77    	3.87        	3.49        	0.11        	2.02      	    58° 13' 40.601 N	     1° 52' 57.034 E	
