Data from WELLPATH_ORIGINAL_SURVEY_POINTS_1.ASC has been resampled to 0.2m and linearly interpolated between original survey points. Computed 2010-10-08 

15/12-23 Final Survey Report
Report Date:                                      October 6, 2010                                   Survey / DLS Computation Method:                  Minimum Curvature / Lubinski
Client:                                                                                             Vertical Section Azimuth:                         136.920°
Field:                                            Grevling 15/12-23                                 Vertical Section Origin:                          N 0.000 m, E 0.000 m
Structure / Slot:                                 Grevling / 15/12-23                               TVD Reference Datum:                              RKB
Well:                                             15/12-23                                          TVD Reference Elevation:                          26.0 m relative to MSL
Borehole:                                         15/12-23                                          Sea Bed / Ground Level Elevation:                 -85.800 m relative to MSL
UWI/API#:                                                                                           Magnetic Declination:                             -1.821°
Survey Name / Date:                               15/12-23 Def Surveys / April 8, 2010              Total Field Strength:                             50366.338 nT
Tort / AHD / DDI / ERD ratio:                     46.993° / 128.21 m / 4.297 / 0.037                Magnetic Dip:                                     71.448°
Grid Coordinate System:                           UTM Zone 31 on ED50 Datum                         Declination Date:                                 April 08, 2010
Location Lat/Long:                                N 58 13 0.784, E 1 53 3.875                       Magnetic Declination Model:                       BGGM 2009
Location Grid N/E Y/X:                            N 6453546.554 m, E 434456.123 m                   North Reference:                                  Grid North
Grid Convergence Angle:                           -0.94833856°                                      Total Corr Mag North -> Grid North:               -0.873°
Grid Scale Factor:                                0.99965266                                        Local Coordinates Referenced To:                  Structure Reference Point


    Measured Depth       Inclination      Azimuth Grid               TVD  Vertical Section     NS Grid North     EW Grid North               DLS          Northing           Easting          Latitude         Longitude
             ( m )           ( deg )           ( deg )             ( m )             ( m )             ( m )             ( m )      ( deg/30 m )             ( m )             ( m )
              0.00              0.00              0.00              0.00              0.00              0.00              0.00              0.00              0.00              0.00        6453546.55         434456.12
              0.20              0.00              0.00              0.20              0.00              0.00              0.00              0.00              0.00              0.00        6453546.55         434456.12
              0.40              0.00              0.01              0.40              0.00              0.00              0.00              0.00              0.00              0.00        6453546.55         434456.12
              0.60              0.00              0.01              0.60              0.00              0.00              0.00              0.00              0.00              0.00        6453546.55         434456.12
              0.80              0.00              0.02              0.80              0.00              0.00              0.00              0.00              0.00              0.00        6453546.55         434456.12
              1.00              0.00              0.02              1.00              0.00              0.00              0.00              0.00              0.00              0.00        6453546.55         434456.12
              1.20              0.00              0.03              1.20              0.00              0.00              0.00              0.00              0.00              0.00        6453546.55         434456.12
              1.40              0.00              0.03              1.40              0.00              0.00              0.00              0.00              0.00              0.00        6453546.55         434456.12
              1.60              0.00              0.04              1.60              0.00              0.00              0.00              0.00              0.00              0.00        6453546.55         434456.12
              1.80              0.00              0.04              1.80              0.00              0.00              0.00              0.00              0.00              0.00        6453546.55         434456.12
              2.00              0.00              0.04              2.00              0.00              0.00              0.00              0.00              0.00              0.00        6453546.55         434456.12
              2.20              0.00              0.05              2.20              0.00              0.00              0.00              0.00              0.00              0.00        6453546.55         434456.12
              2.40              0.00              0.05              2.40              0.00              0.00              0.00              0.00              0.00              0.00        6453546.55         434456.12
              2.60              0.01              0.06              2.60              0.00              0.01              0.00              0.00              0.01              0.00        6453546.56         434456.12
              2.80              0.01              0.06              2.80              0.00              0.01              0.00              0.00              0.01              0.00        6453546.56         434456.12
              3.00              0.01              0.07              3.00              0.00              0.01              0.00              0.00              0.01              0.00        6453546.56         434456.12
              3.20              0.01              0.07              3.20              0.00              0.01              0.00              0.00              0.01              0.00        6453546.56         434456.12
              3.40              0.01              0.08              3.40              0.00              0.01              0.00              0.00              0.01              0.00        6453546.56         434456.12
              3.60              0.01              0.08              3.60              0.00              0.01              0.00              0.00              0.01              0.00        6453546.56         434456.12
              3.80              0.01              0.08              3.80              0.00              0.01              0.00              0.00              0.01              0.00        6453546.56         434456.12
              4.00              0.01              0.09              4.00             -0.01              0.01              0.00              0.00              0.01              0.00        6453546.56         434456.12
              4.20              0.01              0.09              4.20             -0.01              0.01              0.00              0.00              0.01              0.00        6453546.56         434456.12
              4.40              0.01              0.10              4.40             -0.01              0.01              0.00              0.00              0.01              0.00        6453546.56         434456.12
              4.60              0.01              0.10              4.60             -0.01              0.01              0.00              0.00              0.01              0.00        6453546.56         434456.12
              4.80              0.01              0.11              4.80             -0.01              0.01              0.00              0.00              0.01              0.00        6453546.56         434456.12
              5.00              0.01              0.11              5.00             -0.01              0.01              0.00              0.00              0.01              0.00        6453546.56         434456.12
              5.20              0.01              0.12              5.20             -0.01              0.01              0.00              0.00              0.01              0.00        6453546.56         434456.12
              5.40              0.01              0.12              5.40             -0.01              0.01              0.00              0.00              0.01              0.00        6453546.56         434456.12
              5.60              0.01              0.12              5.60             -0.01              0.01              0.00              0.00              0.01              0.00        6453546.56         434456.12
              5.80              0.01              0.13              5.80             -0.01              0.01              0.00              0.00              0.01              0.00        6453546.56         434456.12
              6.00              0.01              0.13              6.00             -0.01              0.01              0.00              0.00              0.01              0.00        6453546.56         434456.12
              6.20              0.01              0.14              6.20             -0.01              0.01              0.00              0.00              0.01              0.00        6453546.56         434456.12
              6.40              0.01              0.14              6.40             -0.01              0.01              0.00              0.00              0.01              0.00        6453546.56         434456.12
              6.60              0.01              0.15              6.60             -0.01              0.01              0.00              0.00              0.01              0.00        6453546.56         434456.12
              6.80              0.01              0.15              6.80             -0.01              0.01              0.00              0.00              0.01              0.00        6453546.56         434456.12
              7.00              0.01              0.15              7.00             -0.01              0.01              0.00              0.00              0.01              0.00        6453546.56         434456.12
              7.20              0.01              0.16              7.20             -0.01              0.01              0.00              0.00              0.01              0.00        6453546.56         434456.12
              7.40              0.01              0.16              7.40             -0.01              0.01              0.00              0.00              0.01              0.00        6453546.56         434456.12
              7.60              0.01              0.17              7.60             -0.01              0.01              0.00              0.00              0.01              0.00        6453546.56         434456.12
              7.80              0.01              0.17              7.80             -0.01              0.01              0.00              0.00              0.01              0.00        6453546.56         434456.12
              8.00              0.02              0.18              8.00             -0.01              0.02              0.00              0.00              0.02              0.00        6453546.57         434456.12
              8.20              0.02              0.18              8.20             -0.01              0.02              0.00              0.00              0.02              0.00        6453546.57         434456.12
              8.40              0.02              0.19              8.40             -0.01              0.02              0.00              0.00              0.02              0.00        6453546.57         434456.12
              8.60              0.02              0.19              8.60             -0.01              0.02              0.00              0.00              0.02              0.00        6453546.57         434456.12
              8.80              0.02              0.19              8.80             -0.01              0.02              0.00              0.00              0.02              0.00        6453546.57         434456.12
              9.00              0.02              0.20              9.00             -0.01              0.02              0.00              0.00              0.02              0.00        6453546.57         434456.12
              9.20              0.02              0.20              9.20             -0.01              0.02              0.00              0.00              0.02              0.00        6453546.57         434456.12
              9.40              0.02              0.21              9.40             -0.01              0.02              0.00              0.00              0.02              0.00        6453546.57         434456.12
              9.60              0.02              0.21              9.60             -0.01              0.02              0.00              0.01              0.02              0.00        6453546.57         434456.12
              9.80              0.02              0.22              9.80             -0.01              0.02              0.00              0.01              0.02              0.00        6453546.57         434456.12
             10.00              0.02              0.22             10.00             -0.01              0.02              0.00              0.01              0.02              0.00        6453546.57         434456.12
             10.20              0.02              0.23             10.20             -0.01              0.02              0.00              0.01              0.02              0.00        6453546.57         434456.12
             10.40              0.02              0.23             10.40             -0.01              0.02              0.00              0.01              0.02              0.00        6453546.57         434456.12
             10.60              0.02              0.23             10.60             -0.01              0.02              0.00              0.01              0.02              0.00        6453546.57         434456.12
             10.80              0.02              0.24             10.80             -0.01              0.02              0.00              0.01              0.02              0.00        6453546.57         434456.12
             11.00              0.02              0.24             11.00             -0.01              0.02              0.00              0.01              0.02              0.00        6453546.57         434456.12
             11.20              0.02              0.25             11.20             -0.01              0.02              0.00              0.01              0.02              0.00        6453546.57         434456.12
             11.40              0.02              0.25             11.40             -0.01              0.02              0.00              0.01              0.02              0.00        6453546.57         434456.12
             11.60              0.02              0.26             11.60             -0.02              0.02              0.00              0.01              0.02              0.00        6453546.57         434456.12
             11.80              0.02              0.26             11.79             -0.02              0.02              0.00              0.01              0.02              0.00        6453546.57         434456.12
             12.00              0.02              0.27             11.99             -0.02              0.02              0.00              0.01              0.02              0.00        6453546.57         434456.12
             12.20              0.02              0.27             12.19             -0.02              0.02              0.00              0.01              0.02              0.00        6453546.57         434456.12
             12.40              0.02              0.27             12.39             -0.02              0.02              0.00              0.01              0.02              0.00        6453546.57         434456.12
             12.60              0.02              0.28             12.59             -0.02              0.02              0.00              0.01              0.02              0.00        6453546.57         434456.12
             12.80              0.02              0.28             12.79             -0.02              0.02              0.00              0.01              0.02              0.00        6453546.57         434456.12
             13.00              0.02              0.29             12.99             -0.02              0.02              0.00              0.01              0.02              0.00        6453546.57         434456.12
             13.20              0.03              0.29             13.19             -0.02              0.03              0.00              0.01              0.03              0.00        6453546.58         434456.12
             13.40              0.03              0.30             13.39             -0.02              0.03              0.00              0.01              0.03              0.00        6453546.58         434456.12
             13.60              0.03              0.30             13.59             -0.02              0.03              0.00              0.01              0.03              0.00        6453546.58         434456.12
             13.80              0.03              0.31             13.79             -0.02              0.03              0.00              0.01              0.03              0.00        6453546.58         434456.12
             14.00              0.03              0.31             13.99             -0.02              0.03              0.00              0.01              0.03              0.00        6453546.58         434456.12
             14.20              0.03              0.31             14.19             -0.02              0.03              0.00              0.01              0.03              0.00        6453546.58         434456.12
             14.40              0.03              0.32             14.39             -0.02              0.03              0.00              0.01              0.03              0.00        6453546.58         434456.12
             14.60              0.03              0.32             14.59             -0.02              0.03              0.00              0.01              0.03              0.00        6453546.58         434456.12
