  Well: 15/12-4
   UWI: 6211
 Units: m
    TD: 3140 m
LNGTDE: 1.903225
LATTDE: 58.05254444

     depth   inc      azi

     110       0       0
     336     0.5     208
     514    0.25     289
     543     0.5       9
     641    0.25     295
     746     0.5      29
     862    0.25      26
     968     0.5     189
    1073       1     190
    1179     0.5       0
    1294       1      79
    1399       1      49
    1505       1      60
    1614       1      20
    1722       1      21
    2419       1      34
    2570    0.25     323
    2606     0.5      40
    2674       1      10
    2688       1      19
    2726       1      10
    2785       1      16
    2840       2       0
    3140       2      36


Depth Mode          :  TVD
Depth Unit          :  International meters
Distance Unit       :  meters

UWI: 6211                      
Common: 15/12-4                                                                         
Measr. Depth    TVD Depth     X-Offset     Y-Offset
       110.000      110.000       -0.000       -0.000
       111.000      111.000       -0.002       -0.004
       112.000      112.000       -0.004       -0.008
       113.000      113.000       -0.006       -0.012
       114.000      114.000       -0.008       -0.015
       115.000      115.000       -0.010       -0.019
       116.000      116.000       -0.012       -0.023
       117.000      117.000       -0.014       -0.027
       118.000      118.000       -0.016       -0.031
       119.000      119.000       -0.018       -0.035
       120.000      120.000       -0.020       -0.039
       121.000      121.000       -0.023       -0.042
       122.000      122.000       -0.025       -0.046
       123.000      123.000       -0.027       -0.050
       124.000      124.000       -0.029       -0.054
       125.000      125.000       -0.031       -0.058
       126.000      126.000       -0.033       -0.062
       127.000      127.000       -0.035       -0.065
       128.000      128.000       -0.037       -0.069
       129.000      129.000       -0.039       -0.073
       130.000      130.000       -0.041       -0.077
       131.000      131.000       -0.043       -0.081
       132.000      132.000       -0.045       -0.085
       133.000      133.000       -0.047       -0.089
       134.000      134.000       -0.049       -0.092
       135.000      135.000       -0.051       -0.096
       136.000      136.000       -0.053       -0.100
       137.000      137.000       -0.055       -0.104
       138.000      138.000       -0.057       -0.108
       139.000      139.000       -0.059       -0.112
       140.000      140.000       -0.061       -0.116
       141.000      141.000       -0.064       -0.119
       142.000      142.000       -0.066       -0.123
       143.000      143.000       -0.068       -0.127
       144.000      144.000       -0.070       -0.131
       145.000      145.000       -0.072       -0.135
       146.000      146.000       -0.074       -0.139
       147.000      147.000       -0.076       -0.143
       148.000      148.000       -0.078       -0.146
       149.000      149.000       -0.080       -0.150
       150.000      149.999       -0.082       -0.154
       151.000      150.999       -0.084       -0.158
       152.000      151.999       -0.086       -0.162
       153.000      152.999       -0.088       -0.166
       154.000      153.999       -0.090       -0.170
       155.000      154.999       -0.092       -0.173
       156.000      155.999       -0.094       -0.177
       157.000      156.999       -0.096       -0.181
       158.000      157.999       -0.098       -0.185
       159.000      158.999       -0.100       -0.189
       160.000      159.999       -0.102       -0.193
       161.000      160.999       -0.104       -0.196
       162.000      161.999       -0.107       -0.200
       163.000      162.999       -0.109       -0.204
