Wellname,UWN,UTMnorth,UTMeast,MeasDepth(m),MeasTVD(m),Dip,Azimuth,Location(NS),Location(EW),Dogleg
15/12/04,6211,6435232,435264,110,110,0,0,6435232,435264,0
15/12/04,6211,6435232,435264,336,336,0.5,208,6435231,435263.6,0.07
15/12/04,6211,6435232,435264,514,513.99,0.25,289,6435231,435262.8,0.09
15/12/04,6211,6435232,435264,543,542.99,0.5,9,6435231,435262.8,0.54
15/12/04,6211,6435232,435264,641,640.99,0.25,295,6435231,435262.7,0.15
15/12/04,6211,6435232,435264,746,745.99,0.5,29,6435232,435262.7,0.16
15/12/04,6211,6435232,435264,862,861.99,0.25,26,6435233,435263,0.06
15/12/04,6211,6435232,435264,968,967.99,0.5,189,6435232,435263.1,0.21
15/12/04,6211,6435232,435264,1073,1072.98,1,190,6435231,435262.8,0.14
15/12/04,6211,6435232,435264,1179,1178.97,0.5,0,6435230,435262.7,0.15
15/12/04,6211,6435232,435264,1294,1293.96,1,79,6435229,435263.7,0.31
15/12/04,6211,6435232,435264,1399,1398.95,1,49,6435230,435265.2,0.15
15/12/04,6211,6435232,435264,1505,1504.93,1,60,6435231,435266.7,0.05
15/12/04,6211,6435232,435264,1614,1613.91,1,20,6435233,435267.9,0.19
15/12/04,6211,6435232,435264,1722,1721.89,1,21,6435235,435268.7,0.14
15/12/04,6211,6435232,435264,2419,2418.65,1,34,6435251,435277.1,0.01
15/12/04,6211,6435232,435264,2570,2569.63,0.25,323,6435253,435278,0.29
15/12/04,6211,6435232,435264,2606,2605.63,0.5,40,6435253,435278.1,0.42
15/12/04,6211,6435232,435264,2674,2673.62,1,10,6435254,435278.4,0.59
15/12/04,6211,6435232,435264,2688,2687.61,1,19,6435255,435278.5,0.59
15/12/04,6211,6435232,435264,2726,2725.6,1,10,6435256,435278.8,0.28
15/12/04,6211,6435232,435264,2785,2784.58,1,16,6435257,435279.1,0.15
15/12/04,6211,6435232,435264,2840,2839.56,2,0,6435259,435279.3,0.47
15/12/04,6211,6435232,435264,3140,3139.31,2,36,6435270,435283.5,0.16
