Wellname  UWN       UTM North UTM East  MD        TVD       DEV.      AZIMUTH   N/S       E/W       Dogleg
15/12-8        146616434946.27 439060.86         0         0                   0         0         0         0
15/12-8        146616434946.27 439060.86     199.3     199.3       0.4     266.2      0.05      0.69      0.06
15/12-8        146616434946.27 439060.86     227.7     227.7       0.7       274      0.04      0.97      0.33
15/12-8        146616434946.27 439060.86     256.1     256.1       0.6     194.5      0.17      1.18      0.88
15/12-8        146616434946.27 439060.86     284.5     284.5       0.1       210      0.34      1.23      0.53
15/12-8        146616434946.27 439060.86     313.5    313.49       0.3     253.9      0.38      1.31      0.25
15/12-8        146616434946.27 439060.86     342.5    342.49       0.3       291      0.37      1.46       0.2
15/12-8        146616434946.27 439060.86     370.4    370.39       0.1     265.9      0.35      1.55      0.23
15/12-8        146616434946.27 439060.86     399.9    399.89       0.2     299.1      0.33      1.62      0.13
15/12-8        146616434946.27 439060.86     428.8    428.79       0.3     250.7      0.33      1.73      0.23
15/12-8        146616434946.27 439060.86     457.4    457.39       0.1     266.2      0.37      1.82      0.22
15/12-8        146616434946.27 439060.86     486.2    486.19       0.2       257       0.4      1.89      0.13
15/12-8        146616434946.27 439060.86     515.2    515.19       0.1     261.5      0.41      1.96       0.1
15/12-8        146616434946.27 439060.86     544.5    544.49       0.3     245.8      0.45      2.06      0.21
15/12-8        146616434946.27 439060.86     573.1    573.09       0.2     244.3      0.52      2.16      0.14
15/12-8        146616434946.27 439060.86       609    608.99       0.4     258.7      0.58      2.33      0.22
15/12-8        146616434946.27 439060.86     642.1    642.09       0.1     351.4      0.58      2.45      0.38
15/12-8        146616434946.27 439060.86     727.8    727.79       0.2       247      0.56       2.6      0.09
15/12-8        146616434946.27 439060.86     816.2    816.19       0.5       323      0.32      2.97      0.17
15/12-8        146616434946.27 439060.86       902    901.99       0.4     354.6      0.28      3.22      0.09
15/12-8        146616434946.27 439060.86     988.9    988.89       0.4      52.2      0.77      3.01      0.13
15/12-8        146616434946.27 439060.86    1074.4   1074.38       0.4      92.5      0.94      2.48       0.1
15/12-8        146616434946.27 439060.86    1158.9   1158.88       0.4     135.1      0.72      1.98       0.1
15/12-8        146616434946.27 439060.86    1245.5   1245.48       0.8     167.6      0.09      1.63      0.18
15/12-8        146616434946.27 439060.86    1332.5   1332.47       0.4     267.2      0.69      1.81      0.33
15/12-8        146616434946.27 439060.86      1419   1418.97       0.7     228.8      1.06       2.5      0.16
15/12-8        146616434946.27 439060.86    1506.3   1506.27       0.6     205.9      1.82      3.11      0.09
15/12-8        146616434946.27 439060.86    1589.9   1589.86         1     200.2       2.9      3.55      0.15
15/12-8        146616434946.27 439060.86      1678   1677.94       1.3     207.6      4.51      4.28      0.11
15/12-8        146616434946.27 439060.86    1764.2   1764.12       1.4     185.6      6.42      4.83      0.18
15/12-8        146616434946.27 439060.86    1808.8    1808.7       1.4     177.4      7.51      4.86      0.13
15/12-8        146616434946.27 439060.86    1869.9   1869.79         1     176.8      8.78       4.8       0.2
15/12-8        146616434946.27 439060.86    1956.7   1956.57       1.5       190     10.66      4.95       0.2
15/12-8        146616434946.27 439060.86    2042.8   2042.64       1.2     204.2     12.59      5.52      0.16
15/12-8        146616434946.27 439060.86    2127.9   2127.72       1.4     204.7     14.35      6.32      0.07
15/12-8        146616434946.27 439060.86    2214.6   2214.39       1.9       229     16.25      7.84      0.29
15/12-8        146616434946.27 439060.86    2300.1   2299.85       1.7     244.9     17.72     10.06      0.19
15/12-8        146616434946.27 439060.86    2385.3      2385       1.9     269.2     18.28     12.62      0.28
15/12-8        146616434946.27 439060.86    2471.1   2470.77       1.6     251.6     18.68     15.18      0.21
15/12-8        146616434946.27 439060.86    2530.2   2529.85       1.1     218.1     18.68     16.31      0.46
15/12-8        146616434946.27 439060.86      2588   2587.64         1     219.5     19.38     16.97      0.05
15/12-8        146616434946.27 439060.86      2625   2624.63      0.94    236.24     20.21     17.43      0.23
15/12-8        146616434946.27 439060.86      2630   2629.63         2       110     20.63     17.38     15.99
15/12-8        146616434946.27 439060.86      2643   2642.62       2.5       110     20.68      16.9      1.15
15/12-8        146616434946.27 439060.86      2652   2651.61       2.9       110     20.85     16.51      1.33
15/12-8        146616434946.27 439060.86      2658   2657.61       3.1       110        21     16.21         1
15/12-8        146616434946.27 439060.86      2671   2670.58       3.4     111.7     21.11     15.52      0.73
15/12-8        146616434946.27 439060.86      2679   2678.57       3.6     111.3     21.37     15.07      0.76
15/12-8        146616434946.27 439060.86      2687   2686.55       3.8     115.5     21.55      14.6      1.26
15/12-8        146616434946.27 439060.86      2703   2702.51       4.2     115.2     21.75     13.59      0.75
15/12-8        146616434946.27 439060.86      2716   2715.48       4.5     111.7     22.23     12.68      0.92
15/12-8        146616434946.27 439060.86      2733   2732.42       4.9     114.1     22.62      11.4      0.79
15/12-8        146616434946.27 439060.86      2745   2744.37       5.3     115.2     23.17     10.43      1.03
15/12-8        146616434946.27 439060.86      2774   2773.23       5.9     113.1     23.61      7.85      0.66
15/12-8        146616434946.27 439060.86      2803   2802.07       6.4       112     24.77      4.98      0.53
15/12-8        146616434946.27 439060.86      2832   2830.89       6.2     115.2     25.96      2.06      0.42
15/12-8        146616434946.27 439060.86      2934   2932.41       4.9       120     27.23      6.69      0.41
15/12-8        146616434946.27 439060.86    2761.1   2760.72      0.81     263.9     31.75
15/12-8        146616434946.27 439060.86      2864    2863.6      1.18    254.54
15/12-8        146616434946.27 439060.86      2939   2938.58      1.48    247.88
15/12-8        146616434946.27 439060.86      3024   3023.54      1.92    269.08
15/12-8        146616434946.27 439060.86      3046   3045.53       1.7    268.12
