# Tigress ASCII Data File Version 4.1
# Copyright (c) 1993 Simon Petroleum Technology Ltd.
# 
# File created on 16/10/1996
#              at 14:04:54
#              by user cpi
# 
# using TIGRESS Deviation file conversion.
 
# Global Units Information
UNIT_DEPTH= m
UNIT_OFFSET= m
 
# Well Information
WELLNM= 15/2-1
OPERTR= NORSK HYDRO A/S
 
# Deviation Data Information
DATTYP= DEVN
 
DESCRP= DEV SURVEY
LNGTDE=      1.59459444
LATTDE=     58.75543611
REFDIR=      0.00000000
 
#    <Depth><Inclination>    <Azimuth>
   196.00000      0.00000      0.00000
   284.00000      0.25000    162.00000
   397.00000      0.25000     94.00000
   481.00000      0.75000    132.00000
   594.00000      0.50000    127.00000
   698.00000      0.50000    137.00000
   783.00000      0.25000    228.00000
   896.00000      0.50000    218.00000
   981.00000      0.25000    185.00000
  1094.00000      0.50000    205.00000
  1179.00000      0.50000    121.00000
  1292.00000      0.75000    120.00000
  1405.00000      0.75000    104.00000
  1490.00000      0.50000     10.00000
  1603.00000      0.50000    351.00000
  1716.00000      0.75000    379.00000
  1800.00000      0.75000      0.00000
  1885.00000      1.00000    376.00000
  1999.00000      0.75000    351.00000
  2083.00000      1.00000    120.00000
  2196.00000      1.00000    118.00000
  2281.00000      1.00000    117.00000
  2394.00000      0.50000    114.00000
  2507.00000      0.25000    212.00000
  2592.00000      1.00000    261.00000
  2692.00000      0.75000    211.00000
  2750.00000      0.25000    274.00000
  2924.00000      0.75000     24.00000
  3028.00000      3.75000     31.00000
  3171.00000      4.00000      5.00000
  3275.00000      4.50000      3.00000
  3360.00000      5.50000      5.00000
  3464.00000      5.00000      8.00000
  3558.00000      4.50000      4.00000
  3653.00000      4.25000    353.00000
  3786.00000      6.00000    348.00000
  3887.00000      6.00000    332.00000
  4038.00000      0.25000    359.00000
  4285.00000      6.25000    358.00000
  4375.00000      0.75000    255.00000
  4421.00000      8.25000     16.00000
 
CDMETH= MCURV
 
#    <Depth>         <DX>         <DY>        <TVD>
   196.00000      0.00000      0.00000    196.00000
   197.00000      0.00067     -0.00207    197.00000
   198.00000      0.00135     -0.00415    198.00000
   199.00000      0.00202     -0.00622    198.99998
   200.00000      0.00270     -0.00830    199.99998
   201.00000      0.00337     -0.01037    200.99998
   202.00000      0.00405     -0.01245    201.99998
   203.00000      0.00472     -0.01452    202.99998
   204.00000      0.00539     -0.01660    203.99997
   205.00000      0.00607     -0.01867    204.99997
   206.00000      0.00674     -0.02075    205.99997
   207.00000      0.00742     -0.02282    206.99997
   208.00000      0.00809     -0.02490    207.99997
   209.00000      0.00876     -0.02697    208.99995
   210.00000      0.00944     -0.02905    209.99995
   211.00000      0.01011     -0.03112    210.99995
   212.00000      0.01079     -0.03320    211.99995
   213.00000      0.01146     -0.03527    212.99994
   214.00000      0.01214     -0.03735    213.99994
   215.00000      0.01281     -0.03942    214.99994
   216.00000      0.01348     -0.04150    215.99994
   217.00000      0.01416     -0.04357    216.99994
   218.00000      0.01483     -0.04565    217.99992
   219.00000      0.01551     -0.04772    218.99992
   220.00000      0.01618     -0.04980    219.99992
   221.00000      0.01685     -0.05187    220.99992
   222.00000      0.01753     -0.05395    221.99991
   223.00000      0.01820     -0.05602    222.99991
   224.00000      0.01888     -0.05810    223.99991
   225.00000      0.01955     -0.06017    224.99991
   226.00000      0.02023     -0.06225    225.99991
   227.00000      0.02090     -0.06432    226.99991
   228.00000      0.02157     -0.06640    227.99989
   229.00000      0.02225     -0.06847    228.99989
   230.00000      0.02292     -0.07055    229.99989
   231.00000      0.02360     -0.07262    230.99989
   232.00000      0.02427     -0.07470    231.99988
   233.00000      0.02494     -0.07677    232.99988
   234.00000      0.02562     -0.07885    233.99988
   235.00000      0.02629     -0.08092    234.99988
   236.00000      0.02697     -0.08300    235.99988
   237.00000      0.02764     -0.08507    236.99988
   238.00000      0.02832     -0.08714    237.99986
   239.00000      0.02899     -0.08922    238.99986
   240.00000      0.02966     -0.09129    239.99986
   241.00000      0.03034     -0.09337    240.99985
   242.00000      0.03101     -0.09544    241.99985
   243.00000      0.03169     -0.09752    242.99985
   244.00000      0.03236     -0.09959    243.99985
   245.00000      0.03303     -0.10167    244.99985
   246.00000      0.03371     -0.10374    245.99985
   247.00000      0.03438     -0.10582    246.99983
   248.00000      0.03506     -0.10789    247.99983
   249.00000      0.03573     -0.10997    248.99983
   250.00000      0.03641     -0.11204    249.99983
   251.00000      0.03708     -0.11412    250.99982
   252.00000      0.03775     -0.11619    251.99982
   253.00000      0.03843     -0.11827    252.99982
   254.00000      0.03910     -0.12034    253.99982
   255.00000      0.03978     -0.12242    254.99982
   256.00000      0.04045     -0.12449    255.99982
   257.00000      0.04112     -0.12657    256.99982
   258.00000      0.04180     -0.12864    257.99982
   259.00000      0.04247     -0.13072    258.99979
   260.00000      0.04315     -0.13279    259.99979
   261.00000      0.04382     -0.13487    260.99979
   262.00000      0.04450     -0.13694    261.99979
   263.00000      0.04517     -0.13902    262.99979
   264.00000      0.04584     -0.14109    263.99979
   265.00000      0.04652     -0.14317    264.99979
   266.00000      0.04719     -0.14524    265.99979
   267.00000      0.04787     -0.14732    266.99976
   268.00000      0.04854     -0.14939    267.99976
   269.00000      0.04921     -0.15147    268.99976
   270.00000      0.04989     -0.15354    269.99976
   271.00000      0.05056     -0.15562    270.99976
   272.00000      0.05124     -0.15769    271.99976
   273.00000      0.05191     -0.15977    272.99976
   274.00000      0.05259     -0.16184    273.99976
   275.00000      0.05326     -0.16392    274.99976
   276.00000      0.05393     -0.16599    275.99976
   277.00000      0.05461     -0.16807    276.99976
   278.00000      0.05528     -0.17014    277.99976
   279.00000      0.05596     -0.17222    278.99973
   280.00000      0.05663     -0.17429    279.99973
   281.00000      0.05730     -0.17636    280.99973
   282.00000      0.05798     -0.17844    281.99973
   283.00000      0.05865     -0.18051    282.99973
   284.00000      0.05933     -0.18259    283.99973
   285.00000      0.06218     -0.18482    284.99973
   286.00000      0.06503     -0.18704    285.99973
   287.00000      0.06788     -0.18927    286.99969
   288.00000      0.07073     -0.19150    287.99969
   289.00000      0.07358     -0.19372    288.99969
   290.00000      0.07643     -0.19595    289.99969
   291.00000      0.07928     -0.19818    290.99966
   292.00000      0.08213     -0.20041    291.99966
   293.00000      0.08498     -0.20263    292.99966
   294.00000      0.08783     -0.20486    293.99966
   295.00000      0.09068     -0.20709    294.99963
   296.00000      0.09353     -0.20931    295.99963
   297.00000      0.09638     -0.21154    296.99963
   298.00000      0.09923     -0.21377    297.99963
   299.00000      0.10208     -0.21600    298.99960
   300.00000      0.10494     -0.21822    299.99960
   301.00000      0.10779     -0.22045    300.99960
   302.00000      0.11064     -0.22268    301.99960
   303.00000      0.11349     -0.22490    302.99957
   304.00000      0.11634     -0.22713    303.99957
   305.00000      0.11919     -0.22936    304.99957
   306.00000      0.12204     -0.23158    305.99957
   307.00000      0.12489     -0.23381    306.99954
   308.00000      0.12774     -0.23604    307.99954
   309.00000      0.13059     -0.23827    308.99954
   310.00000      0.13344     -0.24049    309.99954
   311.00000      0.13629     -0.24272    310.99951
   312.00000      0.13914     -0.24495    311.99951
   313.00000      0.14199     -0.24717    312.99951
   314.00000      0.14484     -0.24940    313.99951
   315.00000      0.14769     -0.25163    314.99948
   316.00000      0.15054     -0.25386    315.99948
   317.00000      0.15339     -0.25608    316.99948
   318.00000      0.15624     -0.25831    317.99948
   319.00000      0.15909     -0.26054    318.99945
   320.00000      0.16195     -0.26276    319.99945
   321.00000      0.16480     -0.26499    320.99945
   322.00000      0.16765     -0.26722    321.99945
   323.00000      0.17050     -0.26945    322.99942
   324.00000      0.17335     -0.27167    323.99942
   325.00000      0.17620     -0.27390    324.99942
   326.00000      0.17905     -0.27613    325.99942
   327.00000      0.18190     -0.27835    326.99939
   328.00000      0.18475     -0.28058    327.99939
   329.00000      0.18760     -0.28281    328.99939
   330.00000      0.19045     -0.28503    329.99939
   331.00000      0.19330     -0.28726    330.99939
   332.00000      0.19615     -0.28949    331.99936
   333.00000      0.19900     -0.29172    332.99936
   334.00000      0.20185     -0.29394    333.99936
   335.00000      0.20470     -0.29617    334.99933
   336.00000      0.20755     -0.29840    335.99933
   337.00000      0.21040     -0.30062    336.99933
   338.00000      0.21325     -0.30285    337.99933
   339.00000      0.21611     -0.30508    338.99933
   340.00000      0.21896     -0.30731    339.99930
   341.00000      0.22181     -0.30953    340.99930
   342.00000      0.22466     -0.31176    341.99930
   343.00000      0.22751     -0.31399    342.99927
   344.00000      0.23036     -0.31621    343.99927
   345.00000      0.23321     -0.31844    344.99927
   346.00000      0.23606     -0.32067    345.99927
   347.00000      0.23891     -0.32289    346.99927
   348.00000      0.24176     -0.32512    347.99924
   349.00000      0.24461     -0.32735    348.99924
   350.00000      0.24746     -0.32958    349.99924
   351.00000      0.25031     -0.33180    350.99921
   352.00000      0.25316     -0.33403    351.99921
   353.00000      0.25601     -0.33626    352.99921
   354.00000      0.25886     -0.33848    353.99921
   355.00000      0.26171     -0.34071    354.99921
   356.00000      0.26456     -0.34294    355.99918
   357.00000      0.26741     -0.34517    356.99918
   358.00000      0.27026     -0.34739    357.99918
   359.00000      0.27312     -0.34962    358.99915
   360.00000      0.27597     -0.35185    359.99915
   361.00000      0.27882     -0.35407    360.99915
   362.00000      0.28167     -0.35630    361.99915
   363.00000      0.28452     -0.35853    362.99915
   364.00000      0.28737     -0.36075    363.99911
   365.00000      0.29022     -0.36298    364.99911
   366.00000      0.29307     -0.36521    365.99911
   367.00000      0.29592     -0.36744    366.99908
   368.00000      0.29877     -0.36966    367.99908
   369.00000      0.30162     -0.37189    368.99908
   370.00000      0.30447     -0.37412    369.99908
   371.00000      0.30732     -0.37634    370.99908
   372.00000      0.31017     -0.37857    371.99908
   373.00000      0.31302     -0.38080    372.99905
   374.00000      0.31587     -0.38303    373.99905
   375.00000      0.31872     -0.38525    374.99905
   376.00000      0.32157     -0.38748    375.99902
   377.00000      0.32442     -0.38971    376.99902
   378.00000      0.32728     -0.39193    377.99902
   379.00000      0.33013     -0.39416    378.99902
   380.00000      0.33298     -0.39639    379.99902
   381.00000      0.33583     -0.39861    380.99899
