WellnameUWN     UTMnorthUTMeast MeasDeptMeasTVD(Dip     Azimuth LocationLocationDogleg
15/2-1  2467    6513814.418684.5196     0       0       6513814.418684.50
15/2-1  2467    6513814.418684.5284     0       0.25    162     6513814.418684.50
15/2-1  2467    6513814.418684.5397     0       0.25    94      6513814.418684.50
15/2-1  2467    6513814.418684.5481     0       0.75    132     6513814.418684.50
15/2-1  2467    6513814.418684.5594     0       0.5     127     6513814.418684.50
15/2-1  2467    6513814.418684.5698     0       0.5     137     6513814.418684.50
15/2-1  2467    6513814.418684.5783     0       0.25    228     6513814.418684.50
15/2-1  2467    6513814.418684.5896     0       0.5     218     6513814.418684.50
15/2-1  2467    6513814.418684.5981     0       0.25    185     6513814.418684.50
15/2-1  2467    6513814.418684.51094    0       0.5     205     6513814.418684.50
15/2-1  2467    6513814.418684.51179    0       0.5     121     6513814.418684.50
15/2-1  2467    6513814.418684.51292    0       0.75    120     6513814.418684.50
15/2-1  2467    6513814.418684.51405    0       0.75    104     6513814.418684.50
15/2-1  2467    6513814.418684.51490    0       0.5     10      6513814.418684.50
15/2-1  2467    6513814.418684.51603    0       0.5     351     6513814.418684.50
15/2-1  2467    6513814.418684.51716    0       0.75    379     6513814.418684.50
15/2-1  2467    6513814.418684.51800    0       0.75    0       6513814.418684.50
15/2-1  2467    6513814.418684.51885    0       1       376     6513814.418684.50
15/2-1  2467    6513814.418684.51999    0       0.75    351     6513814.418684.50
15/2-1  2467    6513814.418684.52083    0       1       120     6513814.418684.50
15/2-1  2467    6513814.418684.52196    0       1       118     6513814.418684.50
15/2-1  2467    6513814.418684.52281    0       1       117     6513814.418684.50
15/2-1  2467    6513814.418684.52394    0       0.5     114     6513814.418684.50
15/2-1  2467    6513814.418684.52507    0       0.25    212     6513814.418684.50
15/2-1  2467    6513814.418684.52592    0       1       261     6513814.418684.50
15/2-1  2467    6513814.418684.52692    0       0.75    211     6513814.418684.50
15/2-1  2467    6513814.418684.52750    0       0.25    274     6513814.418684.50
15/2-1  2467    6513814.418684.52924    0       0.75    24      6513814.418684.50
15/2-1  2467    6513814.418684.53028    0       3.75    31      6513814.418684.50
15/2-1  2467    6513814.418684.53171    0       4       5       6513814.418684.50
15/2-1  2467    6513814.418684.53275    0       4.5     3       6513814.418684.50
15/2-1  2467    6513814.418684.53360    0       5.5     5       6513814.418684.50
15/2-1  2467    6513814.418684.53464    0       5       8       6513814.418684.50
15/2-1  2467    6513814.418684.53558    0       4.5     4       6513814.418684.50
15/2-1  2467    6513814.418684.53653    0       4.25    353     6513814.418684.50
15/2-1  2467    6513814.418684.53786    0       6       348     6513814.418684.50
15/2-1  2467    6513814.418684.53887    0       6       332     6513814.418684.50
15/2-1  2467    6513814.418684.54038    0       0.25    359     6513814.418684.50
15/2-1  2467    6513814.418684.54285    0       6.25    358     6513814.418684.50
15/2-1  2467    6513814.418684.54375    0       0.75    255     6513814.418684.50
15/2-1  2467    6513814.418684.54421    0       8.25    16      6513814.418684.50
