# Tigress ASCII Data File Version 4.1
# Copyright (c) 1993 Simon Petroleum Technology Ltd.
# 
# File created on 23/04/1997
#              at 15:29:23
#              by user cpi
# 
# using TIGRESS Deviation file conversion.
 
# Global Units Information
UNIT_DEPTH= m
UNIT_OFFSET= m
 
# Well Information
WELLNM= 15/3-4
OPERTR= ELF AQUITAINE NORGE A/S
 
# Deviation Data Information
DATTYP= DEVN
 
DESCRP= DEVIATION DATA
LNGTDE=      1.88328250
LATTDE=     58.81813306
REFDIR=      0.00000000
 
#    <Depth><Inclination>    <Azimuth>
   184.00000      0.75000      0.00000
   192.00000      1.00000      0.00000
   295.00000      0.75000      0.00000
   493.00000      0.25000      0.00000
   597.00000      1.00000      0.00000
   703.00000      1.00000      0.00000
   806.00000      1.00000      0.00000
   937.00000      1.00000      0.00000
   937.00000      1.00000      0.00000
   937.00000      1.00000      0.00000
  1033.00000      1.12500     85.00000
  1132.00000      0.87500     87.00000
  1231.00000      1.00000     87.00000
  1335.00000      1.25000     78.00000
  1439.00000      1.25000     63.00000
  1544.00000      1.25000     71.00000
  1635.00000      1.25000     75.00000
  1714.00000      1.25000     80.00000
  1821.00000      1.00000     90.00000
  1886.00000      0.37500     47.00000
  1996.00000      0.75000     30.00000
  2148.00000      1.50000     55.00000
  2181.00000      1.75000     65.00000
  2308.00000      1.00000     38.00000
  2356.00000      1.15000     28.00000
  2442.00000      1.00000     30.00000
  2527.00000      1.25000     42.00000
  2632.00000      1.12500    345.00000
  2716.00000      1.37500    355.00000
  2833.00000      1.25000    320.00000
  2928.00000      1.00000     12.00000
  3335.00000      0.50000     40.00000
  3466.00000      0.75000     50.00000
  3558.00000      1.00000     65.00000
  3628.00000      1.50000     95.00000
  3695.00000      1.25000     94.00000
  3792.00000      1.50000    130.00000
  3829.00000      1.37500    141.00000
  3932.00000      1.50000    123.00000
  4058.00000      8.50000    115.00000
  4162.00000     11.75000    110.00000
  4191.00000     13.00000    112.00000
 
CDMETH= MCURV
 
#    <Depth>         <DX>         <DY>        <TVD>
   184.00000      0.00000      1.20426    183.99475
   185.00000      0.00000      1.21953    184.99463
   186.00000      0.00000      1.23480    185.99452
   187.00000      0.00000      1.25007    186.99440
   188.00000      0.00000      1.26534    187.99428
   189.00000      0.00000      1.28062    188.99417
   190.00000      0.00000      1.29589    189.99405
   191.00000      0.00000      1.31116    190.99393
   192.00000      0.00000      1.32643    191.99380
   193.00000      0.00000      1.34170    192.99368
   194.00000      0.00000      1.35697    193.99358
   195.00000      0.00000      1.37224    194.99345
   196.00000      0.00000      1.38751    195.99333
   197.00000      0.00000      1.40278    196.99323
   198.00000      0.00000      1.41805    197.99310
   199.00000      0.00000      1.43333    198.99298
   200.00000      0.00000      1.44860    199.99286
   201.00000      0.00000      1.46387    200.99275
   202.00000      0.00000      1.47914    201.99263
   203.00000      0.00000      1.49441    202.99251
   204.00000      0.00000      1.50968    203.99240
   205.00000      0.00000      1.52495    204.99228
   206.00000      0.00000      1.54022    205.99216
   207.00000      0.00000      1.55549    206.99205
   208.00000      0.00000      1.57076    207.99193
   209.00000      0.00000      1.58604    208.99181
   210.00000      0.00000      1.60131    209.99170
   211.00000      0.00000      1.61658    210.99158
   212.00000      0.00000      1.63185    211.99146
   213.00000      0.00000      1.64712    212.99133
   214.00000      0.00000      1.66239    213.99123
   215.00000      0.00000      1.67766    214.99110
   216.00000      0.00000      1.69293    215.99098
   217.00000      0.00000      1.70820    216.99088
   218.00000      0.00000      1.72347    217.99075
   219.00000      0.00000      1.73875    218.99063
   220.00000      0.00000      1.75402    219.99051
   221.00000      0.00000      1.76929    220.99040
   222.00000      0.00000      1.78456    221.99028
   223.00000      0.00000      1.79983    222.99016
   224.00000      0.00000      1.81510    223.99005
   225.00000      0.00000      1.83037    224.98993
   226.00000      0.00000      1.84564    225.98981
   227.00000      0.00000      1.86091    226.98969
   228.00000      0.00000      1.87619    227.98958
   229.00000      0.00000      1.89146    228.98946
   230.00000      0.00000      1.90673    229.98935
   231.00000      0.00000      1.92200    230.98923
   232.00000      0.00000      1.93727    231.98911
