DEPTH      DEVI       HAZI
         25          0          0
        144          0          0
        194        0.5        236
        288        0.5        236
        357       0.13        308
        462       0.13        328
        554       0.25        299
        650        0.5        288
        712       0.25        293
        805       0.25         26
        901        0.5        336
        996       0.25        275
       1093       0.25        286
       1188       0.75        160
       1282        0.5        227
       1377       0.75        239
       1407        0.5        262
       1502          1        158
       1598       1.75        118
       1698       0.75        153
       1808        0.5        143
       1904       0.88        117
       2000        0.5         98
       2092        1.5        156
       2187       0.88        129
       2358          1        137
       2454        0.5        120
       2495        0.5        250
       2595       0.65        238
       2646        0.5        223
       2680        0.5        263
       2800       1.25        193
       2894        1.5        198
       2988       1.75        193
       3084          2        199
       3171       3.75        231
       3255       3.65        155
       3344        1.5        353
       3402        3.5        269
       3511        3.8        228
       3603       3.75        194
       3775       0.25        131
