# Tigress ASCII Data File Version 4.1
# Copyright (c) 1993 Simon Petroleum Technology Ltd.
# 
# File created on 17/10/1996
#              at 11:38:52
#              by user cpi
# 
# using TIGRESS Deviation file conversion.
 
# Global Units Information
UNIT_DEPTH= m
UNIT_OFFSET= m
 
# Well Information
WELLNM= 15/5-2
OPERTR= NORSK HYDRO A/S
 
# Deviation Data Information
DATTYP= DEVN
 
DESCRP= DEV SURVEY
LNGTDE=      1.60458333
LATTDE=     58.64352778
REFDIR=      0.00000000
 
#    <Depth><Inclination>    <Azimuth>
    25.00000      0.00000      0.00000
   145.50000      0.00000      0.00000
   194.50000      1.50000    310.00000
   297.00000      0.50000    310.00000
   402.00000      0.25000    200.00000
   469.00000      0.25000    212.00000
   560.00000      0.13000    115.00000
   722.00000      0.25000    310.00000
   815.00000      0.13000    290.00000
   919.00000      0.50000    355.00000
  1007.00000      0.13000    315.00000
  1101.00000      0.13000    263.00000
  1195.00000      0.63000     48.00000
  1284.00000      0.25000     65.00000
  1390.00000      0.25000     80.00000
  1495.00000      0.25000    160.00000
  1600.00000      0.75000      5.00000
  1697.00000      1.00000    124.00000
  1796.00000      1.38000     20.00000
  1800.00000      2.50000    102.00000
  1819.00000      4.75000    110.00000
  1828.00000      5.75000    111.00000
  1859.00000      5.00000    107.00000
  1888.00000      4.25000    107.00000
  1917.00000      4.00000    113.00000
  1945.00000      3.50000    119.00000
  1973.00000      2.75000    122.00000
  2031.00000      2.75000    144.00000
  2127.00000      1.75000    135.00000
  2232.00000      1.25000    185.00000
  2326.00000      0.75000    200.00000
  2432.00000      1.13000    190.00000
  2488.00000      1.00000    180.00000
  2639.00000      0.75000    175.00000
  2731.00000      0.50000    143.00000
  2826.00000      1.25000    228.00000
  2929.00000      1.00000    225.00000
  3076.00000      1.25000    203.00000
  3256.00000      2.50000    186.00000
  3333.00000      2.50000    200.00000
  3425.00000      2.00000    190.00000
  3486.00000      2.25000    196.00000
  3712.00000      2.50000    195.00000
  4130.00000      1.75000    195.00000
 
CDMETH= MCURV
 
#    <Depth>         <DX>         <DY>        <TVD>
    25.00000      0.00000      0.00000     25.00000
    26.00000      0.00000      0.00000     26.00000
    27.00000      0.00000      0.00000     27.00000
    28.00000      0.00000      0.00000     28.00000
    29.00000      0.00000      0.00000     29.00000
    30.00000      0.00000      0.00000     30.00000
    31.00000      0.00000      0.00000     31.00000
    32.00000      0.00000      0.00000     32.00000
    33.00000      0.00000      0.00000     33.00000
    34.00000      0.00000      0.00000     34.00000
    35.00000      0.00000      0.00000     35.00000
    36.00000      0.00000      0.00000     36.00000
    37.00000      0.00000      0.00000     37.00000
    38.00000      0.00000      0.00000     38.00000
    39.00000      0.00000      0.00000     39.00000
    40.00000      0.00000      0.00000     40.00000
    41.00000      0.00000      0.00000     41.00000
    42.00000      0.00000      0.00000     42.00000
    43.00000      0.00000      0.00000     43.00000
    44.00000      0.00000      0.00000     44.00000
    45.00000      0.00000      0.00000     45.00000
    46.00000      0.00000      0.00000     46.00000
    47.00000      0.00000      0.00000     47.00000
    48.00000      0.00000      0.00000     48.00000
    49.00000      0.00000      0.00000     49.00000
    50.00000      0.00000      0.00000     50.00000
    51.00000      0.00000      0.00000     51.00000
    52.00000      0.00000      0.00000     52.00000
    53.00000      0.00000      0.00000     53.00000
    54.00000      0.00000      0.00000     54.00000
    55.00000      0.00000      0.00000     55.00000
    56.00000      0.00000      0.00000     56.00000
    57.00000      0.00000      0.00000     57.00000
    58.00000      0.00000      0.00000     58.00000
    59.00000      0.00000      0.00000     59.00000
    60.00000      0.00000      0.00000     60.00000
    61.00000      0.00000      0.00000     61.00000
    62.00000      0.00000      0.00000     62.00000
    63.00000      0.00000      0.00000     63.00000
    64.00000      0.00000      0.00000     64.00000
    65.00000      0.00000      0.00000     65.00000
    66.00000      0.00000      0.00000     66.00000
    67.00000      0.00000      0.00000     67.00000
    68.00000      0.00000      0.00000     68.00000
    69.00000      0.00000      0.00000     69.00000
    70.00000      0.00000      0.00000     70.00000
    71.00000      0.00000      0.00000     71.00000
    72.00000      0.00000      0.00000     72.00000
    73.00000      0.00000      0.00000     73.00000
    74.00000      0.00000      0.00000     74.00000
