# Tigress ASCII Data File Version 4.1
# Copyright (c) 1993 Simon Petroleum Technology Ltd.
# 
# File created on 03/03/1998
#              at 09:48:07
#              by user cpi
# 
# using TIGRESS Deviation file conversion.
 
# Global Units Information
UNIT_DEPTH= m
UNIT_OFFSET= m
 
# Well Information
WELLNM= 15/5-3
OPERTR= NORSK HYDRO
 
# Deviation Data Information
DATTYP= DEVN
 
DESCRP= DEV SURVEY
LNGTDE=      1.63668056
LATTDE=     58.76331389
REFDIR=      0.00000000
 
#    <Depth><Inclination>    <Azimuth>
     0.00000      0.00000      0.00000
    25.00000      0.00000      0.00000
   135.00000      0.00000      0.00000
   181.00000      0.50000     19.00000
   198.00000      1.50000     67.00000
   295.00000      1.00000    109.00000
   391.00000      1.00000    157.00000
   500.00000      0.75000    167.00000
   615.00000      0.50000     92.00000
   712.00000      0.75000    104.00000
   807.00000      0.75000     99.00000
   902.00000      0.75000     94.00000
  1006.00000      0.75000     90.00000
  1111.00000      0.50000     80.00000
  1204.00000      0.75000     20.00000
  1308.00000      0.25000    304.00000
  1431.00000      0.75000     58.00000
  1535.00000      0.50000    290.00000
  1639.00000      0.50000    138.00000
  1735.00000      0.25000    224.00000
  1831.00000      0.75000    270.00000
  1925.00000      0.75000    254.00000
  2029.00000      0.75000    263.00000
  2124.00000      1.00000    261.00000
  2224.00000      1.00000     80.00000
  2282.00000      1.00000     56.00000
  2336.00000      1.25000     71.00000
  2504.00000      1.00000    116.00000
  2693.00000      0.50000     90.00000
  2721.00000      1.00000     91.00000
  2800.00000      1.25000     94.00000
  2895.00000      2.00000     94.00000
  2990.00000      2.50000    104.00000
  3086.00000      1.75000     99.00000
  3180.00000      1.50000    334.00000
  3283.00000      3.00000     81.00000
  3345.00000      3.50000     80.00000
  3376.00000      4.00000     83.00000
  3433.00000      4.00000     77.00000
  3477.00000      3.50000     88.00000
  3544.00000      4.75000     80.00000
  3568.00000      3.00000    310.00000
  3650.00000      6.25000    317.00000
  3672.00000      6.25000     45.00000
  3715.00000      7.25000     43.00000
  3813.00000      8.00000     40.00000
  4020.00000      7.25000     41.00000
  4117.00000      7.25000     34.00000
  4217.00000      7.25000     30.00000
  4416.00000      6.00000     21.00000
  4467.00000      6.00000     23.00000
  4557.00000      6.75000     18.00000
  4652.00000      6.50000     18.00000
  4737.00000      6.50000      4.00000
  4832.00000      6.00000    356.00000
 
CDMETH= MCURV
 
#    <Depth>         <DX>         <DY>        <TVD>
     0.00000      0.00000      0.00000      0.00000
     1.00000      0.00000      0.00000      1.00000
     2.00000      0.00000      0.00000      2.00000
     3.00000      0.00000      0.00000      3.00000
     4.00000      0.00000      0.00000      4.00000
     5.00000      0.00000      0.00000      5.00000
     6.00000      0.00000      0.00000      6.00000
     7.00000      0.00000      0.00000      7.00000
     8.00000      0.00000      0.00000      8.00000
     9.00000      0.00000      0.00000      9.00000
    10.00000      0.00000      0.00000     10.00000
    11.00000      0.00000      0.00000     11.00000
    12.00000      0.00000      0.00000     12.00000
    13.00000      0.00000      0.00000     13.00000
    14.00000      0.00000      0.00000     14.00000
    15.00000      0.00000      0.00000     15.00000
    16.00000      0.00000      0.00000     16.00000
    17.00000      0.00000      0.00000     17.00000
    18.00000      0.00000      0.00000     18.00000
    19.00000      0.00000      0.00000     19.00000
    20.00000      0.00000      0.00000     20.00000
    21.00000      0.00000      0.00000     21.00000
    22.00000      0.00000      0.00000     22.00000
    23.00000      0.00000      0.00000     23.00000
    24.00000      0.00000      0.00000     24.00000
    25.00000      0.00000      0.00000     25.00000
    26.00000      0.00000      0.00000     26.00000
    27.00000      0.00000      0.00000     27.00000
    28.00000      0.00000      0.00000     28.00000
    29.00000      0.00000      0.00000     29.00000
    30.00000      0.00000      0.00000     30.00000
    31.00000      0.00000      0.00000     31.00000
    32.00000      0.00000      0.00000     32.00000
    33.00000      0.00000      0.00000     33.00000
    34.00000      0.00000      0.00000     34.00000
    35.00000      0.00000      0.00000     35.00000
    36.00000      0.00000      0.00000     36.00000
    37.00000      0.00000      0.00000     37.00000
    38.00000      0.00000      0.00000     38.00000
    39.00000      0.00000      0.00000     39.00000
    40.00000      0.00000      0.00000     40.00000
    41.00000      0.00000      0.00000     41.00000
    42.00000      0.00000      0.00000     42.00000
    43.00000      0.00000      0.00000     43.00000
    44.00000      0.00000      0.00000     44.00000
    45.00000      0.00000      0.00000     45.00000
    46.00000      0.00000      0.00000     46.00000
    47.00000      0.00000      0.00000     47.00000
    48.00000      0.00000      0.00000     48.00000
    49.00000      0.00000      0.00000     49.00000
    50.00000      0.00000      0.00000     50.00000
    51.00000      0.00000      0.00000     51.00000
    52.00000      0.00000      0.00000     52.00000
    53.00000      0.00000      0.00000     53.00000
    54.00000      0.00000      0.00000     54.00000
    55.00000      0.00000      0.00000     55.00000
    56.00000      0.00000      0.00000     56.00000
    57.00000      0.00000      0.00000     57.00000
    58.00000      0.00000      0.00000     58.00000
    59.00000      0.00000      0.00000     59.00000
    60.00000      0.00000      0.00000     60.00000
    61.00000      0.00000      0.00000     61.00000
    62.00000      0.00000      0.00000     62.00000
    63.00000      0.00000      0.00000     63.00000
    64.00000      0.00000      0.00000     64.00000
    65.00000      0.00000      0.00000     65.00000
    66.00000      0.00000      0.00000     66.00000
    67.00000      0.00000      0.00000     67.00000
    68.00000      0.00000      0.00000     68.00000
    69.00000      0.00000      0.00000     69.00000
    70.00000      0.00000      0.00000     70.00000
    71.00000      0.00000      0.00000     71.00000
    72.00000      0.00000      0.00000     72.00000
    73.00000      0.00000      0.00000     73.00000
    74.00000      0.00000      0.00000     74.00000
    75.00000      0.00000      0.00000     75.00000
    76.00000      0.00000      0.00000     76.00000
    77.00000      0.00000      0.00000     77.00000
    78.00000      0.00000      0.00000     78.00000
    79.00000      0.00000      0.00000     79.00000
    80.00000      0.00000      0.00000     80.00000
    81.00000      0.00000      0.00000     81.00000
    82.00000      0.00000      0.00000     82.00000
    83.00000      0.00000      0.00000     83.00000
    84.00000      0.00000      0.00000     84.00000
    85.00000      0.00000      0.00000     85.00000
    86.00000      0.00000      0.00000     86.00000
    87.00000      0.00000      0.00000     87.00000
    88.00000      0.00000      0.00000     88.00000
    89.00000      0.00000      0.00000     89.00000
    90.00000      0.00000      0.00000     90.00000
    91.00000      0.00000      0.00000     91.00000
    92.00000      0.00000      0.00000     92.00000
    93.00000      0.00000      0.00000     93.00000
    94.00000      0.00000      0.00000     94.00000
    95.00000      0.00000      0.00000     95.00000
    96.00000      0.00000      0.00000     96.00000
    97.00000      0.00000      0.00000     97.00000
    98.00000      0.00000      0.00000     98.00000
    99.00000      0.00000      0.00000     99.00000
   100.00000      0.00000      0.00000    100.00000
   101.00000      0.00000      0.00000    101.00000
   102.00000      0.00000      0.00000    102.00000
   103.00000      0.00000      0.00000    103.00000
   104.00000      0.00000      0.00000    104.00000
   105.00000      0.00000      0.00000    105.00000
   106.00000      0.00000      0.00000    106.00000
   107.00000      0.00000      0.00000    107.00000
   108.00000      0.00000      0.00000    108.00000
   109.00000      0.00000      0.00000    109.00000
   110.00000      0.00000      0.00000    110.00000
   111.00000      0.00000      0.00000    111.00000
   112.00000      0.00000      0.00000    112.00000
   113.00000      0.00000      0.00000    113.00000
   114.00000      0.00000      0.00000    114.00000
   115.00000      0.00000      0.00000    115.00000
   116.00000      0.00000      0.00000    116.00000
   117.00000      0.00000      0.00000    117.00000
   118.00000      0.00000      0.00000    118.00000
   119.00000      0.00000      0.00000    119.00000
   120.00000      0.00000      0.00000    120.00000
   121.00000      0.00000      0.00000    121.00000
   122.00000      0.00000      0.00000    122.00000
   123.00000      0.00000      0.00000    123.00000
   124.00000      0.00000      0.00000    124.00000
   125.00000      0.00000      0.00000    125.00000
   126.00000      0.00000      0.00000    126.00000
   127.00000      0.00000      0.00000    127.00000
   128.00000      0.00000      0.00000    128.00000
   129.00000      0.00000      0.00000    129.00000
   130.00000      0.00000      0.00000    130.00000
   131.00000      0.00000      0.00000    131.00000
