WELLNAME  UWN UTM NORTH  UTM EAST DEPTH   INCL.   AZIMUTH
15/5-3    1866 6510938.12 421061.3      25       0       0
15/5-3    1866 6510938.12 421061.3     135       0       0
15/5-3    1866 6510938.12 421061.3     181     0.5      19
15/5-3    1866 6510938.12 421061.3     198     1.5      67
15/5-3    1866 6510938.12 421061.3     295       1     109
15/5-3    1866 6510938.12 421061.3     391       1     157
15/5-3    1866 6510938.12 421061.3     500    0.75     167
15/5-3    1866 6510938.12 421061.3     615     0.5      92
15/5-3    1866 6510938.12 421061.3     712    0.75     104
15/5-3    1866 6510938.12 421061.3     807    0.75      99
15/5-3    1866 6510938.12 421061.3     902    0.75      94
15/5-3    1866 6510938.12 421061.3    1006    0.75      90
15/5-3    1866 6510938.12 421061.3    1111     0.5      80
15/5-3    1866 6510938.12 421061.3    1204    0.75      20
15/5-3    1866 6510938.12 421061.3    1308    0.25     304
15/5-3    1866 6510938.12 421061.3    1431    0.75      58
15/5-3    1866 6510938.12 421061.3    1535     0.5     290
15/5-3    1866 6510938.12 421061.3    1639     0.5     138
15/5-3    1866 6510938.12 421061.3    1735    0.25     224
15/5-3    1866 6510938.12 421061.3    1831    0.75     270
15/5-3    1866 6510938.12 421061.3    1925    0.75     254
15/5-3    1866 6510938.12 421061.3    2029    0.75     263
15/5-3    1866 6510938.12 421061.3    2124       1     261
15/5-3    1866 6510938.12 421061.3    2224       1      80
15/5-3    1866 6510938.12 421061.3    2282       1      56
15/5-3    1866 6510938.12 421061.3    2336    1.25      71
15/5-3    1866 6510938.12 421061.3    2504       1     116
15/5-3    1866 6510938.12 421061.3    2693     0.5      90
15/5-3    1866 6510938.12 421061.3    2721       1      91
15/5-3    1866 6510938.12 421061.3    2800    1.25      94
15/5-3    1866 6510938.12 421061.3    2895       2      94
15/5-3    1866 6510938.12 421061.3    2990     2.5     104
15/5-3    1866 6510938.12 421061.3    3086    1.75      99
15/5-3    1866 6510938.12 421061.3    3180     1.5     334
15/5-3    1866 6510938.12 421061.3    3283       3      81
15/5-3    1866 6510938.12 421061.3    3345     3.5      80
15/5-3    1866 6510938.12 421061.3    3376       4      83
15/5-3    1866 6510938.12 421061.3    3433       4      77
15/5-3    1866 6510938.12 421061.3    3477     3.5      88
15/5-3    1866 6510938.12 421061.3    3544    4.75      80
15/5-3    1866 6510938.12 421061.3    3568       3     310
15/5-3    1866 6510938.12 421061.3    3650    6.25     317
15/5-3    1866 6510938.12 421061.3    3672    6.25      45
15/5-3    1866 6510938.12 421061.3    3715    7.25      43
15/5-3    1866 6510938.12 421061.3    3813       8      40
15/5-3    1866 6510938.12 421061.3    4020    7.25      41
15/5-3    1866 6510938.12 421061.3    4117    7.25      34
15/5-3    1866 6510938.12 421061.3    4217    7.25      30
15/5-3    1866 6510938.12 421061.3    4416       6      21
15/5-3    1866 6510938.12 421061.3    4467       6      23
15/5-3    1866 6510938.12 421061.3    4557    6.75      18
15/5-3    1866 6510938.12 421061.3    4652     6.5      18
15/5-3    1866 6510938.12 421061.3    4737     6.5       4
15/5-3    1866 6510938.12 421061.3    4832       6     356
