Data from WELLPATH_ORIGINAL_SURVEY_POINTS_1.ASC has been resampled to 0.2 
meters and linearly interpolated between original survey points. Computed 
2011-08-31

HEADER INFORMATION 
----------------------------------------------------------------
COMPANY: STATOIL NORWAY
FIELD:  EXPLORATION - UTM Zone 31
WELL NAME: 15/6-12
WELLBORE NAME: 15/6-12 McHenry
Drilled From: Surface
Kick Off Depth: 0.00m
Survey Name: 15/6-12 McHenry
Survey Date: 16.02.2011
Extraction Date: 12.08.2011
----------------------------------------------------------------
Calculation Method: Minimum Curvature
Datum Name: WELL
LAT Reference: Site
----------------------------------------------------------------
Slot EW Map: 426697.000m
Slot NS Map: 6499708.000m
Surface Latitude Map: 58° 37' 48.515 N
Surface Longitude Map: 1° 44' 15.483 E
Bottom Hole MD: 3930.00m
Bottom Hole TVD: 3929.65m
Bottom Hole EW Map: 426694.704m
Bottom Hole NS Map: 6499691.286m
----------------------------------------------------------------
Water Depth: 115.50m
KB-WH: 23.50m
KB-MSL: 23.50m
System Datum: Mean Sea Level
----------------------------------------------------------------
Map-Zone: Zone 31N (0 E to 6 E)
North Reference: Grid
Geo Datum: European 1950 - Mean
VSDIR: 360
----------------------------------------------------------------
SURVEY LIST
MD             Inc            Azim           TVD            X-Offset (E/W) Y-Offset (N/S) UTM E/W        UTM N/S        DLS
m RKB          deg            deg            m RKB          m              m              m              m              deg/30m
0.00           0.00           0.00           0.00           0.000          0.000          426697.000     6499708.000    0.00
0.20           0.00           0.52           0.20           0.000          0.000          426697.000     6499708.000    0.00
0.40           0.00           1.04           0.40           0.000          0.000          426697.000     6499708.000    0.00
0.60           0.00           1.55           0.60           0.000          0.000          426697.000     6499708.000    0.00
0.80           0.00           2.07           0.80           0.000          0.000          426697.000     6499708.000    0.00
1.00           0.00           2.59           1.00           0.000          0.000          426697.000     6499708.000    0.00
1.20           0.00           3.11           1.20           0.000          0.000          426697.000     6499708.000    0.00
1.40           0.00           3.63           1.40           0.000          0.000          426697.000     6499708.000    0.00
1.60           0.00           4.14           1.60           0.000          0.000          426697.000     6499708.000    0.00
1.80           0.00           4.66           1.80           0.000          0.000          426697.000     6499708.000    0.00
2.00           0.00           5.18           2.00           0.000          0.000          426697.000     6499708.000    0.00
2.20           0.00           5.70           2.20           0.000          0.000          426697.000     6499708.000    0.00
2.40           0.00           6.22           2.40           0.000          0.000          426697.000     6499708.000    0.00
2.60           0.00           6.73           2.60           0.000          0.000          426697.000     6499708.000    0.00
2.80           0.00           7.25           2.80           0.000          0.000          426697.000     6499708.000    0.00
3.00           0.00           7.77           3.00           0.000          0.000          426697.000     6499708.000    0.00
3.20           0.00           8.29           3.20           0.000          0.000          426697.000     6499708.000    0.00
3.40           0.00           8.81           3.40           0.000          0.000          426697.000     6499708.000    0.00
3.60           0.00           9.32           3.60           0.000          0.000          426697.000     6499708.000    0.00
3.80           0.00           9.84           3.80           0.000          0.000          426697.000     6499708.000    0.00
4.00           0.00           10.36          4.00           0.000          0.000          426697.000     6499708.000    0.00
4.20           0.00           10.88          4.20           0.000          0.000          426697.000     6499708.000    0.00
4.40           0.00           11.40          4.40           0.000          0.000          426697.000     6499708.000    0.00
4.60           0.00           11.91          4.60           0.000          0.000          426697.000     6499708.000    0.00
4.80           0.00           12.43          4.80           0.000          0.000          426697.000     6499708.000    0.00
5.00           0.00           12.95          5.00           0.000          0.000          426697.000     6499708.000    0.00
5.20           0.00           13.47          5.20           0.000          0.000          426697.000     6499708.000    0.00
5.40           0.00           13.99          5.40           0.000          0.000          426697.000     6499708.000    0.00
5.60           0.00           14.50          5.60           0.000          0.000          426697.000     6499708.000    0.00
5.80           0.00           15.02          5.80           0.000          0.000          426697.000     6499708.000    0.00
6.00           0.00           15.54          6.00           0.000          0.000          426697.000     6499708.000    0.00
6.20           0.00           16.06          6.20           0.000          0.000          426697.000     6499708.000    0.00
6.40           0.00           16.58          6.40           0.000          0.000          426697.000     6499708.000    0.00
6.60           0.00           17.09          6.60           0.000          0.000          426697.000     6499708.000    0.00
6.80           0.00           17.61          6.80           0.000          0.000          426697.000     6499708.000    0.00
7.00           0.00           18.13          7.00           0.000          0.000          426697.000     6499708.000    0.00
7.20           0.00           18.65          7.20           0.000          0.000          426697.000     6499708.000    0.00
7.40           0.00           19.17          7.40           0.000          0.000          426697.000     6499708.000    0.00
