HEADER INFORMATION 
----------------------------------------------------------------
COMPANY: STATOIL NORWAY
FIELD:  EXPLORATION - UTM Zone 31
WELL NAME: 15/6-12
WELLBORE NAME: 15/6-12 McHenry
Drilled From: Surface
Kick Off Depth: 0.00m
Survey Name: 15/6-12 McHenry
Survey Date: 16.02.2011
Extraction Date: 12.08.2011
----------------------------------------------------------------
Calculation Method: Minimum Curvature
Datum Name: WELL
LAT Reference: Site
----------------------------------------------------------------
Slot EW Map: 426697.000m
Slot NS Map: 6499708.000m
Surface Latitude Map: 58° 37' 48.515 N
Surface Longitude Map: 1° 44' 15.483 E
Bottom Hole MD: 3930.00m
Bottom Hole TVD: 3929.65m
Bottom Hole EW Map: 426694.704m
Bottom Hole NS Map: 6499691.286m
----------------------------------------------------------------
Water Depth: 115.50m
KB-WH: 23.50m
KB-MSL: 23.50m
System Datum: Mean Sea Level
----------------------------------------------------------------
Map-Zone: Zone 31N (0 E to 6 E)
North Reference: Grid
Geo Datum: European 1950 - Mean
VSDIR: 360
----------------------------------------------------------------
SURVEY LIST
MD        Inc       Azim      TVD       X-Offset (E/W)  Y-Offset (N/S)  UTM E/W         UTM N/S         DLS
m RKB     deg       deg       m RKB     m               m               m               m               deg/30m
0.00      0.00      0.00      0.00      0.000           0.000           426697.000      6499708.000     0.00
0.00      0.00      0.00      0.00      0.000           0.000           426697.000      6499708.000     0.00      
139.00    0.00      360.00    139.00    0.000           0.000           426697.000      6499708.000     0.00      
140.87    0.41      18.25     140.87    0.002           0.006           426697.002      6499708.006     6.58      
167.98    0.29      64.41     167.98    0.094           0.128           426697.094      6499708.128     0.33      
187.94    0.09      161.39    187.94    0.145           0.135           426697.145      6499708.135     0.47      
217.12    0.68      98.36     217.12    0.324           0.088           426697.323      6499708.088     0.66      
244.71    0.58      104.42    244.71    0.621           0.030           426697.621      6499708.030     0.13      
275.53    1.03      57.91     275.52    1.007           0.138           426698.006      6499708.138     0.74      
311.00    1.30      67.52     310.99    1.648           0.461           426698.648      6499708.461     0.28      
333.10    1.16      36.55     333.08    2.013           0.737           426699.013      6499708.736     0.91      
362.40    1.37      44.99     362.37    2.438           1.223           426699.437      6499709.222     0.29      
390.62    1.38      61.17     390.59    2.974           1.625           426699.973      6499709.625     0.41      
420.51    1.23      68.96     420.47    3.588           1.914           426700.587      6499709.913     0.23      
449.88    1.15      67.67     449.83    4.155           2.139           426701.154      6499710.138     0.09      
506.94    0.54      98.61     506.89    4.951           2.316           426701.949      6499710.316     0.39      
536.17    0.45      105.04    536.12    5.198           2.266           426702.196      6499710.265     0.11      
565.92    0.58      100.62    565.86    5.459           2.208           426702.457      6499710.207     0.14      
594.11    0.37      150.48    594.05    5.644           2.102           426702.642      6499710.102     0.47      
622.93    0.22      64.59     622.87    5.740           2.045           426702.738      6499710.044     0.43      
651.74    0.35      60.25     651.68    5.866           2.112           426702.864      6499710.112     0.14      
680.76    0.29      95.89     680.70    6.016           2.149           426703.014      6499710.148     0.21      
709.29    0.23      106.18    709.23    6.143           2.126           426703.141      6499710.125     0.08      
738.17    0.06      38.85     738.11    6.208           2.121           426703.206      6499710.120     0.22      
767.56    0.15      108.31    767.50    6.254           2.121           426703.252      6499710.120     0.14      
825.25    0.24      4.03      825.19    6.334           2.218           426703.332      6499710.217     0.16      
895.08    0.25      85.40     895.02    6.496           2.376           426703.494      6499710.375     0.14      
911.95    0.06      121.83    911.89    6.541           2.374           426703.538      6499710.374     0.36      
998.53    0.26      234.73    998.47    6.419           2.237           426703.417      6499710.236     0.10      
1026.98   0.18      174.24    1026.92   6.371           2.155           426703.368      6499710.154     0.24      
1069.25   0.37      297.10    1069.19   6.256           2.151           426703.254      6499710.151     0.35      
1114.59   0.52      325.68    1114.53   6.009           2.388           426703.007      6499710.387     0.17      
1143.26   0.03      236.56    1143.20   5.930           2.491           426702.928      6499710.490     0.54      
1172.05   0.06      178.02    1171.99   5.924           2.472           426702.922      6499710.471     0.05      
1200.70   0.06      357.14    1200.64   5.924           2.472           426702.922      6499710.471     0.13      
1223.98   0.06      165.20    1223.92   5.926           2.472           426702.924      6499710.472     0.15      
1257.71   0.06      223.25    1257.65   5.919           2.442           426702.917      6499710.442     0.05      
1286.80   0.09      45.84     1286.74   5.925           2.447           426702.923      6499710.446     0.15      
1315.68   0.06      251.07    1315.62   5.927           2.458           426702.925      6499710.457     0.15      
1344.91   0.06      28.72     1344.85   5.919           2.467           426702.918      6499710.466     0.11      
1374.21   0.08      113.78    1374.15   5.946           2.472           426702.944      6499710.471     0.10      
1403.56   0.06      114.43    1403.50   5.978           2.457           426702.976      6499710.456     0.02      
1432.44   0.06      214.71    1432.38   5.983           2.439           426702.981      6499710.438     0.10      
1461.51   0.06      356.62    1461.45   5.974           2.441           426702.972      6499710.440     0.12      
1519.36   0.10      306.16    1519.30   5.931           2.501           426702.929      6499710.500     0.04      
1576.99   0.04      1.70      1576.93   5.891           2.551           426702.889      6499710.550     0.04      
1605.65   0.10      32.24     1605.59   5.905           2.582           426702.903      6499710.581     0.07      
1634.83   0.04      207.76    1634.77   5.914           2.595           426702.912      6499710.594     0.14      
1663.58   0.09      174.42    1663.52   5.911           2.563           426702.909      6499710.563     0.06      
1692.72   0.04      63.27     1692.66   5.923           2.545           426702.921      6499710.544     0.11      
1779.74   0.12      224.37    1779.68   5.886           2.494           426702.884      6499710.493     0.05      
1809.12   0.09      260.76    1809.06   5.842           2.468           426702.840      6499710.467     0.07      
1836.76   0.08      39.46     1836.70   5.833           2.479           426702.831      6499710.479     0.17      
1923.20   0.10      83.07     1923.14   5.946           2.535           426702.944      6499710.534     0.02      
2008.83   0.06      5.20      2008.77   6.024           2.589           426703.022      6499710.588     0.04      
2037.84   0.06      82.73     2037.78   6.041           2.606           426703.039      6499710.605     0.08      
2095.41   0.08      106.63    2095.35   6.109           2.598           426703.107      6499710.597     0.02      
2125.02   0.03      50.61     2124.96   6.135           2.597           426703.133      6499710.596     0.07      
2155.13   0.06      29.90     2155.07   6.149           2.616           426703.147      6499710.615     0.03      
2184.18   0.06      290.14    2184.12   6.142           2.634           426703.140      6499710.633     0.09      
2259.42   0.13      99.52     2259.36   6.189           2.634           426703.187      6499710.633     0.08      
2299.22   0.15      117.99    2299.16   6.280           2.602           426703.278      6499710.601     0.04      
2377.10   0.10      18.65     2377.04   6.391           2.618           426703.389      6499710.617     0.07      
2423.98   0.04      96.61     2423.92   6.421           2.655           426703.419      6499710.654     0.06      
2482.60   0.06      137.78    2482.54   6.462           2.630           426703.460      6499710.629     0.02      
2539.82   0.00      359.32    2539.76   6.482           2.608           426703.480      6499710.607     0.03      
2569.49   0.15      30.99     2569.43   6.502           2.641           426703.500      6499710.640     0.15      
2598.49   0.04      330.11    2598.43   6.516           2.683           426703.514      6499710.682     0.14      
2626.25   0.04      33.46     2626.19   6.517           2.699           426703.515      6499710.698     0.05      
2655.68   0.11      71.17     2655.62   6.549           2.717           426703.547      6499710.716     0.08      
2684.98   0.06      246.15    2684.92   6.562           2.720           426703.560      6499710.719     0.17      
2743.42   0.11      112.26    2743.36   6.586           2.686           426703.584      6499710.685     0.08      
2802.71   0.31      185.65    2802.65   6.623           2.505           426703.621      6499710.504     0.15      
