# Tigress ASCII Data File Version 4.1
# Copyright (c) 1993 Simon Petroleum Technology Ltd.
# 
# File created on 26/09/1997
#              at 14:08:21
#              by user cpi
# 
# using TIGRESS Deviation file conversion.
 
# Global Units Information
UNIT_DEPTH= ft
UNIT_OFFSET= ft
 
# Well Information
WELLNM= 15/6-2
OPERTR= ESSO EXPLORATION NORWAY INC.
 
# Deviation Data Information
DATTYP= DEVN
 
DESCRP= DEV SURVEY
LNGTDE=      1.69836111
LATTDE=     58.54655556
REFDIR=      0.00000000
 
#    <Depth><Inclination>    <Azimuth>
     0.00000      0.00000      0.00000
 15082.00000      0.00000      0.00000
 
CDMETH= MCURV
 
#    <Depth>         <DX>         <DY>        <TVD>
     0.00000      0.00000      0.00000      0.00000
     3.00000      0.00000      0.00000      3.00000
     6.00000      0.00000      0.00000      6.00000
     9.00000      0.00000      0.00000      9.00000
    12.00000      0.00000      0.00000     12.00000
    15.00000      0.00000      0.00000     15.00000
    18.00000      0.00000      0.00000     18.00000
    21.00000      0.00000      0.00000     21.00000
    24.00000      0.00000      0.00000     24.00000
    27.00000      0.00000      0.00000     27.00000
    30.00000      0.00000      0.00000     30.00000
    33.00000      0.00000      0.00000     33.00000
    36.00000      0.00000      0.00000     36.00000
    39.00000      0.00000      0.00000     39.00000
    42.00000      0.00000      0.00000     42.00000
    45.00000      0.00000      0.00000     45.00000
    48.00000      0.00000      0.00000     48.00000
    51.00000      0.00000      0.00000     51.00000
    54.00000      0.00000      0.00000     54.00000
    57.00000      0.00000      0.00000     57.00000
    60.00000      0.00000      0.00000     60.00000
    63.00000      0.00000      0.00000     63.00000
    66.00000      0.00000      0.00000     66.00000
    69.00000      0.00000      0.00000     69.00000
    72.00000      0.00000      0.00000     72.00000
    75.00000      0.00000      0.00000     75.00000
    78.00000      0.00000      0.00000     78.00000
    81.00000      0.00000      0.00000     81.00000
    84.00000      0.00000      0.00000     84.00000
    87.00000      0.00000      0.00000     87.00000
    90.00000      0.00000      0.00000     90.00000
    93.00000      0.00000      0.00000     93.00000
    96.00000      0.00000      0.00000     96.00000
    99.00000      0.00000      0.00000     99.00000
   102.00000      0.00000      0.00000    102.00000
   105.00001      0.00000      0.00000    105.00001
   108.00000      0.00000      0.00000    108.00000
   110.99999      0.00000      0.00000    110.99999
   114.00000      0.00000      0.00000    114.00000
   116.99999      0.00000      0.00000    116.99999
   120.00000      0.00000      0.00000    120.00000
   122.99999      0.00000      0.00000    122.99999
   126.00000      0.00000      0.00000    126.00000
   129.00000      0.00000      0.00000    129.00000
   132.00000      0.00000      0.00000    132.00000
   135.00000      0.00000      0.00000    135.00000
   138.00000      0.00000      0.00000    138.00000
   141.00000      0.00000      0.00000    141.00000
   144.00000      0.00000      0.00000    144.00000
   147.00000      0.00000      0.00000    147.00000
   150.00000      0.00000      0.00000    150.00000
   153.00000      0.00000      0.00000    153.00000
   156.00000      0.00000      0.00000    156.00000
   159.00000      0.00000      0.00000    159.00000
   162.00000      0.00000      0.00000    162.00000
   165.00000      0.00000      0.00000    165.00000
   168.00000      0.00000      0.00000    168.00000
   171.00000      0.00000      0.00000    171.00000
   174.00000      0.00000      0.00000    174.00000
   177.00000      0.00000      0.00000    177.00000
   180.00000      0.00000      0.00000    180.00000
   183.00000      0.00000      0.00000    183.00000
   186.00000      0.00000      0.00000    186.00000
   189.00000      0.00000      0.00000    189.00000
   192.00000      0.00000      0.00000    192.00000
   195.00000      0.00000      0.00000    195.00000
   198.00000      0.00000      0.00000    198.00000
   201.00000      0.00000      0.00000    201.00000
   204.00000      0.00000      0.00000    204.00000
   207.00000      0.00000      0.00000    207.00000
   210.00002      0.00000      0.00000    210.00002
   213.00000      0.00000      0.00000    213.00000
   216.00000      0.00000      0.00000    216.00000
   219.00000      0.00000      0.00000    219.00000
   221.99998      0.00000      0.00000    221.99998
   225.00002      0.00000      0.00000    225.00002
   228.00000      0.00000      0.00000    228.00000
   231.00000      0.00000      0.00000    231.00000
   233.99998      0.00000      0.00000    233.99998
   237.00002      0.00000      0.00000    237.00002
   240.00000      0.00000      0.00000    240.00000
   243.00000      0.00000      0.00000    243.00000
   245.99998      0.00000      0.00000    245.99998
   249.00002      0.00000      0.00000    249.00002
   252.00000      0.00000      0.00000    252.00000
   255.00000      0.00000      0.00000    255.00000
   258.00000      0.00000      0.00000    258.00000
   261.00000      0.00000      0.00000    261.00000
   264.00000      0.00000      0.00000    264.00000
   267.00000      0.00000      0.00000    267.00000
   270.00000      0.00000      0.00000    270.00000
   273.00000      0.00000      0.00000    273.00000
   276.00000      0.00000      0.00000    276.00000
   279.00000      0.00000      0.00000    279.00000
   282.00000      0.00000      0.00000    282.00000
   285.00000      0.00000      0.00000    285.00000
   288.00000      0.00000      0.00000    288.00000
   291.00000      0.00000      0.00000    291.00000
   294.00000      0.00000      0.00000    294.00000
   297.00000      0.00000      0.00000    297.00000
   300.00000      0.00000      0.00000    300.00000
   303.00000      0.00000      0.00000    303.00000
   306.00000      0.00000      0.00000    306.00000
   309.00000      0.00000      0.00000    309.00000
   312.00000      0.00000      0.00000    312.00000
   315.00000      0.00000      0.00000    315.00000
   318.00000      0.00000      0.00000    318.00000
   321.00000      0.00000      0.00000    321.00000
   324.00000      0.00000      0.00000    324.00000
   327.00000      0.00000      0.00000    327.00000
   330.00000      0.00000      0.00000    330.00000
   333.00000      0.00000      0.00000    333.00000
   336.00000      0.00000      0.00000    336.00000
   339.00000      0.00000      0.00000    339.00000
   342.00000      0.00000      0.00000    342.00000
   345.00000      0.00000      0.00000    345.00000
   348.00000      0.00000      0.00000    348.00000
   351.00000      0.00000      0.00000    351.00000
   354.00000      0.00000      0.00000    354.00000
   357.00000      0.00000      0.00000    357.00000
