# Tigress ASCII Data File Version 4.1
# Copyright (c) 1993 Simon Petroleum Technology Ltd.
# 
# File created on 11/03/1998
#              at 15:18:16
#              by user cpi
# 
# using TIGRESS Deviation file conversion.
 
# Global Units Information
UNIT_DEPTH= m
UNIT_OFFSET= m
 
# Well Information
WELLNM= 15/6-6
OPERTR= ESSO EXPLORATION NORWAY INC
 
# Deviation Data Information
DATTYP= DEVN
 
DESCRP= DEV SURVEY
LNGTDE=      1.74827222
LATTDE=     58.52071389
REFDIR=      0.00000000
 
#    <Depth><Inclination>    <Azimuth>
     0.00000      0.00000      0.00000
   197.50000      1.00000     58.00000
   281.00000      1.50000     58.00000
   379.00000      1.00000     63.00000
   465.00000      1.00000     78.00000
   565.00000      0.50000      3.00000
   660.00000      0.75000     71.00000
   756.00000      0.50000     99.00000
   852.00000      0.50000    343.00000
   948.00000      0.12500     44.00000
  1044.00000      1.00000     58.00000
  1140.00000      0.50000    348.00000
  1218.00000      0.75000    231.00000
  1330.00000      0.50000    262.00000
  1426.00000      1.00000    230.00000
  1505.00000      0.50000    213.00000
  1608.00000      1.00000    243.00000
  1723.00000      1.00000    246.00000
  1829.00000      0.50000    301.00000
  1944.00000      1.00000    129.00000
  2050.00000      1.00000    198.00000
  2137.00000      2.75000    222.00000
  2242.00000      1.25000    168.00000
  2347.00000      1.50000    268.00000
  2452.00000      1.75000    268.00000
  2557.00000      0.75000     45.00000
  2650.00000      0.75000    186.00000
  2711.00000      0.50000    188.00000
  2794.00000      0.00000      0.00000
  2895.00000      0.50000    172.00000
  2998.00000      0.25000    253.00000
  3093.00000      0.75000    333.00000
  3188.00000      1.25000     58.00000
  3282.00000      0.50000     38.00000
  3377.00000      0.00000      0.00000
  3471.00000      0.00000      0.00000
  3565.00000      0.75000    273.00000
  3590.00000      1.00000    313.00000
  3685.00000      1.00000    281.00000
  3760.00000      1.00000    290.00000
  3767.13989      1.00000    290.00000
 
CDMETH= MCURV
 
#    <Depth>         <DX>         <DY>        <TVD>
     0.00000      0.00000      0.00000      0.00000
     1.00000      0.00740      0.00462      0.99995
     2.00000      0.01480      0.00925      1.99990
     3.00000      0.02220      0.01387      2.99985
     4.00000      0.02960      0.01850      3.99980
     5.00000      0.03700      0.02312      4.99975
     6.00000      0.04440      0.02775      5.99970
     7.00000      0.05180      0.03237      6.99964
     8.00000      0.05920      0.03699      7.99959
     9.00000      0.06660      0.04162      8.99954
    10.00000      0.07400      0.04624      9.99949
    11.00000      0.08140      0.05087     10.99944
    12.00000      0.08881      0.05549     11.99939
    13.00000      0.09621      0.06012     12.99934
    14.00000      0.10361      0.06474     13.99929
    15.00000      0.11101      0.06936     14.99924
    16.00000      0.11841      0.07399     15.99919
    17.00000      0.12581      0.07861     16.99914
    18.00000      0.13321      0.08324     17.99909
    19.00000      0.14061      0.08786     18.99903
    20.00000      0.14801      0.09249     19.99899
    21.00000      0.15541      0.09711     20.99893
    22.00000      0.16281      0.10173     21.99888
    23.00000      0.17021      0.10636     22.99883
    24.00000      0.17761      0.11098     23.99878
    25.00000      0.18501      0.11561     24.99873
    26.00000      0.19241      0.12023     25.99868
    27.00000      0.19981      0.12486     26.99863
    28.00000      0.20721      0.12948     27.99858
    29.00000      0.21461      0.13410     28.99853
    30.00000      0.22201      0.13873     29.99848
    31.00000      0.22941      0.14335     30.99843
    32.00000      0.23681      0.14798     31.99837
    33.00000      0.24421      0.15260     32.99833
    34.00000      0.25161      0.15723     33.99828
    35.00000      0.25901      0.16185     34.99822
    36.00000      0.26642      0.16647     35.99817
    37.00000      0.27382      0.17110     36.99812
    38.00000      0.28122      0.17572     37.99807
    39.00000      0.28862      0.18035     38.99802
    40.00000      0.29602      0.18497     39.99797
    41.00000      0.30342      0.18960     40.99792
    42.00000      0.31082      0.19422     41.99787
    43.00000      0.31822      0.19884     42.99782
    44.00000      0.32562      0.20347     43.99776
    45.00000      0.33302      0.20809     44.99771
    46.00000      0.34042      0.21272     45.99767
    47.00000      0.34782      0.21734     46.99762
    48.00000      0.35522      0.22197     47.99756
    49.00000      0.36262      0.22659     48.99751
    50.00000      0.37002      0.23122     49.99746
    51.00000      0.37742      0.23584     50.99741
    52.00000      0.38482      0.24046     51.99736
    53.00000      0.39222      0.24509     52.99731
    54.00000      0.39962      0.24971     53.99726
    55.00000      0.40702      0.25434     54.99721
    56.00000      0.41442      0.25896     55.99716
    57.00000      0.42182      0.26359     56.99710
    58.00000      0.42922      0.26821     57.99706
    59.00000      0.43663      0.27283     58.99701
    60.00000      0.44403      0.27746     59.99696
    61.00000      0.45143      0.28208     60.99690
    62.00000      0.45883      0.28671     61.99685
    63.00000      0.46623      0.29133     62.99680
    64.00000      0.47363      0.29596     63.99675
    65.00000      0.48103      0.30058     64.99670
    66.00000      0.48843      0.30520     65.99665
    67.00000      0.49583      0.30983     66.99660
    68.00000      0.50323      0.31445     67.99655
    69.00000      0.51063      0.31908     68.99650
    70.00000      0.51803      0.32370     69.99644
    71.00000      0.52543      0.32833     70.99640
    72.00000      0.53283      0.33295     71.99635
    73.00000      0.54023      0.33757     72.99629
    74.00000      0.54763      0.34220     73.99625
    75.00000      0.55503      0.34682     74.99619
    76.00000      0.56243      0.35145     75.99614
    77.00000      0.56983      0.35607     76.99609
    78.00000      0.57723      0.36070     77.99604
    79.00000      0.58463      0.36532     78.99599
    80.00000      0.59203      0.36994     79.99594
    81.00000      0.59943      0.37457     80.99589
    82.00000      0.60684      0.37919     81.99583
    83.00000      0.61424      0.38382     82.99579
    84.00000      0.62164      0.38844     83.99574
    85.00000      0.62904      0.39307     84.99568
    86.00000      0.63644      0.39769     85.99564
    87.00000      0.64384      0.40231     86.99558
    88.00000      0.65124      0.40694     87.99553
    89.00000      0.65864      0.41156     88.99548
    90.00000      0.66604      0.41619     89.99543
    91.00000      0.67344      0.42081     90.99538
    92.00000      0.68084      0.42544     91.99533
    93.00000      0.68824      0.43006     92.99528
    94.00000      0.69564      0.43468     93.99523
    95.00000      0.70304      0.43931     94.99518
    96.00000      0.71044      0.44393     95.99512
    97.00000      0.71784      0.44856     96.99508
    98.00000      0.72524      0.45318     97.99503
    99.00000      0.73264      0.45781     98.99497
   100.00000      0.74004      0.46243     99.99493
   101.00000      0.74744      0.46705    100.99487
   102.00000      0.75484      0.47168    101.99482
   103.00000      0.76224      0.47630    102.99477
   104.00000      0.76964      0.48093    103.99472
   105.00000      0.77704      0.48555    104.99467
   106.00000      0.78445      0.49018    105.99462
   107.00000      0.79185      0.49480    106.99457
   108.00000      0.79925      0.49942    107.99451
   109.00000      0.80665      0.50405    108.99447
   110.00000      0.81405      0.50867    109.99442
   111.00000      0.82145      0.51330    110.99436
   112.00000      0.82885      0.51792    111.99432
   113.00000      0.83625      0.52255    112.99426
   114.00000      0.84365      0.52717    113.99421
   115.00000      0.85105      0.53179    114.99416
   116.00000      0.85845      0.53642    115.99411
   117.00000      0.86585      0.54104    116.99406
   118.00000      0.87325      0.54567    117.99401
   119.00000      0.88065      0.55029    118.99396
   120.00000      0.88805      0.55492    119.99391
