WellnameUWN     UTM NortUTM EastPOINT   DRIFT   AZIMUTH VERT    NS      EW      Dogleg
 15/6/06    2620 6487513427087.5   197.5       1      58   197.5       0       0       0
 15/6/06    2620 6487513427087.5     281     1.5      58  280.99    0.97    1.54   0.539
 15/6/06    2620 6487513427087.5     379       1      63  378.97    2.03    3.39   0.157
 15/6/06    2620 6487513427087.5     465       1      78  464.96    2.53     4.8   0.091
 15/6/06    2620 6487513427087.5     565     0.5       3  564.95    3.15    5.67   0.299
 15/6/06    2620 6487513427087.5     660    0.75      71  659.94    3.76    6.28    0.23
 15/6/06    2620 6487513427087.5     756     0.5      99  755.94     3.9    7.29   0.121
 15/6/06    2620 6487513427087.5     852     0.5     343  851.94    4.24    7.58   0.266
 15/6/06    2620 6487513427087.5     948    0.13      44  947.93    4.72    7.54   0.141
 15/6/06    2620 6487513427087.5    1044       1      58 1043.93    5.24    8.32   0.275
 15/6/06    2620 6487513427087.5    1140     0.5     348 1139.99    6.09    8.94   0.298
 15/6/06    2620 6487513427087.5    1218    0.75     231 1217.98     6.1    8.48   0.413
 15/6/06    2620 6487513427087.5    1330     0.5     262 1329.97    5.57    7.42    0.11
 15/6/06    2620 6487513427087.5    1426       1     230 1425.97    4.98    6.37   0.198
 15/6/06    2620 6487513427087.5    1505     0.5     213 1504.96    4.25    5.65   0.206
 15/6/06    2620 6487513427087.5    1608       1     243 1607.95    3.46    4.61    0.18
 15/6/06    2620 6487513427087.5    1723       1     246 1722.93     2.6    2.79   0.014
 15/6/06    2620 6487513427087.5    1829     0.5     301 1828.92    2.46    1.55   0.233
 15/6/06    2620 6487513427087.5    1944       1     129 1943.91    2.09     1.9    0.39
 15/6/06    2620 6487513427087.5    2050       1     198  2049.9    0.62    2.34   0.321
 15/6/06    2620 6487513427087.5    2137    2.75     222 2136.85   -1.65     0.7   0.649
 15/6/06    2620 6487513427087.5    2242    1.25     168 2241.79   -4.64   -0.74   0.644
 15/6/06    2620 6487513427087.5    2347     1.5     268 2346.76   -5.81   -1.88   0.577
 15/6/06    2620 6487513427087.5    2452    1.75     268 2451.72   -5.91   -4.85   0.071
 15/6/06    2620 6487513427087.5    2557    0.75      45 2556.69   -5.48   -5.97   0.683
 15/6/06    2620 6487513427087.5    2650    0.75     186 2649.68   -5.66    -5.6   0.456
 15/6/06    2620 6487513427087.5    2711     0.5     188 2710.68   -6.32   -5.68   0.123
 15/6/06    2620 6487513427087.5    2794       0       0 2793.68   -6.68   -5.73   0.181
 15/6/06    2620 6487513427087.5    2895     0.5     172 2894.68   -7.11   -5.67   0.148
 15/6/06    2620 6487513427087.5    2998    0.25     253 2997.67   -7.63   -5.82   0.152
 15/6/06    2620 6487513427087.5    3093    0.75     333 3092.67   -7.13    -6.3   0.262
 15/6/06    2620 6487513427087.5    3188    1.25      58 3187.66   -6.03   -5.71   0.365
 15/6/06    2620 6487513427087.5    3282     0.5      38 3281.65   -5.16   -4.59   0.255
 15/6/06    2620 6487513427087.5    3377       0       0 3376.65   -4.84   -4.33   0.158
 15/6/06    2620 6487513427087.5    3471       0       0 3470.66   -4.84   -4.33       0
 15/6/06    2620 6487513427087.5    3565    0.75     273 3564.64    -4.8   -4.94   0.239
 15/6/06    2620 6487513427087.5    3590       1     313 3589.64   -4.65   -5.27   0.772
 15/6/06    2620 6487513427087.5    3685       1     281 3684.63   -3.92   -6.69   0.174
 15/6/06    2620 6487513427087.5    3760       1     290 3759.61   -3.57   -7.95   0.063


                                 
                               
                        
