# Tigress ASCII Data File Version 4.1
# Copyright (c) 1993 Simon Petroleum Technology Ltd.
# 
# File created on 23/05/1997
#              at 09:21:42
#              by user cpi
# 
# using TIGRESS Deviation file conversion.
 
# Global Units Information
UNIT_DEPTH= m
UNIT_OFFSET= m
 
# Well Information
WELLNM= 15/8-1
OPERTR= STATOIL
 
# Deviation Data Information
DATTYP= DEVN
 
DESCRP= DEV SURVEY
LNGTDE=      1.57286389
LATTDE=     58.36336111
REFDIR=      0.00000000
 
#    <Depth><Inclination>    <Azimuth>
     0.00000      0.00000      0.00000
   563.00000      0.50000     81.00000
   631.00000      0.50000    135.00000
   698.00000      0.50000     88.00000
   766.00000      0.50000    219.00000
   833.00000      0.30000    239.00000
   900.00000      0.10000    239.00000
   968.00000      0.05000    189.00000
  1035.00000      0.05000    193.00000
  1103.00000      0.10000     41.00000
  1170.00000      0.30000     61.00000
  1180.00000      0.20000     88.00000
  1195.00000      0.10000      7.00000
  4311.35986      0.10000      7.00000
 
CDMETH= MCURV
 
#    <Depth>         <DX>         <DY>        <TVD>
     0.00000      0.00000      0.00000      0.00000
     1.00000      0.00431      0.00068      0.99999
     2.00000      0.00862      0.00137      1.99997
     3.00000      0.01293      0.00205      2.99996
     4.00000      0.01724      0.00273      3.99995
     5.00000      0.02155      0.00341      4.99994
     6.00000      0.02586      0.00410      5.99992
     7.00000      0.03017      0.00478      6.99991
     8.00000      0.03448      0.00546      7.99990
     9.00000      0.03879      0.00614      8.99989
    10.00000      0.04310      0.00683      9.99987
    11.00000      0.04741      0.00751     10.99986
    12.00000      0.05171      0.00819     11.99985
    13.00000      0.05602      0.00887     12.99984
    14.00000      0.06033      0.00956     13.99982
    15.00000      0.06464      0.01024     14.99981
    16.00000      0.06895      0.01092     15.99980
    17.00000      0.07326      0.01160     16.99978
    18.00000      0.07757      0.01229     17.99977
    19.00000      0.08188      0.01297     18.99976
    20.00000      0.08619      0.01365     19.99975
    21.00000      0.09050      0.01433     20.99973
    22.00000      0.09481      0.01502     21.99972
    23.00000      0.09912      0.01570     22.99971
    24.00000      0.10343      0.01638     23.99969
    25.00000      0.10774      0.01706     24.99968
    26.00000      0.11205      0.01775     25.99967
    27.00000      0.11636      0.01843     26.99966
