Wellname  UWN       UTMnorth  UTMeast   MeasDepth(m)MeasTVD(m)Dip       Azimuth   Location(NLocation(EDogleg
15/8-1          6566 6470198.7 416499.09         563    562.99       0.5        816470199.08 416501.52      0.03
15/8-1          6566 6470198.7 416499.09         631    630.99       0.5       1356470198.92 416502.02       0.2
15/8-1          6566 6470198.7 416499.09         698    697.99       0.5        886470198.72 416502.52      0.18
15/8-1          6566 6470198.7 416499.09         766    765.99       0.5       219 6470198.5 416502.63       0.4
15/8-1          6566 6470198.7 416499.09         833    832.99       0.3       2396470198.19 416502.29      0.11
15/8-1          6566 6470198.7 416499.09         900    899.99       0.1       2396470198.07 416502.09      0.09
15/8-1          6566 6470198.7 416499.09         968    967.98      0.05       1896470198.01 416502.04      0.04
15/8-1          6566 6470198.7 416499.09        1035   1034.98      0.05       1936470197.95 416502.03         0
15/8-1          6566 6470198.7 416499.09        1103   1102.98       0.1        416470197.96 416502.06      0.07
15/8-1          6566 6470198.7 416499.09        1170   1169.98       0.3        616470198.09 416502.25      0.09
15/8-1          6566 6470198.7 416499.09        1180   1179.98       0.2        886470198.11 416502.29      0.46
15/8-1          6566 6470198.7 416499.09        1195   1194.98       0.1         76470198.12 416502.32      0.42
