# Tigress ASCII Data File Version 4.1
# Copyright (c) 1993 Simon Petroleum Technology Ltd.
# 
# File created on 22/05/1997
#              at 14:22:52
#              by user cpi
# 
# using TIGRESS Deviation file conversion.
 
# Global Units Information
UNIT_DEPTH= m
UNIT_OFFSET= m
 
# Well Information
WELLNM= 15/9-1
OPERTR= STATOIL
 
# Deviation Data Information
DATTYP= DEVN
 
DESCRP= DEVIATION DATA
LNGTDE=      1.75326667
LATTDE=     58.47194444
REFDIR=      0.00000000
 
#    <Depth><Inclination>    <Azimuth>
   129.00000      0.00000      0.00000
  1217.00000      1.00000    358.00000
  1390.00000      1.00000    358.00000
  1485.00000      0.25000    250.00000
  1631.63000      0.75000    250.00000
  1726.00000      0.75000    258.00000
  1913.00000      1.00000    195.00000
  2034.00000      1.75000    295.00000
  2223.00000      2.00000    338.00000
  2289.00000      1.00000    313.00000
  2478.00000      1.00000    282.00000
  2590.00000      1.50000    353.00000
  2743.00000      0.50000    258.00000
  2865.00000      1.00000    262.00000
  3350.00000      1.75000    243.00000
  3397.00000      2.50000    228.00000
  3436.00000      2.25000    236.00000
  3454.00000      1.00000    250.00000
  3459.00000      1.00000     82.00000
  3465.00000      2.00000    102.00000
  3474.00000      3.00000    293.00000
  3485.00000      3.50000    128.00000
  3500.00000      3.25000    170.00000
  3505.00000      3.25000    170.00000
  3518.00000      3.75000    146.00000
  3521.00000      2.25000    312.00000
  3559.00000      3.00000    154.00000
  3586.00000      2.50000    268.00000
  3630.00000      3.25000    164.00000
  3699.00000      2.25000    171.00000
 
CDMETH= AVANG
 
#    <Depth>         <DX>         <DY>        <TVD>
   129.00000      0.00000      0.00000    129.00000
   130.00000      0.00015     -0.00873    129.99997
   131.00000      0.00030     -0.01745    130.99992
   132.00000      0.00046     -0.02618    131.99989
   133.00000      0.00061     -0.03490    132.99985
   134.00000      0.00076     -0.04363    133.99982
   135.00000      0.00091     -0.05235    134.99977
   136.00000      0.00107     -0.06108    135.99974
   137.00000      0.00122     -0.06980    136.99969
   138.00000      0.00137     -0.07853    137.99966
   139.00000      0.00152     -0.08725    138.99962
   140.00000      0.00168     -0.09598    139.99959
   141.00000      0.00183     -0.10470    140.99954
   142.00000      0.00198     -0.11343    141.99951
   143.00000      0.00213     -0.12215    142.99947
   144.00000      0.00228     -0.13088    143.99944
   145.00000      0.00244     -0.13960    144.99939
   146.00000      0.00259     -0.14833    145.99936
   147.00000      0.00274     -0.15705    146.99931
   148.00000      0.00289     -0.16578    147.99928
   149.00000      0.00305     -0.17450    148.99924
   150.00000      0.00320     -0.18323    149.99921
   151.00000      0.00335     -0.19195    150.99916
   152.00000      0.00350     -0.20068    151.99913
   153.00000      0.00366     -0.20940    152.99908
   154.00000      0.00381     -0.21813    153.99905
   155.00000      0.00396     -0.22686    154.99901
   156.00000      0.00411     -0.23558    155.99898
   157.00000      0.00426     -0.24431    156.99893
   158.00000      0.00442     -0.25303    157.99890
   159.00000      0.00457     -0.26176    158.99886
   160.00000      0.00472     -0.27048    159.99883
   161.00000      0.00487     -0.27921    160.99878
   162.00000      0.00503     -0.28793    161.99875
   163.00000      0.00518     -0.29666    162.99870
   164.00000      0.00533     -0.30538    163.99867
   165.00000      0.00548     -0.31411    164.99863
   166.00000      0.00564     -0.32283    165.99860
   167.00000      0.00579     -0.33156    166.99855
   168.00000      0.00594     -0.34028    167.99852
   169.00000      0.00609     -0.34901    168.99847
   170.00000      0.00624     -0.35773    169.99844
   171.00000      0.00640     -0.36646    170.99840
   172.00000      0.00655     -0.37518    171.99837
   173.00000      0.00670     -0.38391    172.99832
   174.00000      0.00685     -0.39263    173.99829
   175.00000      0.00701     -0.40136    174.99825
   176.00000      0.00716     -0.41008    175.99821
   177.00000      0.00731     -0.41881    176.99817
   178.00000      0.00746     -0.42754    177.99814
   179.00000      0.00761     -0.43626    178.99809
   180.00000      0.00777     -0.44499    179.99806
   181.00000      0.00792     -0.45371    180.99802
   182.00000      0.00807     -0.46244    181.99799
   183.00000      0.00822     -0.47116    182.99794
   184.00000      0.00838     -0.47989    183.99791
   185.00000      0.00853     -0.48861    184.99786
   186.00000      0.00868     -0.49734    185.99783
   187.00000      0.00883     -0.50606    186.99779
   188.00000      0.00899     -0.51479    187.99776
   189.00000      0.00914     -0.52351    188.99771
   190.00000      0.00929     -0.53224    189.99768
   191.00000      0.00944     -0.54096    190.99763
   192.00000      0.00959     -0.54969    191.99760
   193.00000      0.00975     -0.55841    192.99756
   194.00000      0.00990     -0.56714    193.99753
   195.00000      0.01005     -0.57586    194.99750
   196.00000      0.01020     -0.58459    195.99745
   197.00000      0.01036     -0.59331    196.99741
   198.00000      0.01051     -0.60204    197.99738
   199.00000      0.01066     -0.61076    198.99734
   200.00000      0.01081     -0.61949    199.99730
   201.00000      0.01097     -0.62821    200.99725
   202.00000      0.01112     -0.63694    201.99722
   203.00000      0.01127     -0.64567    202.99719
   204.00000      0.01142     -0.65439    203.99715
   205.00000      0.01157     -0.66312    204.99710
   206.00000      0.01173     -0.67184    205.99707
   207.00000      0.01188     -0.68057    206.99704
   208.00000      0.01203     -0.68929    207.99699
   209.00000      0.01218     -0.69802    208.99695
   210.00000      0.01234     -0.70674    209.99692
   211.00000      0.01249     -0.71547    210.99689
   212.00000      0.01264     -0.72419    211.99684
   213.00000      0.01279     -0.73292    212.99680
   214.00000      0.01295     -0.74164    213.99677
   215.00000      0.01310     -0.75037    214.99673
   216.00000      0.01325     -0.75909    215.99669
   217.00000      0.01340     -0.76782    216.99664
   218.00000      0.01355     -0.77654    217.99661
   219.00000      0.01371     -0.78527    218.99658
   220.00000      0.01386     -0.79399    219.99654
   221.00000      0.01401     -0.80272    220.99649
   222.00000      0.01416     -0.81144    221.99646
   223.00000      0.01432     -0.82017    222.99643
   224.00000      0.01447     -0.82889    223.99638
   225.00000      0.01462     -0.83762    224.99634
   226.00000      0.01477     -0.84635    225.99631
   227.00000      0.01493     -0.85507    226.99628
   228.00000      0.01508     -0.86380    227.99623
   229.00000      0.01523     -0.87252    228.99619
   230.00000      0.01538     -0.88125    229.99615
   231.00000      0.01553     -0.88997    230.99612
   232.00000      0.01569     -0.89870    231.99608
   233.00000      0.01584     -0.90742    232.99603
   234.00000      0.01599     -0.91615    233.99600
   235.00000      0.01614     -0.92487    234.99597
   236.00000      0.01630     -0.93360    235.99593
   237.00000      0.01645     -0.94232    236.99588
   238.00000      0.01660     -0.95105    237.99585
   239.00000      0.01675     -0.95977    238.99582
   240.00000      0.01691     -0.96850    239.99577
   241.00000      0.01706     -0.97722    240.99573
   242.00000      0.01721     -0.98595    241.99570
   243.00000      0.01736     -0.99467    242.99567
   244.00000      0.01751     -1.00340    243.99562
   245.00000      0.01767     -1.01212    244.99557
   246.00000      0.01782     -1.02085    245.99554
   247.00000      0.01797     -1.02957    246.99551
   248.00000      0.01812     -1.03830    247.99547
   249.00000      0.01828     -1.04702    248.99542
   250.00000      0.01843     -1.05575    249.99539
   251.00000      0.01858     -1.06448    250.99536
   252.00000      0.01873     -1.07320    251.99532
   253.00000      0.01889     -1.08193    252.99527
   254.00000      0.01904     -1.09065    253.99524
   255.00000      0.01919     -1.09938    254.99521
   256.00000      0.01934     -1.10810    255.99516
   257.00000      0.01949     -1.11683    256.99512
   258.00000      0.01965     -1.12555    257.99509
   259.00000      0.01980     -1.13428    258.99506
   260.00000      0.01995     -1.14300    259.99500
   261.00000      0.02010     -1.15173    260.99500
   262.00000      0.02026     -1.16045    261.99493
   263.00000      0.02041     -1.16918    262.99490
   264.00000      0.02056     -1.17790    263.99487
   265.00000      0.02071     -1.18663    264.99481
   266.00000      0.02086     -1.19535    265.99478
   267.00000      0.02102     -1.20408    266.99475
   268.00000      0.02117     -1.21280    267.99469
   269.00000      0.02132     -1.22153    268.99469
   270.00000      0.02147     -1.23025    269.99463
   271.00000      0.02163     -1.23898    270.99460
   272.00000      0.02178     -1.24770    271.99457
   273.00000      0.02193     -1.25643    272.99451
   274.00000      0.02208     -1.26515    273.99448
   275.00000      0.02224     -1.27388    274.99445
   276.00000      0.02239     -1.28261    275.99438
   277.00000      0.02254     -1.29133    276.99438
   278.00000      0.02269     -1.30006    277.99432
   279.00000      0.02284     -1.30878    278.99429
   280.00000      0.02300     -1.31751    279.99426
   281.00000      0.02315     -1.32623    280.99420
   282.00000      0.02330     -1.33496    281.99417
   283.00000      0.02345     -1.34368    282.99414
   284.00000      0.02361     -1.35241    283.99408
   285.00000      0.02376     -1.36113    284.99408
   286.00000      0.02391     -1.36986    285.99402
   287.00000      0.02406     -1.37858    286.99399
   288.00000      0.02422     -1.38731    287.99396
   289.00000      0.02437     -1.39603    288.99390
   290.00000      0.02452     -1.40476    289.99387
   291.00000      0.02467     -1.41348    290.99384
   292.00000      0.02482     -1.42221    291.99377
   293.00000      0.02498     -1.43093    292.99377
   294.00000      0.02513     -1.43966    293.99371
   295.00000      0.02528     -1.44838    294.99368
   296.00000      0.02543     -1.45711    295.99365
   297.00000      0.02559     -1.46583    296.99359
   298.00000      0.02574     -1.47456    297.99356
   299.00000      0.02589     -1.48329    298.99353
   300.00000      0.02604     -1.49201    299.99347
   301.00000      0.02620     -1.50074    300.99347
   302.00000      0.02635     -1.50946    301.99341
   303.00000      0.02650     -1.51819    302.99338
   304.00000      0.02665     -1.52691    303.99335
   305.00000      0.02680     -1.53564    304.99329
   306.00000      0.02696     -1.54436    305.99326
   307.00000      0.02711     -1.55309    306.99323
   308.00000      0.02726     -1.56181    307.99316
   309.00000      0.02741     -1.57054    308.99316
   310.00000      0.02757     -1.57926    309.99310
   311.00000      0.02772     -1.58799    310.99307
   312.00000      0.02787     -1.59671    311.99304
   313.00000      0.02802     -1.60544    312.99298
   314.00000      0.02818     -1.61416    313.99295
   315.00000      0.02833     -1.62289    314.99292
   316.00000      0.02848     -1.63161    315.99286
   317.00000      0.02863     -1.64034    316.99286
   318.00000      0.02878     -1.64906    317.99280
   319.00000      0.02894     -1.65779    318.99277
   320.00000      0.02909     -1.66651    319.99274
   321.00000      0.02924     -1.67524    320.99268
   322.00000      0.02939     -1.68396    321.99265
   323.00000      0.02955     -1.69269    322.99261
   324.00000      0.02970     -1.70142    323.99255
   325.00000      0.02985     -1.71014    324.99255
   326.00000      0.03000     -1.71887    325.99249
   327.00000      0.03016     -1.72759    326.99246
   328.00000      0.03031     -1.73632    327.99243
   329.00000      0.03046     -1.74504    328.99237
   330.00000      0.03061     -1.75377    329.99234
   331.00000      0.03076     -1.76249    330.99231
   332.00000      0.03092     -1.77122    331.99225
   333.00000      0.03107     -1.77994    332.99225
   334.00000      0.03122     -1.78867    333.99219
   335.00000      0.03137     -1.79739    334.99216
   336.00000      0.03153     -1.80612    335.99213
   337.00000      0.03168     -1.81484    336.99207
   338.00000      0.03183     -1.82357    337.99203
   339.00000      0.03198     -1.83229    338.99200
   340.00000      0.03214     -1.84102    339.99194
   341.00000      0.03229     -1.84974    340.99194
   342.00000      0.03244     -1.85847    341.99188
   343.00000      0.03259     -1.86719    342.99185
   344.00000      0.03274     -1.87592    343.99182
   345.00000      0.03290     -1.88464    344.99176
   346.00000      0.03305     -1.89337    345.99173
   347.00000      0.03320     -1.90209    346.99170
   348.00000      0.03335     -1.91082    347.99164
   349.00000      0.03351     -1.91955    348.99164
   350.00000      0.03366     -1.92827    349.99158
   351.00000      0.03381     -1.93700    350.99155
   352.00000      0.03396     -1.94572    351.99152
   353.00000      0.03411     -1.95445    352.99146
   354.00000      0.03427     -1.96317    353.99142
   355.00000      0.03442     -1.97190    354.99139
   356.00000      0.03457     -1.98062    355.99133
   357.00000      0.03472     -1.98935    356.99133
   358.00000      0.03488     -1.99807    357.99127
   359.00000      0.03503     -2.00680    358.99124
   360.00000      0.03518     -2.01552    359.99121
   361.00000      0.03533     -2.02425    360.99115
   362.00000      0.03549     -2.03297    361.99112
   363.00000      0.03564     -2.04170    362.99109
   364.00000      0.03579     -2.05042    363.99103
   365.00000      0.03594     -2.05915    364.99103
   366.00000      0.03609     -2.06787    365.99097
   367.00000      0.03625     -2.07660    366.99094
   368.00000      0.03640     -2.08532    367.99091
   369.00000      0.03655     -2.09405    368.99084
   370.00000      0.03670     -2.10277    369.99081
   371.00000      0.03686     -2.11150    370.99078
   372.00000      0.03701     -2.12023    371.99072
   373.00000      0.03716     -2.12895    372.99072
   374.00000      0.03731     -2.13768    373.99066
   375.00000      0.03747     -2.14640    374.99063
   376.00000      0.03762     -2.15513    375.99060
   377.00000      0.03777     -2.16385    376.99054
   378.00000      0.03792     -2.17258    377.99051
   379.00000      0.03807     -2.18130    378.99048
   380.00000      0.03823     -2.19003    379.99042
   381.00000      0.03838     -2.19875    380.99042
   382.00000      0.03853     -2.20748    381.99036
   383.00000      0.03868     -2.21620    382.99033
   384.00000      0.03884     -2.22493    383.99030
   385.00000      0.03899     -2.23365    384.99023
   386.00000      0.03914     -2.24238    385.99020
   387.00000      0.03929     -2.25110    386.99017
   388.00000      0.03945     -2.25983    387.99014
   389.00000      0.03960     -2.26855    388.99011
   390.00000      0.03975     -2.27728    389.99005
   391.00000      0.03990     -2.28600    390.99002
   392.00000      0.04005     -2.29473    391.98999
   393.00000      0.04021     -2.30345    392.98996
   394.00000      0.04036     -2.31218    393.98990
   395.00000      0.04051     -2.32090    394.98987
   396.00000      0.04066     -2.32963    395.98984
   397.00000      0.04082     -2.33836    396.98981
   398.00000      0.04097     -2.34708    397.98975
   399.00000      0.04112     -2.35581    398.98972
   400.00000      0.04127     -2.36453    399.98969
   401.00000      0.04143     -2.37326    400.98965
   402.00000      0.04158     -2.38198    401.98959
   403.00000      0.04173     -2.39071    402.98956
   404.00000      0.04188     -2.39943    403.98953
   405.00000      0.04203     -2.40816    404.98950
   406.00000      0.04219     -2.41688    405.98944
   407.00000      0.04234     -2.42561    406.98941
   408.00000      0.04249     -2.43433    407.98938
   409.00000      0.04264     -2.44306    408.98935
   410.00000      0.04280     -2.45178    409.98929
   411.00000      0.04295     -2.46051    410.98926
   412.00000      0.04310     -2.46923    411.98923
   413.00000      0.04325     -2.47796    412.98920
   414.00000      0.04341     -2.48668    413.98914
   415.00000      0.04356     -2.49541    414.98911
   416.00000      0.04371     -2.50413    415.98907
   417.00000      0.04386     -2.51286    416.98904
   418.00000      0.04401     -2.52158    417.98898
   419.00000      0.04417     -2.53031    418.98895
   420.00000      0.04432     -2.53904    419.98892
   421.00000      0.04447     -2.54776    420.98889
   422.00000      0.04462     -2.55649    421.98883
   423.00000      0.04478     -2.56521    422.98880
   424.00000      0.04493     -2.57394    423.98877
   425.00000      0.04508     -2.58266    424.98874
   426.00000      0.04523     -2.59139    425.98868
   427.00000      0.04539     -2.60011    426.98865
   428.00000      0.04554     -2.60884    427.98862
   429.00000      0.04569     -2.61756    428.98859
   430.00000      0.04584     -2.62629    429.98853
   431.00000      0.04599     -2.63501    430.98849
   432.00000      0.04615     -2.64374    431.98846
   433.00000      0.04630     -2.65246    432.98843
   434.00000      0.04645     -2.66119    433.98837
   435.00000      0.04660     -2.66991    434.98834
   436.00000      0.04676     -2.67864    435.98831
   437.00000      0.04691     -2.68736    436.98828
   438.00000      0.04706     -2.69609    437.98822
   439.00000      0.04721     -2.70481    438.98819
   440.00000      0.04736     -2.71354    439.98816
   441.00000      0.04752     -2.72226    440.98813
   442.00000      0.04767     -2.73099    441.98807
   443.00000      0.04782     -2.73971    442.98804
   444.00000      0.04797     -2.74844    443.98801
   445.00000      0.04813     -2.75717    444.98798
   446.00000      0.04828     -2.76589    445.98792
   447.00000      0.04843     -2.77462    446.98788
   448.00000      0.04858     -2.78334    447.98785
   449.00000      0.04874     -2.79207    448.98782
   450.00000      0.04889     -2.80079    449.98776
   451.00000      0.04904     -2.80952    450.98773
   452.00000      0.04919     -2.81824    451.98770
   453.00000      0.04934     -2.82697    452.98767
   454.00000      0.04950     -2.83569    453.98761
   455.00000      0.04965     -2.84442    454.98758
   456.00000      0.04980     -2.85314    455.98755
   457.00000      0.04995     -2.86187    456.98752
   458.00000      0.05011     -2.87059    457.98746
   459.00000      0.05026     -2.87932    458.98743
   460.00000      0.05041     -2.88804    459.98740
   461.00000      0.05056     -2.89677    460.98737
   462.00000      0.05072     -2.90549    461.98730
   463.00000      0.05087     -2.91422    462.98727
   464.00000      0.05102     -2.92294    463.98724
   465.00000      0.05117     -2.93167    464.98721
   466.00000      0.05132     -2.94039    465.98715
   467.00000      0.05148     -2.94912    466.98712
   468.00000      0.05163     -2.95784    467.98709
   469.00000      0.05178     -2.96657    468.98706
   470.00000      0.05193     -2.97530    469.98700
   471.00000      0.05209     -2.98402    470.98697
   472.00000      0.05224     -2.99275    471.98694
   473.00000      0.05239     -3.00147    472.98691
   474.00000      0.05254     -3.01020    473.98685
   475.00000      0.05270     -3.01892    474.98682
   476.00000      0.05285     -3.02765    475.98679
   477.00000      0.05300     -3.03637    476.98676
   478.00000      0.05315     -3.04510    477.98669
   479.00000      0.05330     -3.05382    478.98666
   480.00000      0.05346     -3.06255    479.98663
   481.00000      0.05361     -3.07127    480.98660
   482.00000      0.05376     -3.08000    481.98654
   483.00000      0.05391     -3.08872    482.98651
   484.00000      0.05407     -3.09745    483.98648
   485.00000      0.05422     -3.10617    484.98645
   486.00000      0.05437     -3.11490    485.98639
   487.00000      0.05452     -3.12362    486.98636
   488.00000      0.05468     -3.13235    487.98633
   489.00000      0.05483     -3.14107    488.98630
   490.00000      0.05498     -3.14980    489.98624
   491.00000      0.05513     -3.15852    490.98621
   492.00000      0.05528     -3.16725    491.98618
   493.00000      0.05544     -3.17598    492.98615
   494.00000      0.05559     -3.18470    493.98608
   495.00000      0.05574     -3.19343    494.98605
   496.00000      0.05589     -3.20215    495.98602
   497.00000      0.05605     -3.21088    496.98599
   498.00000      0.05620     -3.21960    497.98593
   499.00000      0.05635     -3.22833    498.98590
