# Tigress ASCII Data File Version 4.1
# Copyright (c) 1993 Simon Petroleum Technology Ltd.
# 
# File created on 07/05/1997
#              at 15:34:51
#              by user cpi
# 
# using TIGRESS Deviation file conversion.
 
# Global Units Information
UNIT_DEPTH= m
UNIT_OFFSET= m
 
# Well Information
WELLNM= 15/9-10
OPERTR= STATOIL
 
# Deviation Data Information
DATTYP= DEVN
 
DESCRP= DEV SURVEY
LNGTDE=      1.77239167
LATTDE=     58.32858889
REFDIR=      0.00000000
 
#    <Depth><Inclination>    <Azimuth>
     0.00000      0.00000      0.00000
   478.00000      0.50000      8.00000
   598.00000      0.25000    144.00000
   693.00000      0.25000    159.00000
   796.00000      0.50000    202.00000
   900.00000      0.25000     90.00000
   995.00000      0.50000    192.00000
  1090.00000      0.25000    239.00000
  1174.00000      0.25000     11.00000
  1270.00000      0.75000    346.00000
  1363.00000      0.50000    340.00000
  1458.00000      0.50000     42.00000
  1553.00000      0.75000     13.00000
  1648.00000      1.75000     69.00000
  1743.00000      1.25000     52.00000
  1839.00000      1.50000     68.00000
  1934.00000      1.50000     48.00000
  2029.00000      1.75000     34.00000
  2124.00000      1.75000     59.00000
  2217.00000      1.25000     62.00000
  2311.00000      0.75000     28.00000
  2406.00000      1.25000      1.00000
  2453.00000      1.50000     17.00000
  2546.00000      1.75000     12.00000
  2643.00000      0.50000     70.00000
  2714.00000      0.50000    152.00000
  2808.00000      1.00000    182.00000
  2904.00000      1.00000    117.00000
  2954.00000      0.75000    152.00000
  3040.00000      1.75000    142.00000
  3078.00000      2.00000    163.00000
  3133.00000      1.50000    170.00000
  3240.00000      1.50000    186.00000
  3285.00000      1.25000    209.00000
  3297.47998      1.25000    209.00000
 
CDMETH= MCURV
 
#    <Depth>         <DX>         <DY>        <TVD>
     0.00000      0.00000      0.00000      0.00000
     1.00000      0.00061      0.00432      0.99999
     2.00000      0.00121      0.00864      1.99997
     3.00000      0.00182      0.01296      2.99996
     4.00000      0.00243      0.01728      3.99995
     5.00000      0.00304      0.02160      4.99994
     6.00000      0.00364      0.02592      5.99992
     7.00000      0.00425      0.03025      6.99991
     8.00000      0.00486      0.03457      7.99990
     9.00000      0.00547      0.03889      8.99989
    10.00000      0.00607      0.04321      9.99987
    11.00000      0.00668      0.04753     10.99986
    12.00000      0.00729      0.05185     11.99985
    13.00000      0.00789      0.05617     12.99984
    14.00000      0.00850      0.06049     13.99982
    15.00000      0.00911      0.06481     14.99981
    16.00000      0.00972      0.06913     15.99980
    17.00000      0.01032      0.07345     16.99978
    18.00000      0.01093      0.07777     17.99977
    19.00000      0.01154      0.08210     18.99976
    20.00000      0.01215      0.08642     19.99975
    21.00000      0.01275      0.09074     20.99973
    22.00000      0.01336      0.09506     21.99972
    23.00000      0.01397      0.09938     22.99971
    24.00000      0.01457      0.10370     23.99969
    25.00000      0.01518      0.10802     24.99968
    26.00000      0.01579      0.11234     25.99967
    27.00000      0.01640      0.11666     26.99966
    28.00000      0.01700      0.12098     27.99964
    29.00000      0.01761      0.12530     28.99963
    30.00000      0.01822      0.12962     29.99962
    31.00000      0.01882      0.13395     30.99961
    32.00000      0.01943      0.13827     31.99959
    33.00000      0.02004      0.14259     32.99958
    34.00000      0.02065      0.14691     33.99957
    35.00000      0.02125      0.15123     34.99955
    36.00000      0.02186      0.15555     35.99954
    37.00000      0.02247      0.15987     36.99953
    38.00000      0.02308      0.16419     37.99952
    39.00000      0.02368      0.16851     38.99950
    40.00000      0.02429      0.17283     39.99949
    41.00000      0.02490      0.17715     40.99948
    42.00000      0.02550      0.18147     41.99947
    43.00000      0.02611      0.18580     42.99945
    44.00000      0.02672      0.19012     43.99944
    45.00000      0.02733      0.19444     44.99943
    46.00000      0.02793      0.19876     45.99942
    47.00000      0.02854      0.20308     46.99940
    48.00000      0.02915      0.20740     47.99939
    49.00000      0.02976      0.21172     48.99938
    50.00000      0.03036      0.21604     49.99936
    51.00000      0.03097      0.22036     50.99935
    52.00000      0.03158      0.22468     51.99934
    53.00000      0.03218      0.22900     52.99932
    54.00000      0.03279      0.23332     53.99931
    55.00000      0.03340      0.23765     54.99930
    56.00000      0.03401      0.24197     55.99929
    57.00000      0.03461      0.24629     56.99928
    58.00000      0.03522      0.25061     57.99926
    59.00000      0.03583      0.25493     58.99925
    60.00000      0.03644      0.25925     59.99924
    61.00000      0.03704      0.26357     60.99923
    62.00000      0.03765      0.26789     61.99921
    63.00000      0.03826      0.27221     62.99920
    64.00000      0.03886      0.27653     63.99919
    65.00000      0.03947      0.28085     64.99918
    66.00000      0.04008      0.28517     65.99916
    67.00000      0.04069      0.28950     66.99915
    68.00000      0.04129      0.29382     67.99914
    69.00000      0.04190      0.29814     68.99912
    70.00000      0.04251      0.30246     69.99911
    71.00000      0.04311      0.30678     70.99910
    72.00000      0.04372      0.31110     71.99908
    73.00000      0.04433      0.31542     72.99907
    74.00000      0.04494      0.31974     73.99906
    75.00000      0.04554      0.32406     74.99905
    76.00000      0.04615      0.32838     75.99903
    77.00000      0.04676      0.33270     76.99902
    78.00000      0.04737      0.33702     77.99901
    79.00000      0.04797      0.34135     78.99899
    80.00000      0.04858      0.34567     79.99899
    81.00000      0.04919      0.34999     80.99897
    82.00000      0.04979      0.35431     81.99895
    83.00000      0.05040      0.35863     82.99895
    84.00000      0.05101      0.36295     83.99893
    85.00000      0.05162      0.36727     84.99892
    86.00000      0.05222      0.37159     85.99891
    87.00000      0.05283      0.37591     86.99889
    88.00000      0.05344      0.38023     87.99888
    89.00000      0.05405      0.38455     88.99887
    90.00000      0.05465      0.38887     89.99886
    91.00000      0.05526      0.39320     90.99884
    92.00000      0.05587      0.39752     91.99883
    93.00000      0.05647      0.40184     92.99882
    94.00000      0.05708      0.40616     93.99880
    95.00000      0.05769      0.41048     94.99879
    96.00000      0.05830      0.41480     95.99878
    97.00000      0.05890      0.41912     96.99876
    98.00000      0.05951      0.42344     97.99876
    99.00000      0.06012      0.42776     98.99874
   100.00000      0.06073      0.43208     99.99873
   101.00000      0.06133      0.43640    100.99872
   102.00000      0.06194      0.44072    101.99870
   103.00000      0.06255      0.44505    102.99869
   104.00000      0.06315      0.44937    103.99868
   105.00000      0.06376      0.45369    104.99866
   106.00000      0.06437      0.45801    105.99865
   107.00000      0.06498      0.46233    106.99864
   108.00000      0.06558      0.46665    107.99863
   109.00000      0.06619      0.47097    108.99861
   110.00000      0.06680      0.47529    109.99860
   111.00000      0.06741      0.47961    110.99859
   112.00000      0.06801      0.48393    111.99857
   113.00000      0.06862      0.48825    112.99857
   114.00000      0.06923      0.49257    113.99855
   115.00000      0.06983      0.49690    114.99854
   116.00000      0.07044      0.50122    115.99853
   117.00000      0.07105      0.50554    116.99851
   118.00000      0.07166      0.50986    117.99850
   119.00000      0.07226      0.51418    118.99849
   120.00000      0.07287      0.51850    119.99847
   121.00000      0.07348      0.52282    120.99846
   122.00000      0.07408      0.52714    121.99845
   123.00000      0.07469      0.53146    122.99844
   124.00000      0.07530      0.53578    123.99842
   125.00000      0.07591      0.54010    124.99841
   126.00000      0.07651      0.54442    125.99840
   127.00000      0.07712      0.54875    126.99838
   128.00000      0.07773      0.55307    127.99837
   129.00000      0.07834      0.55739    128.99835
   130.00000      0.07894      0.56171    129.99835
   131.00000      0.07955      0.56603    130.99834
   132.00000      0.08016      0.57035    131.99832
   133.00000      0.08076      0.57467    132.99831
   134.00000      0.08137      0.57899    133.99829
   135.00000      0.08198      0.58331    134.99828
   136.00000      0.08259      0.58763    135.99828
   137.00000      0.08319      0.59195    136.99826
   138.00000      0.08380      0.59627    137.99825
   139.00000      0.08441      0.60060    138.99823
   140.00000      0.08502      0.60492    139.99821
   141.00000      0.08562      0.60924    140.99820
   142.00000      0.08623      0.61356    141.99820
   143.00000      0.08684      0.61788    142.99818
   144.00000      0.08744      0.62220    143.99817
   145.00000      0.08805      0.62652    144.99815
   146.00000      0.08866      0.63084    145.99814
   147.00000      0.08927      0.63516    146.99812
   148.00000      0.08987      0.63948    147.99812
   149.00000      0.09048      0.64380    148.99811
   150.00000      0.09109      0.64812    149.99809
   151.00000      0.09170      0.65245    150.99808
   152.00000      0.09230      0.65677    151.99806
   153.00000      0.09291      0.66109    152.99805
   154.00000      0.09352      0.66541    153.99805
   155.00000      0.09412      0.66973    154.99803
   156.00000      0.09473      0.67405    155.99802
   157.00000      0.09534      0.67837    156.99800
   158.00000      0.09595      0.68269    157.99799
   159.00000      0.09655      0.68701    158.99797
   160.00000      0.09716      0.69133    159.99797
   161.00000      0.09777      0.69565    160.99796
   162.00000      0.09838      0.69997    161.99794
   163.00000      0.09898      0.70430    162.99792
   164.00000      0.09959      0.70862    163.99791
   165.00000      0.10020      0.71294    164.99789
   166.00000      0.10080      0.71726    165.99789
   167.00000      0.10141      0.72158    166.99788
   168.00000      0.10202      0.72590    167.99786
   169.00000      0.10263      0.73022    168.99785
   170.00000      0.10323      0.73454    169.99783
   171.00000      0.10384      0.73886    170.99782
   172.00000      0.10445      0.74318    171.99782
   173.00000      0.10505      0.74750    172.99780
   174.00000      0.10566      0.75182    173.99779
   175.00000      0.10627      0.75615    174.99777
   176.00000      0.10688      0.76047    175.99776
   177.00000      0.10748      0.76479    176.99774
   178.00000      0.10809      0.76911    177.99774
   179.00000      0.10870      0.77343    178.99773
   180.00000      0.10931      0.77775    179.99771
   181.00000      0.10991      0.78207    180.99770
   182.00000      0.11052      0.78639    181.99768
   183.00000      0.11113      0.79071    182.99767
   184.00000      0.11173      0.79503    183.99767
   185.00000      0.11234      0.79935    184.99765
   186.00000      0.11295      0.80367    185.99763
   187.00000      0.11356      0.80800    186.99762
   188.00000      0.11416      0.81232    187.99760
   189.00000      0.11477      0.81664    188.99759
   190.00000      0.11538      0.82096    189.99759
   191.00000      0.11599      0.82528    190.99757
   192.00000      0.11659      0.82960    191.99756
   193.00000      0.11720      0.83392    192.99754
   194.00000      0.11781      0.83824    193.99753
   195.00000      0.11841      0.84256    194.99751
   196.00000      0.11902      0.84688    195.99751
   197.00000      0.11963      0.85120    196.99750
   198.00000      0.12024      0.85552    197.99748
   199.00000      0.12084      0.85985    198.99747
   200.00000      0.12145      0.86417    199.99745
   201.00000      0.12206      0.86849    200.99744
   202.00000      0.12267      0.87281    201.99744
   203.00000      0.12327      0.87713    202.99742
   204.00000      0.12388      0.88145    203.99741
   205.00000      0.12449      0.88577    204.99739
   206.00000      0.12509      0.89009    205.99738
   207.00000      0.12570      0.89441    206.99736
   208.00000      0.12631      0.89873    207.99736
   209.00000      0.12692      0.90305    208.99734
   210.00000      0.12752      0.90737    209.99733
   211.00000      0.12813      0.91170    210.99731
   212.00000      0.12874      0.91602    211.99730
   213.00000      0.12934      0.92034    212.99728
   214.00000      0.12995      0.92466    213.99728
   215.00000      0.13056      0.92898    214.99727
   216.00000      0.13117      0.93330    215.99725
   217.00000      0.13177      0.93762    216.99724
   218.00000      0.13238      0.94194    217.99722
   219.00000      0.13299      0.94626    218.99721
   220.00000      0.13360      0.95058    219.99721
   221.00000      0.13420      0.95490    220.99719
   222.00000      0.13481      0.95922    221.99718
   223.00000      0.13542      0.96355    222.99716
   224.00000      0.13602      0.96787    223.99715
   225.00000      0.13663      0.97219    224.99713
   226.00000      0.13724      0.97651    225.99713
   227.00000      0.13785      0.98083    226.99712
   228.00000      0.13845      0.98515    227.99710
   229.00000      0.13906      0.98947    228.99709
   230.00000      0.13967      0.99379    229.99707
   231.00000      0.14028      0.99811    230.99706
   232.00000      0.14088      1.00243    231.99706
   233.00000      0.14149      1.00675    232.99704
   234.00000      0.14210      1.01107    233.99702
   235.00000      0.14270      1.01540    234.99701
   236.00000      0.14331      1.01972    235.99699
   237.00000      0.14392      1.02404    236.99698
   238.00000      0.14453      1.02836    237.99698
   239.00000      0.14513      1.03268    238.99696
   240.00000      0.14574      1.03700    239.99695
   241.00000      0.14635      1.04132    240.99693
   242.00000      0.14696      1.04564    241.99692
   243.00000      0.14756      1.04996    242.99690
   244.00000      0.14817      1.05428    243.99690
   245.00000      0.14878      1.05860    244.99689
   246.00000      0.14938      1.06292    245.99687
   247.00000      0.14999      1.06725    246.99686
   248.00000      0.15060      1.07157    247.99684
   249.00000      0.15121      1.07589    248.99683
   250.00000      0.15181      1.08021    249.99683
   251.00000      0.15242      1.08453    250.99681
   252.00000      0.15303      1.08885    251.99680
   253.00000      0.15364      1.09317    252.99678
   254.00000      0.15424      1.09749    253.99677
   255.00000      0.15485      1.10181    254.99675
   256.00000      0.15546      1.10613    255.99675
   257.00000      0.15606      1.11045    256.99673
   258.00000      0.15667      1.11477    257.99670
   259.00000      0.15728      1.11910    258.99670
   260.00000      0.15789      1.12342    259.99670
   261.00000      0.15849      1.12774    260.99667
   262.00000      0.15910      1.13206    261.99667
   263.00000      0.15971      1.13638    262.99664
   264.00000      0.16031      1.14070    263.99664
   265.00000      0.16092      1.14502    264.99664
   266.00000      0.16153      1.14934    265.99661
   267.00000      0.16214      1.15366    266.99661
   268.00000      0.16274      1.15798    267.99658
   269.00000      0.16335      1.16230    268.99658
   270.00000      0.16396      1.16662    269.99655
   271.00000      0.16457      1.17095    270.99655
   272.00000      0.16517      1.17527    271.99655
   273.00000      0.16578      1.17959    272.99652
   274.00000      0.16639      1.18391    273.99652
   275.00000      0.16699      1.18823    274.99649
   276.00000      0.16760      1.19255    275.99649
   277.00000      0.16821      1.19687    276.99649
   278.00000      0.16882      1.20119    277.99646
   279.00000      0.16942      1.20551    278.99646
   280.00000      0.17003      1.20983    279.99643
   281.00000      0.17064      1.21415    280.99643
   282.00000      0.17125      1.21847    281.99640
   283.00000      0.17185      1.22280    282.99640
   284.00000      0.17246      1.22712    283.99640
   285.00000      0.17307      1.23144    284.99637
   286.00000      0.17367      1.23576    285.99637
   287.00000      0.17428      1.24008    286.99634
   288.00000      0.17489      1.24440    287.99634
   289.00000      0.17550      1.24872    288.99634
   290.00000      0.17610      1.25304    289.99631
   291.00000      0.17671      1.25736    290.99631
   292.00000      0.17732      1.26168    291.99628
   293.00000      0.17793      1.26600    292.99628
   294.00000      0.17853      1.27032    293.99625
   295.00000      0.17914      1.27465    294.99625
   296.00000      0.17975      1.27897    295.99625
   297.00000      0.18035      1.28329    296.99622
   298.00000      0.18096      1.28761    297.99622
   299.00000      0.18157      1.29193    298.99619
   300.00000      0.18218      1.29625    299.99619
   301.00000      0.18278      1.30057    300.99619
   302.00000      0.18339      1.30489    301.99615
   303.00000      0.18400      1.30921    302.99615
   304.00000      0.18461      1.31353    303.99612
   305.00000      0.18521      1.31785    304.99612
   306.00000      0.18582      1.32217    305.99609
   307.00000      0.18643      1.32650    306.99609
   308.00000      0.18703      1.33082    307.99609
   309.00000      0.18764      1.33514    308.99606
   310.00000      0.18825      1.33946    309.99606
   311.00000      0.18886      1.34378    310.99603
   312.00000      0.18946      1.34810    311.99603
   313.00000      0.19007      1.35242    312.99603
   314.00000      0.19068      1.35674    313.99600
