Wellname	UWN	UTMnorth	UTMeast	MeasDepth(m)	MeasTVD(m)	Dip	Azimuth	Location(NS)	Location(EW)	Dogleg
15/9-10	2624	6466097.13	428101.86	0	0	0	0	6466097.13	428101.86	0
15/9-10	2624	6466097.13	428101.86	478	477.99	0.5	8	6466099.2	428102.15	0.03
15/9-10	2624	6466097.13	428101.86	598	597.99	0.25	144	6466099.5	428102.38	0.18
15/9-10	2624	6466097.13	428101.86	693	692.99	0.25	159	6466099.14	428102.57	0.02
15/9-10	2624	6466097.13	428101.86	796	795.99	0.5	202	6466098.51	428102.49	0.1
15/9-10	2624	6466097.13	428101.86	900	899.99	0.25	90	6466098.09	428102.54	0.18
15/9-10	2624	6466097.13	428101.86	995	994.98	0.5	192	6466097.69	428102.66	0.19
15/9-10	2624	6466097.13	428101.86	1090	1089.98	0.25	239	6466097.18	428102.4	0.12
15/9-10	2624	6466097.13	428101.86	1174	1173.98	0.25	11	6466097.26	428102.28	0.16
15/9-10	2624	6466097.13	428101.86	1270	1269.98	0.75	346	6466098.08	428102.17	0.17
15/9-10	2624	6466097.13	428101.86	1363	1362.97	0.5	340	6466099.05	428101.88	0.08
15/9-10	2624	6466097.13	428101.86	1458	1457.97	0.5	42	6466099.75	428102.01	0.16
15/9-10	2624	6466097.13	428101.86	1553	1552.96	0.75	13	6466100.66	428102.43	0.12
15/9-10	2624	6466097.13	428101.86	1648	1647.94	1.75	69	6466101.79	428103.93	0.46
15/9-10	2624	6466097.13	428101.86	1743	1742.91	1.25	52	6466102.94	428106.1	0.21
15/9-10	2624	6466097.13	428101.86	1839	1838.88	1.5	68	6466104.06	428108.09	0.14
15/9-10	2624	6466097.13	428101.86	1934	1933.85	1.5	48	6466105.36	428110.16	0.16
15/9-10	2624	6466097.13	428101.86	2029	2028.81	1.75	34	6466107.39	428111.9	0.15
15/9-10	2624	6466097.13	428101.86	2124	2123.77	1.75	59	6466109.34	428113.95	0.24
15/9-10	2624	6466097.13	428101.86	2217	2216.73	1.25	62	6466110.55	428116.07	0.16
15/9-10	2624	6466097.13	428101.86	2311	2310.72	0.75	28	6466111.57	428117.26	0.24
15/9-10	2624	6466097.13	428101.86	2406	2405.71	1.25	1	6466113.16	428117.57	0.21
15/9-10	2624	6466097.13	428101.86	2453	2452.69	1.5	17	6466114.26	428117.76	0.29
15/9-10	2624	6466097.13	428101.86	2546	2545.65	1.75	12	6466116.81	428118.41	0.09
15/9-10	2624	6466097.13	428101.86	2643	2642.63	0.5	70	6466118.41	428119.12	0.48
15/9-10	2624	6466097.13	428101.86	2714	2713.63	0.5	152	6466118.24	428119.55	0.28
15/9-10	2624	6466097.13	428101.86	2808	2807.62	1	182	6466117.06	428119.72	0.2
15/9-10	2624	6466097.13	428101.86	2904	2903.61	1	117	6466115.84	428120.43	0.34
15/9-10	2624	6466097.13	428101.86	2954	2953.61	0.75	152	6466115.35	428120.98	0.35
15/9-10	2624	6466097.13	428101.86	3040	3039.58	1.75	142	6466113.82	428122.05	0.36
15/9-10	2624	6466097.13	428101.86	3078	3077.56	2	163	6466112.73	428122.6	0.57
15/9-10	2624	6466097.13	428101.86	3133	3132.54	1.5	170	6466111.1	428123.01	0.3
15/9-10	2624	6466097.13	428101.86	3240	3239.5	1.5	186	6466108.33	428123.1	0.12
15/9-10	2624	6466097.13	428101.86	3285	3284.49	1.25	209	6466107.31	428122.8	0.4
