WellnameUWN     UTM North UTM EastMD      TVD     DEVIATION AZIMUTH NORTH   EAST    DOGLEG
15/9-12     2626 6480390.26  425175     501     501         0       0 6480390  425175       0
15/9-12     2626 6480390.26  425175     519     519      0.62     263 6480390 425174.9    1.03
15/9-12     2626 6480390.26  425175   547.3   547.3      0.45     249 6480390 425174.6    0.22
15/9-12     2626 6480390.26  425175   575.6   575.6       0.5     257 6480390 425174.4    0.09
15/9-12     2626 6480390.26  425175   603.9   603.9      0.42     230 6480390 425174.2    0.24
15/9-12     2626 6480390.26  425175   632.2   632.2      0.25     227 6480390 425174.1    0.18
15/9-12     2626 6480390.26  425175   660.5   660.5      0.17     168 6480390  425174    0.23
15/9-12     2626 6480390.26  425175   688.8   688.8      0.03     347 6480390  425174    0.21
15/9-12     2626 6480390.26  425175   717.1   717.1      0.25     168 6480390  425174     0.3
15/9-12     2626 6480390.26  425175   745.4   745.4       0.2     233 6480390  425174    0.26
15/9-12     2626 6480390.26  425175   773.7   773.7      0.25     162 6480390  425174    0.28
15/9-12     2626 6480390.26  425175     802     802      0.22   336.5 6480390  425174    0.49
15/9-12     2626 6480390.26  425175   830.3  830.29      0.65     303 6480390 425173.8     0.5
15/9-12     2626 6480390.26  425175   858.6  858.59      0.58     220 6480390 425173.6    0.91
15/9-12     2626 6480390.26  425175   886.9  886.89      0.25     225 6480390 425173.5    0.35
15/9-12     2626 6480390.26  425175   915.2  915.19      0.42     198 6480389 425173.4    0.24
15/9-12     2626 6480390.26  425175   943.5  943.49      0.17     163 6480389 425173.4    0.31
15/9-12     2626 6480390.26  425175   971.8  971.79      0.53     296 6480389 425173.3     0.7
15/9-12     2626 6480390.26  425175  1000.1 1000.09       0.5     306 6480389 425173.1     0.1
15/9-12     2626 6480390.26  425175  1028.4 1028.39      0.17     279 6480390 425172.9    0.38
15/9-12     2626 6480390.26  425175  1056.7 1056.69      0.25     140 6480389 425172.9    0.42
15/9-12     2626 6480390.26  425175    1085 1084.99      0.25     235 6480389 425172.9    0.39
15/9-12     2626 6480390.26  425175  1113.3 1113.29       0.2     355 6480389 425172.8    0.41
15/9-12     2626 6480390.26  425175  1130.3 1130.29      0.12     310 6480389 425172.8    0.25
15/9-12     2626 6480390.26  425175  1158.2 1158.19       0.2       6 6480390 425172.8    0.18
15/9-12     2626 6480390.26  425175  1186.5 1186.49      0.58      33 6480390 425172.9    0.44
15/9-12     2626 6480390.26  425175  1214.9 1214.89      0.58      32 6480390 425173.1       0
15/9-12     2626 6480390.26  425175  1243.5 1243.49      0.55      15 6480390 425173.2    0.18
15/9-12     2626 6480390.26  425175  1271.4 1271.38      0.67      19 6480390 425173.3    0.13
15/9-12     2626 6480390.26  425175  1299.4 1299.38      0.67     359 6480391 425173.3    0.25
15/9-12     2626 6480390.26  425175  1327.9 1327.88      0.72      20 6480391 425173.4    0.27
15/9-12     2626 6480390.26  425175    1356 1355.98      0.33      16 6480391 425173.5    0.41
15/9-12     2626 6480390.26  425175  1384.4 1384.38      0.25      39 6480391 425173.5    0.15
15/9-12     2626 6480390.26  425175  1412.7 1412.68      0.72     329 6480392 425173.5    0.71
15/9-12     2626 6480390.26  425175  1440.9 1440.88      0.75     318 6480392 425173.3    0.15
15/9-12     2626 6480390.26  425175    1469 1468.97      0.58     329 6480392 425173.1    0.22
15/9-12     2626 6480390.26  425175    1497 1496.97      0.17     119 6480392 425173.1    0.79
15/9-12     2626 6480390.26  425175  1525.6 1525.57      1.08      76 6480392 425173.4    1.02
15/9-12     2626 6480390.26  425175  1554.1 1554.06         2      77 6480393 425174.1    0.97
15/9-12     2626 6480390.26  425175  1582.4 1582.34      2.38      78 6480393 425175.2    0.41
15/9-12     2626 6480390.26  425175  1611.3 1611.21      3.12      82 6480393 425176.5    0.79
