# Tigress ASCII Data File Version 4.1
# Copyright (c) 1993 Simon Petroleum Technology Ltd.
# 
# File created on 27/03/1998
#              at 10:50:19
#              by user cpi
# 
# using TIGRESS Deviation file conversion.
 
# Global Units Information
UNIT_DEPTH= m
UNIT_OFFSET= m
 
# Well Information
WELLNM= 15/9-14
OPERTR= STATOIL
 
# Deviation Data Information
DATTYP= DEVN
 
DESCRP= DEV SURVEY
LNGTDE=      1.69112778
LATTDE=     58.28977500
REFDIR=      0.00000000
 
#    <Depth><Inclination>    <Azimuth>
     0.00000      0.00000      0.00000
   127.50000      0.00000      0.00000
   176.00000      0.43333    274.00000
   507.00000      0.16667     48.00000
   510.00000      0.11667     48.00000
   603.00000      0.35000     52.00000
   698.00000      0.43333    359.00000
   793.00000      0.26667     39.00000
   888.00000      0.38333     92.00000
   983.00000      0.13333    101.00000
  1077.00000      0.70000    335.00000
  1172.00000      0.75000    319.00000
  1266.00000      0.41667    322.00000
  1365.00000      0.75000    289.00000
  1406.00000      0.43333    259.00000
  1495.00000      0.43333    262.00000
  1589.00000      0.48333    266.00000
  1684.00000      0.63333    219.00000
  1778.00000      0.78333    211.00000
  1873.00000      0.95000    210.00000
  1967.00000      1.08333    195.00000
  2064.00000      1.35000    206.00000
  2157.00000      0.45000    214.00000
  2252.00000      0.06667    279.00000
  2337.00000      0.70000     56.00000
  2427.00000      0.85000    103.00000
  2522.00000      0.88333    111.00000
  2573.00000      1.38333    110.00000
  2663.00000      1.41667    125.00000
  2678.00000      2.88333    141.00000
  2729.00000      1.50000    125.00000
  2822.00000      1.61667    126.00000
  2917.00000      1.38333    126.00000
  3052.00000      3.26667    128.00000
  3101.00000      3.61667    126.00000
  3165.00000      3.88333    127.00000
  3225.00000      4.26667    124.00000
  3261.00000      4.28333    122.00000
  3366.00000      3.83333    117.00000
  3466.00000      3.40000    111.00000
  3575.61011      3.40000    111.00000
 
CDMETH= MCURV
 
#    <Depth>         <DX>         <DY>        <TVD>
     0.00000      0.00000      0.00000      0.00000
     1.00000      0.00000      0.00000      1.00000
     2.00000      0.00000      0.00000      2.00000
     3.00000      0.00000      0.00000      3.00000
     4.00000      0.00000      0.00000      4.00000
     5.00000      0.00000      0.00000      5.00000
     6.00000      0.00000      0.00000      6.00000
     7.00000      0.00000      0.00000      7.00000
     8.00000      0.00000      0.00000      8.00000
     9.00000      0.00000      0.00000      9.00000
    10.00000      0.00000      0.00000     10.00000
    11.00000      0.00000      0.00000     11.00000
    12.00000      0.00000      0.00000     12.00000
    13.00000      0.00000      0.00000     13.00000
    14.00000      0.00000      0.00000     14.00000
    15.00000      0.00000      0.00000     15.00000
    16.00000      0.00000      0.00000     16.00000
    17.00000      0.00000      0.00000     17.00000
    18.00000      0.00000      0.00000     18.00000
    19.00000      0.00000      0.00000     19.00000
    20.00000      0.00000      0.00000     20.00000
    21.00000      0.00000      0.00000     21.00000
    22.00000      0.00000      0.00000     22.00000
    23.00000      0.00000      0.00000     23.00000
    24.00000      0.00000      0.00000     24.00000
    25.00000      0.00000      0.00000     25.00000
    26.00000      0.00000      0.00000     26.00000
    27.00000      0.00000      0.00000     27.00000
    28.00000      0.00000      0.00000     28.00000
    29.00000      0.00000      0.00000     29.00000
    30.00000      0.00000      0.00000     30.00000
    31.00000      0.00000      0.00000     31.00000
    32.00000      0.00000      0.00000     32.00000
    33.00000      0.00000      0.00000     33.00000
    34.00000      0.00000      0.00000     34.00000
    35.00000      0.00000      0.00000     35.00000
    36.00000      0.00000      0.00000     36.00000
    37.00000      0.00000      0.00000     37.00000
    38.00000      0.00000      0.00000     38.00000
    39.00000      0.00000      0.00000     39.00000
    40.00000      0.00000      0.00000     40.00000
    41.00000      0.00000      0.00000     41.00000
    42.00000      0.00000      0.00000     42.00000
    43.00000      0.00000      0.00000     43.00000
    44.00000      0.00000      0.00000     44.00000
    45.00000      0.00000      0.00000     45.00000
    46.00000      0.00000      0.00000     46.00000
    47.00000      0.00000      0.00000     47.00000
    48.00000      0.00000      0.00000     48.00000
    49.00000      0.00000      0.00000     49.00000
    50.00000      0.00000      0.00000     50.00000
    51.00000      0.00000      0.00000     51.00000
    52.00000      0.00000      0.00000     52.00000
    53.00000      0.00000      0.00000     53.00000
    54.00000      0.00000      0.00000     54.00000
    55.00000      0.00000      0.00000     55.00000
    56.00000      0.00000      0.00000     56.00000
    57.00000      0.00000      0.00000     57.00000
    58.00000      0.00000      0.00000     58.00000
    59.00000      0.00000      0.00000     59.00000
    60.00000      0.00000      0.00000     60.00000
    61.00000      0.00000      0.00000     61.00000
    62.00000      0.00000      0.00000     62.00000
    63.00000      0.00000      0.00000     63.00000
    64.00000      0.00000      0.00000     64.00000
    65.00000      0.00000      0.00000     65.00000
    66.00000      0.00000      0.00000     66.00000
    67.00000      0.00000      0.00000     67.00000
    68.00000      0.00000      0.00000     68.00000
    69.00000      0.00000      0.00000     69.00000
    70.00000      0.00000      0.00000     70.00000
    71.00000      0.00000      0.00000     71.00000
    72.00000      0.00000      0.00000     72.00000
    73.00000      0.00000      0.00000     73.00000
    74.00000      0.00000      0.00000     74.00000
    75.00000      0.00000      0.00000     75.00000
    76.00000      0.00000      0.00000     76.00000
    77.00000      0.00000      0.00000     77.00000
    78.00000      0.00000      0.00000     78.00000
    79.00000      0.00000      0.00000     79.00000
    80.00000      0.00000      0.00000     80.00000
    81.00000      0.00000      0.00000     81.00000
    82.00000      0.00000      0.00000     82.00000
    83.00000      0.00000      0.00000     83.00000
    84.00000      0.00000      0.00000     84.00000
    85.00000      0.00000      0.00000     85.00000
    86.00000      0.00000      0.00000     86.00000
    87.00000      0.00000      0.00000     87.00000
    88.00000      0.00000      0.00000     88.00000
    89.00000      0.00000      0.00000     89.00000
    90.00000      0.00000      0.00000     90.00000
    91.00000      0.00000      0.00000     91.00000
    92.00000      0.00000      0.00000     92.00000
    93.00000      0.00000      0.00000     93.00000
    94.00000      0.00000      0.00000     94.00000
    95.00000      0.00000      0.00000     95.00000
    96.00000      0.00000      0.00000     96.00000
    97.00000      0.00000      0.00000     97.00000
    98.00000      0.00000      0.00000     98.00000
    99.00000      0.00000      0.00000     99.00000
   100.00000      0.00000      0.00000    100.00000
   101.00000      0.00000      0.00000    101.00000
   102.00000      0.00000      0.00000    102.00000
   103.00000      0.00000      0.00000    103.00000
   104.00000      0.00000      0.00000    104.00000
   105.00000      0.00000      0.00000    105.00000
   106.00000      0.00000      0.00000    106.00000
   107.00000      0.00000      0.00000    107.00000
   108.00000      0.00000      0.00000    108.00000
   109.00000      0.00000      0.00000    109.00000
   110.00000      0.00000      0.00000    110.00000
   111.00000      0.00000      0.00000    111.00000
   112.00000      0.00000      0.00000    112.00000
   113.00000      0.00000      0.00000    113.00000
   114.00000      0.00000      0.00000    114.00000
   115.00000      0.00000      0.00000    115.00000
   116.00000      0.00000      0.00000    116.00000
   117.00000      0.00000      0.00000    117.00000
   118.00000      0.00000      0.00000    118.00000
   119.00000      0.00000      0.00000    119.00000
   120.00000      0.00000      0.00000    120.00000
   121.00000      0.00000      0.00000    121.00000
   122.00000      0.00000      0.00000    122.00000
   123.00000      0.00000      0.00000    123.00000
   124.00000      0.00000      0.00000    124.00000
   125.00000      0.00000      0.00000    125.00000
   126.00000      0.00000      0.00000    126.00000
   127.00000      0.00000      0.00000    127.00000
   128.00000     -0.00189      0.00013    127.99999
   129.00000     -0.00566      0.00040    128.99998
   130.00000     -0.00943      0.00066    129.99997
   131.00000     -0.01320      0.00092    130.99997
   132.00000     -0.01698      0.00119    131.99995
   133.00000     -0.02075      0.00145    132.99995
   134.00000     -0.02452      0.00171    133.99994
   135.00000     -0.02829      0.00198    134.99992
   136.00000     -0.03206      0.00224    135.99992
   137.00000     -0.03584      0.00251    136.99991
   138.00000     -0.03961      0.00277    137.99989
   139.00000     -0.04338      0.00303    138.99989
   140.00000     -0.04715      0.00330    139.99988
   141.00000     -0.05093      0.00356    140.99988
   142.00000     -0.05470      0.00382    141.99986
