Wellname    UWN         UTM NORTH   UTM EAST    MD          TVD         DEVIATION   AZIMUTH     NORTH       EAST        DOGLEG
15/9-15    2628  6462991.44   436817.55         108         108           0           0  6462991.44   436817.55           0
15/9-15    2628  6462991.44   436817.55      120.09      120.09           0           0  6462991.44   436817.55           0
15/9-15    2628  6462991.44   436817.55      150.11      150.11           0           0  6462991.44   436817.55           0
15/9-15    2628  6462991.44   436817.55      180.14      180.14        0.01        2.19  6462991.44   436817.55        0.01
15/9-15    2628  6462991.44   436817.55      210.16      210.16        0.03        9.75  6462991.45   436817.55        0.02
15/9-15    2628  6462991.44   436817.55      240.18      240.18        0.05       17.31  6462991.47   436817.55        0.02
15/9-15    2628  6462991.44   436817.55      270.21      270.21        0.07       24.87   6462991.5   436817.57        0.02
15/9-15    2628  6462991.44   436817.55      300.23      300.23        0.09       32.43  6462991.54   436817.59        0.02
15/9-15    2628  6462991.44   436817.55      330.25      330.25        0.12       39.99  6462991.58   436817.62        0.03
15/9-15    2628  6462991.44   436817.55      360.27      360.27        0.14       47.55  6462991.63   436817.67        0.03
15/9-15    2628  6462991.44   436817.55       390.3       390.3        0.16       55.11  6462991.68   436817.73        0.03
15/9-15    2628  6462991.44   436817.55      420.32      420.32        0.18       62.67  6462991.72    436817.8        0.03
15/9-15    2628  6462991.44   436817.55      450.34      450.34        0.21       70.23  6462991.77    436817.9        0.04
15/9-15    2628  6462991.44   436817.55      480.36      480.36        0.23       77.79   6462991.8   436818.01        0.04
15/9-15    2628  6462991.44   436817.55      510.39      510.39        0.25       86.66  6462991.81   436818.13        0.04
15/9-15    2628  6462991.44   436817.55      540.41      540.41        0.25      122.86  6462991.78   436818.25        0.16
15/9-15    2628  6462991.44   436817.55      570.43      570.43        0.25      159.07  6462991.68   436818.33        0.16
15/9-15    2628  6462991.44   436817.55      600.46      600.46        0.25      195.28  6462991.56   436818.34        0.16
15/9-15    2628  6462991.44   436817.55      630.48      630.48         0.3      220.52  6462991.44   436818.27        0.13
15/9-15    2628  6462991.44   436817.55       660.5       660.5        0.38      239.79  6462991.33   436818.13        0.14
15/9-15    2628  6462991.44   436817.55      690.52      690.52        0.46      259.07  6462991.25   436817.93        0.16
15/9-15    2628  6462991.44   436817.55      720.55      720.55        0.54       267.3  6462991.23   436817.67        0.11
15/9-15    2628  6462991.44   436817.55      750.57      750.56        0.62      263.79   6462991.2   436817.37        0.09
15/9-15    2628  6462991.44   436817.55      780.59      780.58         0.7      260.27  6462991.15   436817.02        0.09
15/9-15    2628  6462991.44   436817.55      810.62      810.61        0.72      258.91  6462991.09   436816.66        0.03
15/9-15    2628  6462991.44   436817.55      840.64      840.63        0.64      261.46  6462991.02   436816.31        0.09
15/9-15    2628  6462991.44   436817.55      870.66      870.65        0.56      264.01  6462990.98   436815.99        0.08
15/9-15    2628  6462991.44   436817.55      900.68      900.66        0.53      265.13  6462990.96   436815.71        0.03
15/9-15    2628  6462991.44   436817.55      930.71      930.69        0.67      261.24  6462990.92    436815.4        0.15
15/9-15    2628  6462991.44   436817.55      960.73      960.71        0.81      257.35  6462990.85   436815.02        0.15
15/9-15    2628  6462991.44   436817.55      990.75      990.73        0.95      253.46  6462990.73   436814.57        0.15
15/9-15    2628  6462991.44   436817.55     1020.77     1020.74        0.85      256.79  6462990.61   436814.12        0.11
15/9-15    2628  6462991.44   436817.55      1050.8     1050.77        0.61      264.45  6462990.54   436813.74        0.26
15/9-15    2628  6462991.44   436817.55     1080.82     1080.79        0.37      272.12  6462990.53   436813.49        0.25
15/9-15    2628  6462991.44   436817.55     1110.84     1110.81        0.33      289.97  6462990.56   436813.31        0.12
15/9-15    2628  6462991.44   436817.55     1140.87     1140.84         0.5      318.34  6462990.69   436813.14        0.26
15/9-15    2628  6462991.44   436817.55     1170.89     1170.86        0.67      346.72  6462990.96   436813.01        0.33
15/9-15    2628  6462991.44   436817.55     1200.91     1200.87        0.63           1  6462991.29   436812.98        0.17
15/9-15    2628  6462991.44   436817.55     1230.93     1230.89        0.38           1  6462991.56   436812.98        0.25
15/9-15    2628  6462991.44   436817.55     1260.96     1260.92        0.14           1  6462991.69   436812.98        0.24
15/9-15    2628  6462991.44   436817.55     1290.98     1290.94        0.03       14.78  6462991.74   436812.98        0.11
15/9-15    2628  6462991.44   436817.55        1321     1320.96        0.11        46.7  6462991.77   436813.01        0.09
15/9-15    2628  6462991.44   436817.55     1351.03     1350.99        0.19       78.63  6462991.79   436813.08        0.11
15/9-15    2628  6462991.44   436817.55     1381.05     1381.01        0.25       93.49   6462991.8   436813.19        0.08
15/9-15    2628  6462991.44   436817.55     1411.07     1411.03        0.25       61.86  6462991.83   436813.31        0.14
