# Tigress ASCII Data File Version 4.1
# Copyright (c) 1993 Simon Petroleum Technology Ltd.
# 
# File created on 16/01/1997
#              at 10:20:09
#              by user cpi
# 
# using TIGRESS Deviation file conversion.
 
# Global Units Information
UNIT_DEPTH= m
UNIT_OFFSET= m
 
# Well Information
WELLNM= 15/9-17
OPERTR= STATOIL
 
# Deviation Data Information
DATTYP= DEVN
 
DESCRP= DEVIATION SURVEY
LNGTDE=      1.94821667
LATTDE=     58.44560833
REFDIR=      0.00000000
 
#    <Depth><Inclination>    <Azimuth>
     0.00000      0.00000      0.00000
   163.00000      0.75000     26.67000
   510.00000      0.25000    263.67001
   610.00000      0.25000     23.67000
   714.00000      0.75000    237.67000
   790.00000      0.50000     34.67000
   896.00000      0.50000     35.67000
  1001.00000      0.50000     36.67000
  1131.00000      0.50000    145.67000
  1226.00000      0.75000    136.67000
  1331.00000      0.00000      0.00000
  1426.00000      0.25000    336.67001
  1531.00000      0.50000     54.67000
  1635.00000      1.00000     41.67000
  1730.00000      0.75000     99.67000
  1834.00000      1.00000     11.67000
  1939.00000      1.50000    353.67001
  2044.00000      0.75000     10.67000
  2148.00000      1.00000    352.67001
  2253.00000      1.00000      4.67000
  2364.00000      1.00000    344.67001
  2394.00000      1.13300     23.67000
  2421.00000      1.25000      2.67000
  2504.00000      1.00000    336.67001
  2555.00000      1.00000    332.67001
  2612.00000      0.50000    294.67001
  2703.00000      1.25000    101.67000
  2710.00000      0.50000     96.67000
  2805.00000      0.50000     17.00000
  2894.00000      0.25000    178.00000
  2945.00000      0.75000    200.00000
  3000.00000      0.75000    253.67000
  3116.00000      1.50000    254.67000
 
CDMETH= MCURV
 
#    <Depth>         <DX>         <DY>        <TVD>
     0.00000      0.00000      0.00000      0.00000
     1.00000      0.00294      0.00585      0.99997
     2.00000      0.00588      0.01170      1.99994
     3.00000      0.00881      0.01755      2.99991
     4.00000      0.01175      0.02339      3.99989
     5.00000      0.01469      0.02924      4.99986
     6.00000      0.01763      0.03509      5.99983
     7.00000      0.02056      0.04094      6.99980
     8.00000      0.02350      0.04679      7.99977
     9.00000      0.02644      0.05264      8.99974
    10.00000      0.02938      0.05849      9.99971
    11.00000      0.03231      0.06433     10.99969
    12.00000      0.03525      0.07018     11.99966
    13.00000      0.03819      0.07603     12.99963
    14.00000      0.04113      0.08188     13.99960
    15.00000      0.04407      0.08773     14.99957
    16.00000      0.04700      0.09358     15.99954
    17.00000      0.04994      0.09943     16.99952
    18.00000      0.05288      0.10527     17.99949
    19.00000      0.05582      0.11112     18.99946
    20.00000      0.05875      0.11697     19.99943
    21.00000      0.06169      0.12282     20.99940
    22.00000      0.06463      0.12867     21.99937
    23.00000      0.06757      0.13452     22.99934
    24.00000      0.07050      0.14037     23.99932
    25.00000      0.07344      0.14621     24.99929
    26.00000      0.07638      0.15206     25.99926
    27.00000      0.07932      0.15791     26.99923
    28.00000      0.08226      0.16376     27.99920
    29.00000      0.08519      0.16961     28.99917
    30.00000      0.08813      0.17546     29.99914
    31.00000      0.09107      0.18131     30.99911
    32.00000      0.09401      0.18715     31.99909
    33.00000      0.09694      0.19300     32.99906
    34.00000      0.09988      0.19885     33.99903
    35.00000      0.10282      0.20470     34.99900
    36.00000      0.10576      0.21055     35.99897
    37.00000      0.10869      0.21640     36.99894
    38.00000      0.11163      0.22225     37.99892
    39.00000      0.11457      0.22809     38.99889
    40.00000      0.11751      0.23394     39.99886
