"Wellname","UWN","UTMnorth","UTMeast","MeasDepth(m)","MeasTVD(m)","Dip","Azimuth","Location(NS)","Location(EW)","Dogleg"
"15/9-17",6555,6478951.281,438602.652,0,0,0,0,6478951.281,438602.652,0
"15/9-17",6555,6478951.281,438602.652,163,163,0.75,26.6666666666667,6478952.231,438603.132,0.14
"15/9-17",6555,6478951.281,438602.652,510,509.99,0.25,263.666666666667,6478954.181,438603.402,0.08
"15/9-17",6555,6478951.281,438602.652,610,609.99,0.25,23.6666666666667,6478954.361,438603.272,0.13
"15/9-17",6555,6478951.281,438602.652,714,713.98,0.75,237.666666666667,6478954.201,438602.782,0.28
"15/9-17",6555,6478951.281,438602.652,790,789.98,0.5,34.6666666666667,6478954.211,438602.552,0.48
"15/9-17",6555,6478951.281,438602.652,896,895.98,0.5,35.6666666666667,6478954.961,438603.082,0
"15/9-17",6555,6478951.281,438602.652,1001,1000.97,0.5,36.6666666666667,6478955.701,438603.622,0
"15/9-17",6555,6478951.281,438602.652,1131,1130.97,0.5,145.666666666667,6478955.691,438604.282,0.19
"15/9-17",6555,6478951.281,438602.652,1226,1225.96,0.75,136.666666666667,6478954.891,438604.942,0.08
"15/9-17",6555,6478951.281,438602.652,1331,1330.96,0,0,6478954.391,438605.412,0.21
"15/9-17",6555,6478951.281,438602.652,1426,1425.96,0.25,336.666666666667,6478954.581,438605.332,0.08
"15/9-17",6555,6478951.281,438602.652,1531,1530.96,0.5,54.6666666666667,6478955.061,438605.622,0.15
"15/9-17",6555,6478951.281,438602.652,1635,1634.95,1,41.6666666666667,6478956.001,438606.592,0.15
"15/9-17",6555,6478951.281,438602.652,1730,1729.94,0.75,99.6666666666667,6478956.521,438607.752,0.28
"15/9-17",6555,6478951.281,438602.652,1834,1833.93,1,11.6666666666667,6478957.291,438608.612,0.35
"15/9-17",6555,6478951.281,438602.652,1939,1938.91,1,353.666666666667,6478959.551,438608.642,0.18
"15/9-17",6555,6478951.281,438602.652,2044,2043.89,0.75,10.6666666666667,6478961.591,438608.622,0.23
"15/9-17",6555,6478951.281,438602.652,2148,2147.88,1,352.666666666667,6478963.161,438608.632,0.11
"15/9-17",6555,6478951.281,438602.652,2253,2252.86,1,4.66666666666667,6478964.991,438608.582,0.06
"15/9-17",6555,6478951.281,438602.652,2364,2363.84,1,344.666666666667,6478966.881,438608.412,0.09
"15/9-17",6555,6478951.281,438602.652,2394,2393.84,1,23.6666666666667,6478967.411,438608.462,0.72
"15/9-17",6555,6478951.281,438602.652,2421,2420.83,1,2.66666666666667,6478967.951,438608.582,0.5
"15/9-17",6555,6478951.281,438602.652,2504,2503.82,1,336.666666666667,6478969.521,438608.332,0.2
"15/9-17",6555,6478951.281,438602.652,2555,2554.81,1,332.666666666667,6478970.321,438607.952,0.04
"15/9-17",6555,6478951.281,438602.652,2612,2611.8,0.5,294.666666666667,6478970.871,438607.502,0.36
"15/9-17",6555,6478951.281,438602.652,2703,2702.8,1,101.666666666667,6478970.831,438608.112,0.57
"15/9-17",6555,6478951.281,438602.652,2710,2709.8,0.5,96.6666666666667,6478970.811,438608.212,3.23
"15/9-17",6555,6478951.281,438602.652,2805,2804.79,0.5,17,6478971.161,438608.742,0.2
"15/9-17",6555,6478951.281,438602.652,2894,2893.79,0.25,178,6478971.341,438608.872,0.25
"15/9-17",6555,6478951.281,438602.652,2945,2944.79,0.75,200,6478970.911,438608.752,0.31
"15/9-17",6555,6478951.281,438602.652,3000,2999.79,0.75,253.666666666667,6478970.471,438608.292,0.37
"15/9-17",6555,6478951.281,438602.652,3116,3115.76,1,254.666666666667,6478969.861,438606.092,0.19
