# Tigress ASCII Data File Version 4.1
# Copyright (c) 1993 Simon Petroleum Technology Ltd.
# 
# File created on 08/05/1997
#              at 13:48:28
#              by user cpi
# 
# using TIGRESS Deviation file conversion.
 
# Global Units Information
UNIT_DEPTH= m
UNIT_OFFSET= m
 
# Well Information
WELLNM= 15/9-18
OPERTR= STATOIL
 
# Deviation Data Information
DATTYP= DEVN
 
DESCRP= DEVIATION DATA
LNGTDE=      1.80340833
LATTDE=     58.35054167
REFDIR=      0.00000000
 
#    <Depth><Inclination>    <Azimuth>
   118.00000      0.00000      0.00000
   175.00000      1.75000    141.00000
   513.00000      0.25000    238.00000
   604.00000      0.75000    275.00000
   748.00000      0.00000      0.00000
   861.00000      0.75000     59.00000
   959.00000      0.75000     41.00000
  1065.00000      0.50000     14.00000
  1164.00000      0.50000    358.00000
  1265.00000      0.50000     39.00000
  1362.00000      0.25000    195.00000
  1468.00000      0.50000    198.00000
  1573.00000      0.75000    237.00000
  1679.00000      1.00000    224.00000
  1785.00000      1.00000    218.00000
  1890.00000      1.00000    234.00000
  2174.00000      2.25000    240.00000
  2345.00000      2.25000    236.00000
  2373.00000      2.25000    244.00000
  2490.00000      1.75000    245.00000
  2625.00000      1.00000    249.00000
  2680.00000      0.75000    209.00000
  2699.00000      0.50000    200.00000
  2758.00000      0.50000    113.00000
  2865.00000      0.75000    114.00000
  2959.00000      0.75000     84.00000
  3034.00000      1.00000     76.00000
  3122.00000      1.00000     72.00000
  3224.00000      2.00000     34.00000
  3315.00000      2.00000     54.00000
  3356.00000      2.00000     57.00000
  3418.00000      1.50000     92.00000
  3475.00000      1.00000     98.00000
  3518.00000      1.00000    110.00000
  3610.00000      1.00000    110.00000
 
CDMETH= MCURV
 
#    <Depth>         <DX>         <DY>        <TVD>
   118.00000      0.00000      0.00000    118.00000
   119.00000      0.00961     -0.01187    118.99985
   120.00000      0.01922     -0.02373    119.99969
   121.00000      0.02883     -0.03560    120.99953
   122.00000      0.03844     -0.04747    121.99937
   123.00000      0.04805     -0.05934    122.99922
   124.00000      0.05766     -0.07120    123.99907
   125.00000      0.06727     -0.08307    124.99891
   126.00000      0.07688     -0.09494    125.99876
   127.00000      0.08649     -0.10681    126.99860
   128.00000      0.09610     -0.11867    127.99844
   129.00000      0.10571     -0.13054    128.99829
   130.00000      0.11532     -0.14241    129.99814
   131.00000      0.12493     -0.15428    130.99799
   132.00000      0.13454     -0.16614    131.99782
   133.00000      0.14415     -0.17801    132.99767
   134.00000      0.15376     -0.18988    133.99751
   135.00000      0.16337     -0.20175    134.99736
   136.00000      0.17298     -0.21361    135.99721
   137.00000      0.18259     -0.22548    136.99704
   138.00000      0.19220     -0.23735    137.99689
   139.00000      0.20181     -0.24921    138.99673
   140.00000      0.21142     -0.26108    139.99658
   141.00000      0.22103     -0.27295    140.99643
   142.00000      0.23064     -0.28482    141.99626
   143.00000      0.24025     -0.29668    142.99611
   144.00000      0.24986     -0.30855    143.99596
   145.00000      0.25947     -0.32042    144.99580
   146.00000      0.26908     -0.33229    145.99565
   147.00000      0.27869     -0.34415    146.99548
   148.00000      0.28830     -0.35602    147.99533
   149.00000      0.29791     -0.36789    148.99518
   150.00000      0.30752     -0.37976    149.99503
   151.00000      0.31713     -0.39162    150.99487
   152.00000      0.32674     -0.40349    151.99472
   153.00000      0.33635     -0.41536    152.99455
   154.00000      0.34596     -0.42723    153.99440
   155.00000      0.35557     -0.43909    154.99425
   156.00000      0.36518     -0.45096    155.99409
   157.00000      0.37479     -0.46283    156.99393
   158.00000      0.38440     -0.47469    157.99377
   159.00000      0.39401     -0.48656    158.99362
   160.00000      0.40362     -0.49843    159.99347
   161.00000      0.41323     -0.51030    160.99332
   162.00000      0.42284     -0.52216    161.99316
   163.00000      0.43245     -0.53403    162.99301
   164.00000      0.44206     -0.54590    163.99284
   165.00000      0.45167     -0.55777    164.99269
   166.00000      0.46128     -0.56963    165.99254
   167.00000      0.47089     -0.58150    166.99239
   168.00000      0.48050     -0.59337    167.99222
   169.00000      0.49011     -0.60524    168.99207
   170.00000      0.49972     -0.61710    169.99191
   171.00000      0.50933     -0.62897    170.99176
   172.00000      0.51894     -0.64084    171.99161
   173.00000      0.52855     -0.65270    172.99146
   174.00000      0.53816     -0.66457    173.99129
   175.00000      0.54777     -0.67644    174.99113
   176.00000      0.55553     -0.68946    175.99098
   177.00000      0.56329     -0.70249    176.99083
   178.00000      0.57105     -0.71551    177.99066
   179.00000      0.57881     -0.72853    178.99051
   180.00000      0.58657     -0.74156    179.99036
   181.00000      0.59433     -0.75458    180.99020
   182.00000      0.60209     -0.76760    181.99004
   183.00000      0.60985     -0.78063    182.98988
   184.00000      0.61761     -0.79365    183.98973
   185.00000      0.62537     -0.80668    184.98958
   186.00000      0.63313     -0.81970    185.98943
   187.00000      0.64089     -0.83272    186.98926
   188.00000      0.64865     -0.84575    187.98911
   189.00000      0.65641     -0.85877    188.98895
   190.00000      0.66417     -0.87179    189.98880
   191.00000      0.67193     -0.88482    190.98863
   192.00000      0.67969     -0.89784    191.98848
   193.00000      0.68745     -0.91086    192.98833
   194.00000      0.69521     -0.92389    193.98817
   195.00000      0.70297     -0.93691    194.98802
   196.00000      0.71072     -0.94994    195.98785
   197.00000      0.71848     -0.96296    196.98770
   198.00000      0.72624     -0.97598    197.98755
   199.00000      0.73400     -0.98901    198.98740
   200.00000      0.74176     -1.00203    199.98724
   201.00000      0.74952     -1.01505    200.98708
   202.00000      0.75728     -1.02808    201.98692
   203.00000      0.76504     -1.04110    202.98677
   204.00000      0.77280     -1.05412    203.98662
   205.00000      0.78056     -1.06715    204.98645
   206.00000      0.78832     -1.08017    205.98630
   207.00000      0.79608     -1.09320    206.98615
   208.00000      0.80384     -1.10622    207.98599
   209.00000      0.81160     -1.11924    208.98584
   210.00000      0.81936     -1.13227    209.98567
   211.00000      0.82712     -1.14529    210.98552
   212.00000      0.83488     -1.15831    211.98537
   213.00000      0.84264     -1.17134    212.98520
   214.00000      0.85040     -1.18436    213.98505
   215.00000      0.85816     -1.19738    214.98489
   216.00000      0.86592     -1.21041    215.98474
   217.00000      0.87368     -1.22343    216.98459
   218.00000      0.88144     -1.23645    217.98444
   219.00000      0.88920     -1.24948    218.98427
   220.00000      0.89696     -1.26250    219.98412
   221.00000      0.90472     -1.27553    220.98396
   222.00000      0.91248     -1.28855    221.98380
   223.00000      0.92024     -1.30157    222.98364
   224.00000      0.92800     -1.31460    223.98349
   225.00000      0.93576     -1.32762    224.98334
   226.00000      0.94352     -1.34064    225.98318
   227.00000      0.95128     -1.35367    226.98303
   228.00000      0.95904     -1.36669    227.98286
   229.00000      0.96680     -1.37971    228.98271
   230.00000      0.97456     -1.39274    229.98256
   231.00000      0.98232     -1.40576    230.98239
   232.00000      0.99008     -1.41879    231.98224
   233.00000      0.99784     -1.43181    232.98209
   234.00000      1.00560     -1.44483    233.98193
   235.00000      1.01335     -1.45786    234.98178
   236.00000      1.02111     -1.47088    235.98163
   237.00000      1.02887     -1.48390    236.98146
   238.00000      1.03663     -1.49693    237.98131
   239.00000      1.04439     -1.50995    238.98116
   240.00000      1.05215     -1.52297    239.98099
   241.00000      1.05991     -1.53600    240.98083
   242.00000      1.06767     -1.54902    241.98068
   243.00000      1.07543     -1.56205    242.98053
   244.00000      1.08319     -1.57507    243.98038
   245.00000      1.09095     -1.58809    244.98022
   246.00000      1.09871     -1.60112    245.98007
   247.00000      1.10647     -1.61414    246.97990
   248.00000      1.11423     -1.62716    247.97975
   249.00000      1.12199     -1.64019    248.97958
   250.00000      1.12975     -1.65321    249.97943
   251.00000      1.13751     -1.66623    250.97928
   252.00000      1.14527     -1.67926    251.97913
   253.00000      1.15303     -1.69228    252.97897
   254.00000      1.16079     -1.70530    253.97882
   255.00000      1.16855     -1.71833    254.97867
   256.00000      1.17631     -1.73135    255.97850
   257.00000      1.18407     -1.74438    256.97833
   258.00000      1.19183     -1.75740    257.97818
   259.00000      1.19959     -1.77042    258.97803
   260.00000      1.20735     -1.78345    259.97787
   261.00000      1.21511     -1.79647    260.97772
   262.00000      1.22287     -1.80949    261.97757
   263.00000      1.23063     -1.82252    262.97742
   264.00000      1.23839     -1.83554    263.97726
   265.00000      1.24615     -1.84856    264.97711
   266.00000      1.25391     -1.86159    265.97693
   267.00000      1.26167     -1.87461    266.97678
   268.00000      1.26943     -1.88764    267.97662
   269.00000      1.27719     -1.90066    268.97647
   270.00000      1.28495     -1.91368    269.97632
   271.00000      1.29271     -1.92671    270.97617
   272.00000      1.30047     -1.93973    271.97601
   273.00000      1.30823     -1.95275    272.97586
   274.00000      1.31598     -1.96578    273.97571
