Wellname           UWN                UTMnorth           UTMeast            MeasDepth(m)       MeasTVD(m)         Dip                Azimuth            Location(NS)       Location(EW)       Dogleg
15/9-18            6556               6468508.49         429961.76          118                118                0                  0                  6468508.49         429961.76          0
15/9-18            6556               6468508.49         429961.76          175                174.99             1.75               141                6468507.81         429962.31          0.92
15/9-18            6556               6468508.49         429961.76          513                512.94             0.25               238                6468503.41         429964.93          0.16
15/9-18            6556               6468508.49         429961.76          604                603.93             0.75               275                6468503.36         429964.17          0.19
15/9-18            6556               6468508.49         429961.76          748                747.93             0                  0                  6468503.44         429963.23          0.16
15/9-18            6556               6468508.49         429961.76          861                860.93             0.75               59                 6468503.82         429963.86          0.2
15/9-18            6556               6468508.49         429961.76          959                958.92             0.75               41                 6468504.64         429964.83          0.07
15/9-18            6556               6468508.49         429961.76          1065               1064.91            0.5                14                 6468505.61         429965.4           0.11
15/9-18            6556               6468508.49         429961.76          1164               1163.91            0.5                358                6468506.46         429965.49          0.04
15/9-18            6556               6468508.49         429961.76          1265               1264.91            0.5                39                 6468507.24         429965.75          0.1
15/9-18            6556               6468508.49         429961.76          1362               1361.9             0.25               195                6468507.37         429965.96          0.23
15/9-18            6556               6468508.49         429961.76          1468               1467.9             0.5                198                6468506.7          429965.76          0.07
15/9-18            6556               6468508.49         429961.76          1573               1572.9             0.75               237                6468505.89         429965.04          0.14
15/9-18            6556               6468508.49         429961.76          1679               1678.88            1                  224                6468504.85         429963.82          0.09
15/9-18            6556               6468508.49         429961.76          1785               1784.87            1                  218                6468503.46         429962.61          0.03
15/9-18            6556               6468508.49         429961.76          1890               1889.85            1                  234                6468502.2          429961.3           0.08
15/9-18            6556               6468508.49         429961.76          2174               2173.73            2.25               240                6468497.95         429954.47          0.13
15/9-18            6556               6468508.49         429961.76          2345               2344.6             2.25               236                6468494.4          429948.78          0.03
15/9-18            6556               6468508.49         429961.76          2373               2372.58            2.25               244                6468493.85         429947.83          0.34
15/9-18            6556               6468508.49         429961.76          2490               2489.51            1.75               245                6468492.09         429944.15          0.13
15/9-18            6556               6468508.49         429961.76          2625               2624.47            1                  249                6468490.79         429941.18          0.17
15/9-18            6556               6468508.49         429961.76          2680               2679.46            0.75               209                6468490.31         429940.56          0.35
15/9-18            6556               6468508.49         429961.76          2699               2698.46            0.5                200                6468490.12         429940.47          0.42
15/9-18            6556               6468508.49         429961.76          2758               2757.46            0.5                113                6468489.78         429940.62          0.35
15/9-18            6556               6468508.49         429961.76          2865               2864.45            0.75               114                6468489.31         429941.69          0.07
15/9-18            6556               6468508.49         429961.76          2959               2958.45            0.75               84                 6468489.12         429942.86          0.12
15/9-18            6556               6468508.49         429961.76          3034               3033.44            1                  76                 6468489.33         429943.98          0.11
15/9-18            6556               6468508.49         429961.76          3122               3121.42            1                  72                 6468489.76         429945.46          0.02
15/9-18            6556               6468508.49         429961.76          3224               3223.39            2                  34                 6468491.51         429947.3           0.4
15/9-18            6556               6468508.49         429961.76          3315               3314.33            2                  54                 6468493.76         429949.47          0.23
15/9-18            6556               6468508.49         429961.76          3356               3355.31            2                  57                 6468494.57         429950.65          0.08
15/9-18            6556               6468508.49         429961.76          3418               3417.28            1.5                92                 6468495.13         429952.37          0.56
15/9-18            6556               6468508.49         429961.76          3475               3474.27            1                  98                 6468495.03         429953.61          0.27
15/9-18            6556               6468508.49         429961.76          3518               3517.26            1                  110                6468494.85         429954.33          0.15
