# Tigress ASCII Data File Version 4.1
# Copyright (c) 1993 Simon Petroleum Technology Ltd.
# 
# File created on 10/06/1997
#              at 15:37:03
#              by user cpi
# 
# using TIGRESS Deviation file conversion.
 
# Global Units Information
UNIT_DEPTH= m
UNIT_OFFSET= m
 
# Well Information
WELLNM= 15/9-2
OPERTR= STATOIL
 
# Deviation Data Information
DATTYP= DEVN
 
DESCRP= DEV SURVEY
LNGTDE=      1.70783333
LATTDE=     58.42612778
REFDIR=      0.00000000
 
#    <Depth><Inclination>    <Azimuth>
     0.00000      0.00000      0.00000
   412.00000      0.35000    286.10001
  1186.00000      0.15000    176.10001
  1398.00000      0.13000    209.10001
  1979.00000      1.35000    204.10001
  2196.00000      1.47000    170.10001
  2310.00000      0.40000    186.10001
  2492.00000      0.45000    136.10001
  2731.00000      0.40000    312.10001
  2816.00000      0.50000    324.10001
  3116.00000      1.47000    345.10001
  3212.00000      1.00000    358.10001
  3447.00000      1.20000     36.10000
  3494.00000      1.10000      2.10000
  3772.81006      1.10000      2.10000
 
CDMETH= MCURV
 
#    <Depth>         <DX>         <DY>        <TVD>
     0.00000      0.00000      0.00000      0.00000
     1.00000     -0.00293      0.00085      0.99999
     2.00000     -0.00587      0.00169      1.99999
     3.00000     -0.00880      0.00254      2.99998
     4.00000     -0.01174      0.00339      3.99997
     5.00000     -0.01467      0.00424      4.99997
     6.00000     -0.01761      0.00508      5.99996
     7.00000     -0.02054      0.00593      6.99996
     8.00000     -0.02348      0.00678      7.99995
     9.00000     -0.02641      0.00762      8.99994
    10.00000     -0.02935      0.00847      9.99994
    11.00000     -0.03228      0.00932     10.99993
    12.00000     -0.03521      0.01016     11.99993
    13.00000     -0.03815      0.01101     12.99992
    14.00000     -0.04108      0.01186     13.99991
    15.00000     -0.04402      0.01271     14.99991
    16.00000     -0.04695      0.01355     15.99990
    17.00000     -0.04989      0.01440     16.99989
    18.00000     -0.05282      0.01525     17.99989
    19.00000     -0.05576      0.01609     18.99988
    20.00000     -0.05869      0.01694     19.99988
    21.00000     -0.06162      0.01779     20.99987
    22.00000     -0.06456      0.01863     21.99986
    23.00000     -0.06749      0.01948     22.99986
    24.00000     -0.07043      0.02033     23.99985
    25.00000     -0.07336      0.02118     24.99984
    26.00000     -0.07630      0.02202     25.99984
    27.00000     -0.07923      0.02287     26.99983
    28.00000     -0.08217      0.02372     27.99983
    29.00000     -0.08510      0.02456     28.99982
    30.00000     -0.08804      0.02541     29.99981
    31.00000     -0.09097      0.02626     30.99981
    32.00000     -0.09390      0.02710     31.99980
    33.00000     -0.09684      0.02795     32.99979
    34.00000     -0.09977      0.02880     33.99979
    35.00000     -0.10271      0.02965     34.99978
    36.00000     -0.10564      0.03049     35.99977
    37.00000     -0.10858      0.03134     36.99977
    38.00000     -0.11151      0.03219     37.99976
    39.00000     -0.11445      0.03303     38.99976
    40.00000     -0.11738      0.03388     39.99975
    41.00000     -0.12032      0.03473     40.99974
    42.00000     -0.12325      0.03557     41.99974
    43.00000     -0.12618      0.03642     42.99973
    44.00000     -0.12912      0.03727     43.99973
    45.00000     -0.13205      0.03812     44.99972
    46.00000     -0.13499      0.03896     45.99971
    47.00000     -0.13792      0.03981     46.99971
    48.00000     -0.14086      0.04066     47.99970
    49.00000     -0.14379      0.04150     48.99969
    50.00000     -0.14673      0.04235     49.99969
    51.00000     -0.14966      0.04320     50.99968
    52.00000     -0.15260      0.04404     51.99968
    53.00000     -0.15553      0.04489     52.99967
    54.00000     -0.15846      0.04574     53.99966
    55.00000     -0.16140      0.04659     54.99966
    56.00000     -0.16433      0.04743     55.99965
    57.00000     -0.16727      0.04828     56.99965
    58.00000     -0.17020      0.04913     57.99964
    59.00000     -0.17314      0.04997     58.99963
    60.00000     -0.17607      0.05082     59.99963
    61.00000     -0.17901      0.05167     60.99962
    62.00000     -0.18194      0.05251     61.99961
    63.00000     -0.18487      0.05336     62.99961
    64.00000     -0.18781      0.05421     63.99960
    65.00000     -0.19074      0.05506     64.99960
    66.00000     -0.19368      0.05590     65.99959
    67.00000     -0.19661      0.05675     66.99958
    68.00000     -0.19955      0.05760     67.99957
    69.00000     -0.20248      0.05844     68.99957
    70.00000     -0.20542      0.05929     69.99957
    71.00000     -0.20835      0.06014     70.99956
    72.00000     -0.21129      0.06098     71.99955
    73.00000     -0.21422      0.06183     72.99954
    74.00000     -0.21715      0.06268     73.99954
    75.00000     -0.22009      0.06353     74.99953
    76.00000     -0.22302      0.06437     75.99953
    77.00000     -0.22596      0.06522     76.99952
    78.00000     -0.22889      0.06607     77.99951
    79.00000     -0.23183      0.06691     78.99950
    80.00000     -0.23476      0.06776     79.99950
    81.00000     -0.23770      0.06861     80.99950
    82.00000     -0.24063      0.06945     81.99949
    83.00000     -0.24357      0.07030     82.99948
    84.00000     -0.24650      0.07115     83.99947
    85.00000     -0.24943      0.07200     84.99947
    86.00000     -0.25237      0.07284     85.99947
    87.00000     -0.25530      0.07369     86.99946
    88.00000     -0.25824      0.07454     87.99945
    89.00000     -0.26117      0.07538     88.99944
    90.00000     -0.26411      0.07623     89.99944
    91.00000     -0.26704      0.07708     90.99944
    92.00000     -0.26998      0.07792     91.99943
    93.00000     -0.27291      0.07877     92.99942
    94.00000     -0.27585      0.07962     93.99941
    95.00000     -0.27878      0.08047     94.99940
    96.00000     -0.28171      0.08131     95.99940
    97.00000     -0.28465      0.08216     96.99940
    98.00000     -0.28758      0.08301     97.99939
    99.00000     -0.29052      0.08385     98.99938
   100.00000     -0.29345      0.08470     99.99937
   101.00000     -0.29639      0.08555    100.99937
   102.00000     -0.29932      0.08639    101.99937
   103.00000     -0.30226      0.08724    102.99936
   104.00000     -0.30519      0.08809    103.99935
   105.00000     -0.30812      0.08894    104.99934
   106.00000     -0.31106      0.08978    105.99934
   107.00000     -0.31399      0.09063    106.99934
   108.00000     -0.31693      0.09148    107.99933
   109.00000     -0.31986      0.09232    108.99932
   110.00000     -0.32280      0.09317    109.99931
   111.00000     -0.32573      0.09402    110.99931
   112.00000     -0.32867      0.09486    111.99931
   113.00000     -0.33160      0.09571    112.99930
   114.00000     -0.33454      0.09656    113.99929
   115.00000     -0.33747      0.09741    114.99928
   116.00000     -0.34040      0.09825    115.99928
   117.00000     -0.34334      0.09910    116.99927
   118.00000     -0.34627      0.09995    117.99927
   119.00000     -0.34921      0.10079    118.99926
   120.00000     -0.35214      0.10164    119.99925
   121.00000     -0.35508      0.10249    120.99924
   122.00000     -0.35801      0.10333    121.99924
   123.00000     -0.36095      0.10418    122.99924
   124.00000     -0.36388      0.10503    123.99923
   125.00000     -0.36682      0.10588    124.99922
   126.00000     -0.36975      0.10672    125.99921
   127.00000     -0.37268      0.10757    126.99921
   128.00000     -0.37562      0.10842    127.99920
   129.00000     -0.37855      0.10926    128.99919
   130.00000     -0.38149      0.11011    129.99919
   131.00000     -0.38442      0.11096    130.99919
   132.00000     -0.38736      0.11180    131.99918
   133.00000     -0.39029      0.11265    132.99918
   134.00000     -0.39323      0.11350    133.99916
   135.00000     -0.39616      0.11435    134.99916
   136.00000     -0.39910      0.11519    135.99915
   137.00000     -0.40203      0.11604    136.99915
   138.00000     -0.40496      0.11689    137.99915
   139.00000     -0.40790      0.11773    138.99913
   140.00000     -0.41083      0.11858    139.99913
   141.00000     -0.41377      0.11943    140.99911
   142.00000     -0.41670      0.12028    141.99911
   143.00000     -0.41964      0.12112    142.99911
   144.00000     -0.42257      0.12197    143.99910
   145.00000     -0.42551      0.12282    144.99910
   146.00000     -0.42844      0.12366    145.99908
   147.00000     -0.43137      0.12451    146.99908
   148.00000     -0.43431      0.12536    147.99908
   149.00000     -0.43724      0.12620    148.99907
   150.00000     -0.44018      0.12705    149.99907
   151.00000     -0.44311      0.12790    150.99905
   152.00000     -0.44605      0.12875    151.99905
   153.00000     -0.44898      0.12959    152.99905
   154.00000     -0.45192      0.13044    153.99904
   155.00000     -0.45485      0.13129    154.99904
   156.00000     -0.45779      0.13213    155.99902
   157.00000     -0.46072      0.13298    156.99902
   158.00000     -0.46365      0.13383    157.99901
   159.00000     -0.46659      0.13467    158.99901
   160.00000     -0.46952      0.13552    159.99901
   161.00000     -0.47246      0.13637    160.99899
   162.00000     -0.47539      0.13722    161.99899
   163.00000     -0.47833      0.13806    162.99898
   164.00000     -0.48126      0.13891    163.99898
   165.00000     -0.48420      0.13976    164.99898
   166.00000     -0.48713      0.14060    165.99896
   167.00000     -0.49007      0.14145    166.99896
   168.00000     -0.49300      0.14230    167.99895
   169.00000     -0.49593      0.14314    168.99895
   170.00000     -0.49887      0.14399    169.99895
   171.00000     -0.50180      0.14484    170.99893
   172.00000     -0.50474      0.14569    171.99893
   173.00000     -0.50767      0.14653    172.99892
   174.00000     -0.51061      0.14738    173.99892
   175.00000     -0.51354      0.14823    174.99892
   176.00000     -0.51648      0.14907    175.99890
   177.00000     -0.51941      0.14992    176.99890
   178.00000     -0.52235      0.15077    177.99889
   179.00000     -0.52528      0.15161    178.99889
   180.00000     -0.52821      0.15246    179.99889
   181.00000     -0.53115      0.15331    180.99887
   182.00000     -0.53408      0.15416    181.99887
   183.00000     -0.53702      0.15500    182.99886
   184.00000     -0.53995      0.15585    183.99886
   185.00000     -0.54289      0.15670    184.99884
   186.00000     -0.54582      0.15754    185.99884
   187.00000     -0.54876      0.15839    186.99884
   188.00000     -0.55169      0.15924    187.99883
   189.00000     -0.55462      0.16008    188.99883
   190.00000     -0.55756      0.16093    189.99881
