Wellname UWN      UTM NorthUTM East MD       TVD      DEVIATIONAZIMUTH  NORTH    EAST     DOGLEG
15/9-2        1873 6490444.7 424236.03      412   411.98     0.35    286.1 6477027.5 424528.33     0.04
15/9-2        1873 6490444.7 424236.03     1186  1185.96     0.15    176.1 6477026.9 424524.68     0.03
15/9-2        1873 6490444.7 424236.03     1398  1397.96     0.13    209.1  6477026 424524.51     0.02
15/9-2        1873 6490444.7 424236.03     1979  1978.87     1.35    204.1 6477017.8 424520.7     0.07
15/9-2        1873 6490444.7 424236.03     2196  2195.78     1.47    170.1 6477011.7 424520.06     0.14
15/9-2        1873 6490444.7 424236.03     2310  2309.75      0.4    186.1 6477009.3 424520.29     0.31
15/9-2        1873 6490444.7 424236.03     2492  2491.73     0.45    136.1 6477007.4   424521      0.1
15/9-2        1873 6490444.7 424236.03     2731  2730.72      0.4    312.1 6477007.2 424521.05     0.18
15/9-2        1873 6490444.7 424236.03     2816  2815.72      0.5    324.1  6477008 424520.32     0.12
15/9-2        1873 6490444.7 424236.03     3116  3115.63     1.47    345.1 6477014.3 424517.85     0.11
15/9-2        1873 6490444.7 424236.03     3212  3211.61        1    358.1 6477016.6 424517.44     0.27
15/9-2        1873 6490444.7 424236.03     3447  3446.56      1.2     36.1 6477020.8 424518.98     0.11
15/9-2        1873 6490444.7 424236.03     3494  3493.54      1.1      2.1 6477021.7 424519.32     0.49
