Data from WELLPATH_ORIGINAL_SURVEY_POINTS_1.ASC has been resampled to 0.2 meters and linearly interpolated between original survey points. Computed 09-NOV-2010

HEADER INFORMATION	
----------------------------------------------------------------	
COMPANY:	Det norske oljeselskap ASA
FIELD:	Exploration - UTM Zone 31
WELL NAME:	15/9-24 Storkinn
WELLBORE NAME:	15/9-24 Storkinn
Drilled From	: Well Ref. Point
KICK OFF DEPTH:	105.50 m
SURVEYNAME:	15/9-24 Storkinn
SURVEYDATE:	24-06-2010
PRINTED DATE:	24-06-2010
----------------------------------------------------------------	
CALCULATION METHOD:	Minimum Curvature
DATUM NAME:	Bredford Dolphin
LAT REFERENCE:	Site
----------------------------------------------------------------	
SLOT EW MAP:	440297.10m
SLOT NS MAP:	6459849.30m
SURFACE LATITUDE MAP:	58° 16' 27.524 N
SURFACE LONGITUDE  MAP:	1° 58' 55.873 E
BOTTOM HOLE MD:	2400.00 m
BOTTOM HOLE TVD:	2399.75 m
BOTTOM HOLE EW MAP:	440297.64m
BOTTOM HOLE NS MAP:	6459853.66m
----------------------------------------------------------------	
WATER DEPTH:	80.50 m
KB-MSL:	25.00 m
SYSTEM DATUM:	Mean Sea Level
----------------------------------------------------------------	
MAP-ZONE:	Zone 31N (0 E to 6 E)
NORTH REFERENCE:	Grid
GEO DATUM:	European 1950 - Mean
VSDIR:	0
----------------------------------------------------------------	
SURVEY TYPE INFORMATION
H  107.00 - 149.20 15/9-24; 36" MWD+SC+SAG : MWD+SC+SAG
H  182.90 - 620.69 15/9-24; 26'' MWD+SC+SAG : MWD+SC+SAG
H  638.70 - 1480.40 15/9-24; 17 1/2'' MWD+SC+SAG : MWD+SC+SAG
H  1508.30 - 2387.90 15/9-24; 8 1/2'' MWD+SC+SAG : MWD+SC+SAG
H  2400.00 - 2400.00 15/9-24; EXTRAPOLATION TO TD : BLIND

----------------------------------------------------------------	
SURVEY LIST	
                MD               Inc               AZI          TVD(RKB)             TVDSS       	X(m)              y(m)                NS                EW               DLS              Vsec
            105.60              0.00              0.00            105.50             80.50         440297.10        6459849.30              0.00              0.00              0.00              0.00
            105.80              0.01              8.48            105.71             80.71         440297.10        6459849.30              0.00              0.00              0.20              0.00
            106.00              0.02             16.95            105.93             80.93         440297.10        6459849.30              0.00              0.00              0.40              0.00
            106.20              0.03             25.43            106.14             81.14         440297.10        6459849.30              0.00              0.00              0.60              0.00
            106.40              0.04             33.90            106.36             81.36         440297.10        6459849.30              0.00              0.00              0.80              0.00
            106.60              0.05             42.38            106.57             81.57         440297.10        6459849.30              0.00              0.00              1.00              0.00
            106.80              0.06             50.85            106.79             81.79         440297.10        6459849.30              0.00              0.00              1.20              0.00
            107.00              0.07             59.33            107.00             82.00         440297.10        6459849.30              0.00              0.00              1.40              0.00
            107.20              0.08             62.55            107.20             82.20         440297.10        6459849.30              0.00              0.00              1.42              0.00
            107.40              0.10             65.77            107.40             82.40         440297.10        6459849.30              0.00              0.00              1.44              0.00
            107.60              0.11             69.00            107.60             82.60         440297.10        6459849.30              0.00              0.00              1.46              0.00
            107.80              0.13             72.22            107.80             82.80         440297.10        6459849.30              0.00              0.00              1.49              0.00
            108.00              0.14             75.44            108.00             83.00         440297.10        6459849.30              0.00              0.00              1.51              0.00
            108.20              0.15             78.66            108.20             83.20         440297.09        6459849.29             -0.01             -0.01              1.53             -0.01
            108.40              0.17             81.88            108.40             83.40         440297.09        6459849.29             -0.01             -0.01              1.55             -0.01
            108.60              0.18             85.11            108.60             83.60         440297.09        6459849.29             -0.01             -0.01              1.57             -0.01
            108.80              0.20             88.33            108.80             83.80         440297.09        6459849.29             -0.01             -0.01              1.59             -0.01
            109.00              0.21             91.55            109.00             84.00         440297.09        6459849.29             -0.01             -0.01              1.61             -0.01
            109.20              0.22             94.77            109.20             84.20         440297.09        6459849.29             -0.01             -0.01              1.63             -0.01
            109.40              0.24             98.00            109.40             84.40         440297.09        6459849.29             -0.01             -0.01              1.66             -0.01
            109.60              0.25            101.22            109.60             84.60         440297.09        6459849.29             -0.01             -0.01              1.68             -0.01
            109.80              0.27            104.44            109.80             84.80         440297.09        6459849.29             -0.01             -0.01              1.70             -0.01
            110.00              0.28            107.66            110.00             85.00         440297.09        6459849.29             -0.01             -0.01              1.72             -0.01
            110.20              0.29            110.88            110.20             85.20         440297.08        6459849.28             -0.02             -0.02              1.74             -0.02
            110.40              0.31            114.11            110.40             85.40         440297.08        6459849.28             -0.02             -0.02              1.76             -0.02
            110.60              0.32            117.33            110.60             85.60         440297.08        6459849.28             -0.02             -0.02              1.78             -0.02
            110.80              0.34            120.55            110.80             85.80         440297.08        6459849.28             -0.02             -0.02              1.81             -0.02
            111.00              0.35            123.77            111.00             86.00         440297.08        6459849.28             -0.02             -0.02              1.83             -0.02
            111.20              0.36            126.99            111.20             86.20         440297.08        6459849.28             -0.02             -0.02              1.85             -0.02
            111.40              0.38            130.22            111.40             86.40         440297.08        6459849.28             -0.02             -0.02              1.87             -0.02
            111.60              0.39            133.44            111.60             86.60         440297.08        6459849.28             -0.02             -0.02              1.89             -0.02
            111.80              0.41            136.66            111.80             86.80         440297.08        6459849.28             -0.02             -0.02              1.91             -0.02
            112.00              0.42            139.88            112.00             87.00         440297.08        6459849.28             -0.02             -0.02              1.93             -0.02
            112.20              0.44            143.11            112.20             87.20         440297.08        6459849.28             -0.03             -0.03              1.96             -0.03
            112.40              0.45            146.33            112.40             87.40         440297.07        6459849.27             -0.03             -0.03              1.98             -0.03
            112.60              0.46            149.55            112.60             87.60         440297.07        6459849.27             -0.03             -0.03              2.00             -0.03
            112.80              0.48            152.77            112.80             87.80         440297.07        6459849.27             -0.03             -0.03              2.02             -0.03
            113.00              0.49            155.99            113.00             88.00         440297.07        6459849.27             -0.03             -0.03              2.04             -0.03
            113.20              0.51            159.22            113.20             88.20         440297.07        6459849.27             -0.03             -0.03              2.06             -0.03
            113.40              0.52            162.44            113.40             88.40         440297.07        6459849.27             -0.03             -0.03              2.08             -0.03
            113.60              0.53            165.66            113.60             88.60         440297.07        6459849.27             -0.03             -0.03              2.10             -0.03
            113.80              0.55            168.88            113.80             88.80         440297.07        6459849.27             -0.03             -0.03              2.13             -0.03
            114.00              0.56            172.10            114.00             89.00         440297.07        6459849.27             -0.03             -0.03              2.15             -0.03
            114.20              0.58            175.33            114.20             89.20         440297.07        6459849.27             -0.03             -0.03              2.17             -0.03
            114.40              0.59            178.55            114.40             89.40         440297.06        6459849.26             -0.04             -0.04              2.19             -0.04
            114.60              0.60            181.77            114.60             89.60         440297.06        6459849.26             -0.04             -0.04              2.21             -0.04
            114.80              0.62            184.99            114.80             89.80         440297.06        6459849.26             -0.04             -0.04              2.23             -0.04
            115.00              0.63            188.21            115.00             90.00         440297.06        6459849.26             -0.04             -0.04              2.25             -0.04
            115.20              0.65            191.44            115.20             90.20         440297.06        6459849.26             -0.04             -0.04              2.28             -0.04
            115.40              0.66            194.66            115.40             90.40         440297.06        6459849.26             -0.04             -0.04              2.30             -0.04
            115.60              0.67            197.88            115.60             90.60         440297.06        6459849.26             -0.04             -0.04              2.32             -0.04
            115.80              0.69            201.10            115.80             90.80         440297.06        6459849.26             -0.04             -0.04              2.34             -0.04
            116.00              0.70            204.33            116.00             91.00         440297.06        6459849.26             -0.04             -0.04              2.36             -0.04
            116.20              0.72            207.55            116.20             91.20         440297.06        6459849.26             -0.04             -0.04              2.38             -0.04
