HEADER INFORMATION	
----------------------------------------------------------------	
COMPANY:	Det norske oljeselskap ASA
FIELD:	Exploration - UTM Zone 31
WELL NAME:	15/9-24 Storkinn
WELLBORE NAME:	15/9-24 Storkinn
Drilled From	: Well Ref. Point
KICK OFF DEPTH:	105.50 m
SURVEYNAME:	15/9-24 Storkinn
SURVEYDATE:	24-06-2010
PRINTED DATE:	24-06-2010
----------------------------------------------------------------	
CALCULATION METHOD:	Minimum Curvature
DATUM NAME:	Bredford Dolphin
LAT REFERENCE:	Site
----------------------------------------------------------------	
SLOT EW MAP:	440297.10m
SLOT NS MAP:	6459849.30m
SURFACE LATITUDE MAP:	58° 16' 27.524 N
SURFACE LONGITUDE  MAP:	1° 58' 55.873 E
BOTTOM HOLE MD:	2400.00 m
BOTTOM HOLE TVD:	2399.75 m
BOTTOM HOLE EW MAP:	440297.64m
BOTTOM HOLE NS MAP:	6459853.66m
----------------------------------------------------------------	
WATER DEPTH:	80.50 m
KB-MSL:	25.00 m
SYSTEM DATUM:	Mean Sea Level
----------------------------------------------------------------	
MAP-ZONE:	Zone 31N (0 E to 6 E)
NORTH REFERENCE:	Grid
GEO DATUM:	European 1950 - Mean
VSDIR:	0
----------------------------------------------------------------	
SURVEY TYPE INFORMATION
H  107.00 - 149.20 15/9-24; 36" MWD+SC+SAG : MWD+SC+SAG
H  182.90 - 620.69 15/9-24; 26'' MWD+SC+SAG : MWD+SC+SAG
H  638.70 - 1480.40 15/9-24; 17 1/2'' MWD+SC+SAG : MWD+SC+SAG
H  1508.30 - 2387.90 15/9-24; 8 1/2'' MWD+SC+SAG : MWD+SC+SAG
H  2400.00 - 2400.00 15/9-24; EXTRAPOLATION TO TD : BLIND

----------------------------------------------------------------	
SURVEY LIST	
MD         	Inc       	AZI    	TVD(RKB)   	TVDS       	X(m)        	y(m)        	NS          	EW          	DLS              	Vsec        	Lat                	Long
105.50  	0.00    	0.00      	105.50    	80.50     	440297.10   	6459849.30    	0.00        	0.00        	0.00        	0.00      	    58° 16' 27.524 N	     1° 58' 55.873 E	
107.00  	0.07    	59.33     	107.00    	82.00     	440297.10   	6459849.30    	0.00        	0.00        	1.40        	0.00      	    58° 16' 27.524 N	     1° 58' 55.874 E	
117.40  	0.80    	226.88    	117.40    	92.40     	440297.05   	6459849.25    	-0.05       	-0.05       	2.51        	-0.05     	    58° 16' 27.522 N	     1° 58' 55.871 E	
123.20  	0.71    	203.62    	123.20    	98.20     	440297.01   	6459849.19    	-0.11       	-0.09       	1.64        	-0.11     	    58° 16' 27.520 N	     1° 58' 55.868 E	
130.20  	0.75    	205.41    	130.20    	105.20    	440296.97   	6459849.11    	-0.19       	-0.13       	0.20        	-0.19     	    58° 16' 27.518 N	     1° 58' 55.866 E	
138.30  	0.89    	205.63    	138.30    	113.30    	440296.92   	6459849.01    	-0.29       	-0.18       	0.52        	-0.29     	    58° 16' 27.514 N	     1° 58' 55.863 E	
143.40  	0.92    	226.26    	143.40    	118.40    	440296.88   	6459848.94    	-0.36       	-0.22       	1.91        	-0.36     	    58° 16' 27.512 N	     1° 58' 55.860 E	
149.20  	0.63    	249.42    	149.20    	124.20    	440296.81   	6459848.90    	-0.40       	-0.29       	2.18        	-0.40     	    58° 16' 27.511 N	     1° 58' 55.856 E	
182.90  	0.53    	226.51    	182.89    	157.89    	440296.53   	6459848.73    	-0.57       	-0.57       	0.22        	-0.57     	    58° 16' 27.505 N	     1° 58' 55.839 E	
211.80  	0.74    	239.08    	211.79    	186.79    	440296.27   	6459848.54    	-0.76       	-0.83       	0.26        	-0.76     	    58° 16' 27.499 N	     1° 58' 55.823 E	
