# Tigress ASCII Data File Version 4.1
# Copyright (c) 1993 Simon Petroleum Technology Ltd.
# 
# File created on 29/05/1997
#              at 13:37:44
#              by user cpi
# 
# using TIGRESS Deviation file conversion.
 
# Global Units Information
UNIT_DEPTH= m
UNIT_OFFSET= m
 
# Well Information
WELLNM= 15/9-4
OPERTR= STATOIL
 
# Deviation Data Information
DATTYP= DEVN
 
DESCRP= DEVIATION DATA
LNGTDE=      1.78525833
LATTDE=     58.40007222
REFDIR=      0.00000000
 
#    <Depth><Inclination>    <Azimuth>
   127.00000      0.00000      1.03000
   411.00000      0.33000     72.03000
  1416.00000      0.85000      3.03000
  1835.00000      1.08000    298.03000
  2182.00000      1.50000    284.03000
  2364.00000      1.17000    301.03000
  2680.00000      0.42000    298.03000
  2774.00000      0.23000    263.03000
  3220.00000      0.62000    135.03000
  3253.00000      0.58000    186.03000
  3370.00000      0.30000    157.03000
  3436.00000      0.42000    284.03000
  3561.00000      1.00000    229.03000
  3712.00000      1.92000    266.03000
  3716.00000      1.92000    266.03000
 
CDMETH= MCURV
 
#    <Depth>         <DX>         <DY>        <TVD>
   127.00000      0.00000      0.00000    127.00000
   128.00000      0.00274      0.00089    127.99999
   129.00000      0.00548      0.00178    128.99998
   130.00000      0.00822      0.00267    129.99998
   131.00000      0.01096      0.00355    130.99998
   132.00000      0.01370      0.00444    131.99997
   133.00000      0.01644      0.00533    132.99997
   134.00000      0.01918      0.00622    133.99995
   135.00000      0.02191      0.00711    134.99995
   136.00000      0.02465      0.00800    135.99995
   137.00000      0.02739      0.00888    136.99994
   138.00000      0.03013      0.00977    137.99994
   139.00000      0.03287      0.01066    138.99994
   140.00000      0.03561      0.01155    139.99992
   141.00000      0.03835      0.01244    140.99992
   142.00000      0.04109      0.01333    141.99992
   143.00000      0.04383      0.01422    142.99991
   144.00000      0.04657      0.01510    143.99991
   145.00000      0.04931      0.01599    144.99991
   146.00000      0.05205      0.01688    145.99989
   147.00000      0.05479      0.01777    146.99989
   148.00000      0.05753      0.01866    147.99988
   149.00000      0.06026      0.01955    148.99988
   150.00000      0.06300      0.02043    149.99988
   151.00000      0.06574      0.02132    150.99986
   152.00000      0.06848      0.02221    151.99986
   153.00000      0.07122      0.02310    152.99985
   154.00000      0.07396      0.02399    153.99985
   155.00000      0.07670      0.02488    154.99985
   156.00000      0.07944      0.02577    155.99985
   157.00000      0.08218      0.02665    156.99983
   158.00000      0.08492      0.02754    157.99983
   159.00000      0.08766      0.02843    158.99982
   160.00000      0.09040      0.02932    159.99982
   161.00000      0.09314      0.03021    160.99982
   162.00000      0.09588      0.03110    161.99980
   163.00000      0.09861      0.03198    162.99980
