# Tigress ASCII Data File Version 4.1
# Copyright (c) 1993 Simon Petroleum Technology Ltd.
# 
# File created on 27/08/1997
#              at 09:24:52
#              by user cpi
# 
# using TIGRESS Deviation file conversion.
 
# Global Units Information
UNIT_DEPTH= m
UNIT_OFFSET= m
 
# Well Information
WELLNM= 15/9-5
OPERTR= STATOIL
 
# Deviation Data Information
DATTYP= DEVN
 
DESCRP= DEV SURVEY
LNGTDE=      1.70811111
LATTDE=     58.40346389
REFDIR=      0.00000000
 
#    <Depth><Inclination>    <Azimuth>
     0.00000      0.00000      0.00000
   133.00000      0.00000      0.00000
  1266.00000      0.00000      0.00000
  1363.00000      0.25000     43.10000
  1459.00000      0.75000    327.10001
  1565.00000      1.00000     86.10000
  1660.00000      2.25000     80.10000
  1767.00000      1.75000     57.10000
  1863.00000      2.25000     65.10000
  1928.00000      1.75000     99.10000
  2017.00000      1.50000     88.10000
  2124.00000      1.25000     48.10000
  2220.00000      1.50000    263.10001
  2287.00000      1.00000    297.10001
  2384.00000      0.50000    288.10001
  2490.00000      0.75000    282.10001
  2545.00000      0.50000    339.10001
  2654.00000      0.75000    306.10001
  2704.00000      0.25000     31.10000
  2783.00000      0.00000      1.10000
  2985.00000      1.00000    326.10001
  3181.00000      1.00000    320.10001
  3304.00000      0.75000    332.10001
  3419.00000      0.75000    347.10001
  3520.00000      0.25000    194.10001
  3630.00000      0.25000    154.10001
  3684.00000      1.00000    179.10001
  3946.00000      1.00000    179.10001
  3962.25000      1.00000    179.10001
 
CDMETH= MCURV
 
#    <Depth>         <DX>         <DY>        <TVD>
     0.00000      0.00000      0.00000      0.00000
     1.00000      0.00000      0.00000      1.00000
     2.00000      0.00000      0.00000      2.00000
     3.00000      0.00000      0.00000      3.00000
     4.00000      0.00000      0.00000      4.00000
     5.00000      0.00000      0.00000      5.00000
     6.00000      0.00000      0.00000      6.00000
     7.00000      0.00000      0.00000      7.00000
     8.00000      0.00000      0.00000      8.00000
     9.00000      0.00000      0.00000      9.00000
    10.00000      0.00000      0.00000     10.00000
    11.00000      0.00000      0.00000     11.00000
    12.00000      0.00000      0.00000     12.00000
    13.00000      0.00000      0.00000     13.00000
    14.00000      0.00000      0.00000     14.00000
    15.00000      0.00000      0.00000     15.00000
    16.00000      0.00000      0.00000     16.00000
    17.00000      0.00000      0.00000     17.00000
    18.00000      0.00000      0.00000     18.00000
    19.00000      0.00000      0.00000     19.00000
    20.00000      0.00000      0.00000     20.00000
    21.00000      0.00000      0.00000     21.00000
    22.00000      0.00000      0.00000     22.00000
    23.00000      0.00000      0.00000     23.00000
    24.00000      0.00000      0.00000     24.00000
    25.00000      0.00000      0.00000     25.00000
    26.00000      0.00000      0.00000     26.00000
    27.00000      0.00000      0.00000     27.00000
    28.00000      0.00000      0.00000     28.00000
    29.00000      0.00000      0.00000     29.00000
    30.00000      0.00000      0.00000     30.00000
    31.00000      0.00000      0.00000     31.00000
    32.00000      0.00000      0.00000     32.00000
    33.00000      0.00000      0.00000     33.00000
    34.00000      0.00000      0.00000     34.00000
    35.00000      0.00000      0.00000     35.00000
    36.00000      0.00000      0.00000     36.00000
    37.00000      0.00000      0.00000     37.00000
    38.00000      0.00000      0.00000     38.00000
    39.00000      0.00000      0.00000     39.00000
    40.00000      0.00000      0.00000     40.00000
    41.00000      0.00000      0.00000     41.00000
    42.00000      0.00000      0.00000     42.00000
    43.00000      0.00000      0.00000     43.00000
    44.00000      0.00000      0.00000     44.00000
    45.00000      0.00000      0.00000     45.00000
    46.00000      0.00000      0.00000     46.00000
    47.00000      0.00000      0.00000     47.00000
    48.00000      0.00000      0.00000     48.00000
    49.00000      0.00000      0.00000     49.00000
    50.00000      0.00000      0.00000     50.00000
    51.00000      0.00000      0.00000     51.00000
    52.00000      0.00000      0.00000     52.00000
    53.00000      0.00000      0.00000     53.00000
    54.00000      0.00000      0.00000     54.00000
    55.00000      0.00000      0.00000     55.00000
    56.00000      0.00000      0.00000     56.00000
    57.00000      0.00000      0.00000     57.00000
    58.00000      0.00000      0.00000     58.00000
    59.00000      0.00000      0.00000     59.00000
    60.00000      0.00000      0.00000     60.00000
    61.00000      0.00000      0.00000     61.00000
    62.00000      0.00000      0.00000     62.00000
    63.00000      0.00000      0.00000     63.00000
    64.00000      0.00000      0.00000     64.00000
    65.00000      0.00000      0.00000     65.00000
    66.00000      0.00000      0.00000     66.00000
    67.00000      0.00000      0.00000     67.00000
    68.00000      0.00000      0.00000     68.00000
    69.00000      0.00000      0.00000     69.00000
    70.00000      0.00000      0.00000     70.00000
    71.00000      0.00000      0.00000     71.00000
    72.00000      0.00000      0.00000     72.00000
    73.00000      0.00000      0.00000     73.00000
    74.00000      0.00000      0.00000     74.00000
    75.00000      0.00000      0.00000     75.00000
    76.00000      0.00000      0.00000     76.00000
    77.00000      0.00000      0.00000     77.00000
    78.00000      0.00000      0.00000     78.00000
    79.00000      0.00000      0.00000     79.00000
    80.00000      0.00000      0.00000     80.00000
    81.00000      0.00000      0.00000     81.00000
    82.00000      0.00000      0.00000     82.00000
    83.00000      0.00000      0.00000     83.00000
    84.00000      0.00000      0.00000     84.00000
    85.00000      0.00000      0.00000     85.00000
    86.00000      0.00000      0.00000     86.00000
    87.00000      0.00000      0.00000     87.00000
    88.00000      0.00000      0.00000     88.00000
    89.00000      0.00000      0.00000     89.00000
    90.00000      0.00000      0.00000     90.00000
    91.00000      0.00000      0.00000     91.00000
    92.00000      0.00000      0.00000     92.00000
    93.00000      0.00000      0.00000     93.00000
    94.00000      0.00000      0.00000     94.00000
    95.00000      0.00000      0.00000     95.00000
    96.00000      0.00000      0.00000     96.00000
    97.00000      0.00000      0.00000     97.00000
    98.00000      0.00000      0.00000     98.00000
    99.00000      0.00000      0.00000     99.00000
   100.00000      0.00000      0.00000    100.00000
   101.00000      0.00000      0.00000    101.00000
   102.00000      0.00000      0.00000    102.00000
   103.00000      0.00000      0.00000    103.00000
   104.00000      0.00000      0.00000    104.00000
   105.00000      0.00000      0.00000    105.00000
   106.00000      0.00000      0.00000    106.00000
   107.00000      0.00000      0.00000    107.00000
   108.00000      0.00000      0.00000    108.00000
   109.00000      0.00000      0.00000    109.00000
   110.00000      0.00000      0.00000    110.00000
   111.00000      0.00000      0.00000    111.00000
   112.00000      0.00000      0.00000    112.00000
   113.00000      0.00000      0.00000    113.00000
   114.00000      0.00000      0.00000    114.00000
   115.00000      0.00000      0.00000    115.00000
   116.00000      0.00000      0.00000    116.00000
   117.00000      0.00000      0.00000    117.00000
   118.00000      0.00000      0.00000    118.00000
   119.00000      0.00000      0.00000    119.00000
   120.00000      0.00000      0.00000    120.00000
   121.00000      0.00000      0.00000    121.00000
   122.00000      0.00000      0.00000    122.00000
   123.00000      0.00000      0.00000    123.00000
   124.00000      0.00000      0.00000    124.00000
   125.00000      0.00000      0.00000    125.00000
   126.00000      0.00000      0.00000    126.00000
   127.00000      0.00000      0.00000    127.00000
   128.00000      0.00000      0.00000    128.00000
   129.00000      0.00000      0.00000    129.00000
   130.00000      0.00000      0.00000    130.00000
   131.00000      0.00000      0.00000    131.00000
   132.00000      0.00000      0.00000    132.00000
   133.00000      0.00000      0.00000    133.00000
   134.00000      0.00000      0.00000    134.00000
   135.00000      0.00000      0.00000    135.00000
   136.00000      0.00000      0.00000    136.00000
   137.00000      0.00000      0.00000    137.00000
   138.00000      0.00000      0.00000    138.00000
   139.00000      0.00000      0.00000    139.00000
   140.00000      0.00000      0.00000    140.00000
   141.00000      0.00000      0.00000    141.00000
   142.00000      0.00000      0.00000    142.00000
   143.00000      0.00000      0.00000    143.00000
   144.00000      0.00000      0.00000    144.00000
   145.00000      0.00000      0.00000    145.00000
   146.00000      0.00000      0.00000    146.00000
   147.00000      0.00000      0.00000    147.00000
   148.00000      0.00000      0.00000    148.00000
   149.00000      0.00000      0.00000    149.00000
   150.00000      0.00000      0.00000    150.00000
   151.00000      0.00000      0.00000    151.00000
   152.00000      0.00000      0.00000    152.00000
