# Tigress ASCII Data File Version 4.1
# Copyright (c) 1993 Simon Petroleum Technology Ltd.
# 
# File created on 15/05/1997
#              at 11:38:29
#              by user cpi
# 
# using TIGRESS Deviation file conversion.
 
# Global Units Information
UNIT_DEPTH= m
UNIT_OFFSET= m
 
# Well Information
WELLNM= 15/9-6
OPERTR= STATOIL
 
# Deviation Data Information
DATTYP= DEVN
 
DESCRP= DEVIATION DATA
LNGTDE=      1.69205556
LATTDE=     58.45375000
REFDIR=      0.00000000
 
#    <Depth><Inclination>    <Azimuth>
   462.00000      0.00000      0.00000
   685.00000      0.30000      7.11000
  1135.00000      0.58000     39.11000
  1239.00000      0.47000     73.11000
  1343.00000      0.17000      5.11000
  1440.00000      0.22000     51.11000
  1548.00000      0.47000     62.11000
  1653.00000      0.37000     52.11000
  1759.00000      0.42000     28.11000
  1865.00000      0.97000     32.11000
  1914.00000      1.48000     78.11000
  2074.00000      2.00000     26.11000
  2180.00000      3.42000     69.11000
  2266.00000      2.18000     75.11000
  2371.00000      0.98000      7.11000
  2477.00000      0.07000     98.11000
  2579.00000      0.25000     35.11000
  2641.00000      0.98000     85.11000
  2720.00000      0.75000      6.11000
  2768.00000      0.62000     36.11000
  2865.00000      0.63000     32.11000
  3072.00000      0.63000     56.11000
  3168.00000      0.25000     92.11000
  3271.00000      0.47000     77.11000
  3333.00000      0.77000     60.11000
  3421.00000      0.85000     85.11000
  3563.00000      0.75000     71.11000
  3691.00000      1.75000     57.11000
  3758.00000      2.63000     62.11000
  3847.00000      2.58000     65.11000
  3941.00000      1.53000     30.11000
 
CDMETH= MCURV
 
#    <Depth>         <DX>         <DY>        <TVD>
   462.00000      0.00000      0.00000    462.00000
   463.00000      0.00032      0.00260    463.00000
   464.00000      0.00065      0.00520    464.00000
   465.00000      0.00097      0.00779    465.00000
   466.00000      0.00130      0.01039    465.99997
   467.00000      0.00162      0.01299    466.99997
   468.00000      0.00194      0.01559    467.99997
   469.00000      0.00227      0.01818    468.99997
   470.00000      0.00259      0.02078    469.99997
   471.00000      0.00292      0.02338    470.99997
   472.00000      0.00324      0.02598    471.99994
   473.00000      0.00356      0.02858    472.99994
   474.00000      0.00389      0.03117    473.99994
   475.00000      0.00421      0.03377    474.99994
   476.00000      0.00454      0.03637    475.99994
   477.00000      0.00486      0.03897    476.99994
   478.00000      0.00518      0.04157    477.99994
   479.00000      0.00551      0.04416    478.99991
   480.00000      0.00583      0.04676    479.99991
   481.00000      0.00616      0.04936    480.99991
   482.00000      0.00648      0.05196    481.99991
   483.00000      0.00680      0.05455    482.99991
   484.00000      0.00713      0.05715    483.99991
   485.00000      0.00745      0.05975    484.99991
   486.00000      0.00778      0.06235    485.99988
   487.00000      0.00810      0.06495    486.99988
   488.00000      0.00843      0.06754    487.99988
   489.00000      0.00875      0.07014    488.99988
   490.00000      0.00907      0.07274    489.99988
   491.00000      0.00940      0.07534    490.99988
   492.00000      0.00972      0.07794    491.99988
   493.00000      0.01005      0.08053    492.99985
   494.00000      0.01037      0.08313    493.99985
   495.00000      0.01069      0.08573    494.99985
   496.00000      0.01102      0.08833    495.99985
   497.00000      0.01134      0.09092    496.99985
   498.00000      0.01167      0.09352    497.99985
   499.00000      0.01199      0.09612    498.99982
   500.00000      0.01231      0.09872    499.99982
   501.00000      0.01264      0.10132    500.99982
   502.00000      0.01296      0.10391    501.99982
   503.00000      0.01329      0.10651    502.99982
   504.00000      0.01361      0.10911    503.99982
   505.00000      0.01393      0.11171    504.99982
   506.00000      0.01426      0.11431    505.99979
   507.00000      0.01458      0.11690    506.99979
   508.00000      0.01491      0.11950    507.99979
   509.00000      0.01523      0.12210    508.99979
   510.00000      0.01555      0.12470    509.99979
   511.00000      0.01588      0.12729    510.99979
   512.00000      0.01620      0.12989    511.99976
   513.00000      0.01653      0.13249    512.99976
   514.00000      0.01685      0.13509    513.99976
   515.00000      0.01717      0.13769    514.99976
   516.00000      0.01750      0.14028    515.99976
   517.00000      0.01782      0.14288    516.99976
   518.00000      0.01815      0.14548    517.99976
   519.00000      0.01847      0.14808    518.99976
   520.00000      0.01879      0.15068    519.99976
   521.00000      0.01912      0.15327    520.99976
   522.00000      0.01944      0.15587    521.99976
   523.00000      0.01977      0.15847    522.99969
   524.00000      0.02009      0.16107    523.99969
   525.00000      0.02041      0.16366    524.99969
   526.00000      0.02074      0.16626    525.99969
   527.00000      0.02106      0.16886    526.99969
   528.00000      0.02139      0.17146    527.99969
   529.00000      0.02171      0.17406    528.99969
   530.00000      0.02203      0.17665    529.99969
   531.00000      0.02236      0.17925    530.99969
   532.00000      0.02268      0.18185    531.99969
   533.00000      0.02301      0.18445    532.99969
   534.00000      0.02333      0.18705    533.99969
   535.00000      0.02365      0.18964    534.99963
   536.00000      0.02398      0.19224    535.99963
   537.00000      0.02430      0.19484    536.99963
   538.00000      0.02463      0.19744    537.99963
   539.00000      0.02495      0.20003    538.99963
   540.00000      0.02528      0.20263    539.99963
   541.00000      0.02560      0.20523    540.99963
   542.00000      0.02592      0.20783    541.99963
   543.00000      0.02625      0.21043    542.99963
   544.00000      0.02657      0.21302    543.99963
   545.00000      0.02690      0.21562    544.99963
   546.00000      0.02722      0.21822    545.99963
   547.00000      0.02754      0.22082    546.99963
   548.00000      0.02787      0.22342    547.99963
   549.00000      0.02819      0.22601    548.99963
   550.00000      0.02852      0.22861    549.99957
   551.00000      0.02884      0.23121    550.99957
   552.00000      0.02916      0.23381    551.99957
   553.00000      0.02949      0.23640    552.99957
   554.00000      0.02981      0.23900    553.99957
   555.00000      0.03014      0.24160    554.99957
   556.00000      0.03046      0.24420    555.99957
   557.00000      0.03078      0.24680    556.99957
   558.00000      0.03111      0.24939    557.99957
   559.00000      0.03143      0.25199    558.99957
   560.00000      0.03176      0.25459    559.99957
   561.00000      0.03208      0.25719    560.99951
   562.00000      0.03240      0.25979    561.99951
   563.00000      0.03273      0.26238    562.99951
   564.00000      0.03305      0.26498    563.99951
   565.00000      0.03338      0.26758    564.99951
   566.00000      0.03370      0.27018    565.99951
   567.00000      0.03402      0.27277    566.99951
   568.00000      0.03435      0.27537    567.99951
   569.00000      0.03467      0.27797    568.99951
   570.00000      0.03500      0.28057    569.99951
   571.00000      0.03532      0.28317    570.99951
   572.00000      0.03564      0.28576    571.99951
   573.00000      0.03597      0.28836    572.99951
   574.00000      0.03629      0.29096    573.99951
   575.00000      0.03662      0.29356    574.99951
   576.00000      0.03694      0.29616    575.99945
   577.00000      0.03726      0.29875    576.99945
   578.00000      0.03759      0.30135    577.99945
   579.00000      0.03791      0.30395    578.99945
   580.00000      0.03824      0.30655    579.99945
   581.00000      0.03856      0.30914    580.99945
   582.00000      0.03888      0.31174    581.99945
   583.00000      0.03921      0.31434    582.99945
   584.00000      0.03953      0.31694    583.99945
   585.00000      0.03986      0.31954    584.99945
   586.00000      0.04018      0.32213    585.99945
   587.00000      0.04051      0.32473    586.99945
   588.00000      0.04083      0.32733    587.99939
   589.00000      0.04115      0.32993    588.99939
   590.00000      0.04148      0.33253    589.99939
   591.00000      0.04180      0.33512    590.99939
   592.00000      0.04213      0.33772    591.99939
   593.00000      0.04245      0.34032    592.99939
   594.00000      0.04277      0.34292    593.99939
   595.00000      0.04310      0.34551    594.99939
   596.00000      0.04342      0.34811    595.99939
   597.00000      0.04375      0.35071    596.99939
   598.00000      0.04407      0.35331    597.99939
   599.00000      0.04439      0.35591    598.99939
   600.00000      0.04472      0.35850    599.99939
   601.00000      0.04504      0.36110    600.99939
   602.00000      0.04537      0.36370    601.99939
   603.00000      0.04569      0.36630    602.99939
   604.00000      0.04601      0.36890    603.99933
   605.00000      0.04634      0.37149    604.99933
   606.00000      0.04666      0.37409    605.99933
   607.00000      0.04699      0.37669    606.99933
   608.00000      0.04731      0.37929    607.99933
   609.00000      0.04763      0.38188    608.99933
   610.00000      0.04796      0.38448    609.99933
   611.00000      0.04828      0.38708    610.99933
   612.00000      0.04861      0.38968    611.99933
   613.00000      0.04893      0.39228    612.99933
   614.00000      0.04925      0.39487    613.99927
   615.00000      0.04958      0.39747    614.99927
   616.00000      0.04990      0.40007    615.99927
   617.00000      0.05023      0.40267    616.99927
   618.00000      0.05055      0.40527    617.99927
   619.00000      0.05087      0.40786    618.99927
   620.00000      0.05120      0.41046    619.99927
   621.00000      0.05152      0.41306    620.99927
   622.00000      0.05185      0.41566    621.99927
   623.00000      0.05217      0.41825    622.99927
   624.00000      0.05249      0.42085    623.99927
   625.00000      0.05282      0.42345    624.99927
   626.00000      0.05314      0.42605    625.99927
   627.00000      0.05347      0.42865    626.99927
   628.00000      0.05379      0.43124    627.99927
   629.00000      0.05411      0.43384    628.99927
   630.00000      0.05444      0.43644    629.99921
   631.00000      0.05476      0.43904    630.99921
   632.00000      0.05509      0.44164    631.99921
   633.00000      0.05541      0.44423    632.99921
   634.00000      0.05573      0.44683    633.99921
   635.00000      0.05606      0.44943    634.99921
   636.00000      0.05638      0.45203    635.99921
   637.00000      0.05671      0.45462    636.99921
   638.00000      0.05703      0.45722    637.99921
   639.00000      0.05736      0.45982    638.99921
   640.00000      0.05768      0.46242    639.99915
   641.00000      0.05800      0.46502    640.99915
   642.00000      0.05833      0.46761    641.99915
   643.00000      0.05865      0.47021    642.99915
   644.00000      0.05898      0.47281    643.99915
   645.00000      0.05930      0.47541    644.99915
   646.00000      0.05962      0.47801    645.99915
   647.00000      0.05995      0.48060    646.99915
   648.00000      0.06027      0.48320    647.99915
   649.00000      0.06060      0.48580    648.99915
   650.00000      0.06092      0.48840    649.99915
   651.00000      0.06124      0.49099    650.99915
   652.00000      0.06157      0.49359    651.99915
   653.00000      0.06189      0.49619    652.99915
   654.00000      0.06222      0.49879    653.99915
   655.00000      0.06254      0.50139    654.99915
   656.00000      0.06286      0.50398    655.99915
   657.00000      0.06319      0.50658    656.99908
   658.00000      0.06351      0.50918    657.99908
   659.00000      0.06384      0.51178    658.99908
   660.00000      0.06416      0.51438    659.99908
   661.00000      0.06448      0.51697    660.99908
   662.00000      0.06481      0.51957    661.99908
   663.00000      0.06513      0.52217    662.99908
   664.00000      0.06546      0.52477    663.99908
   665.00000      0.06578      0.52736    664.99908
   666.00000      0.06610      0.52996    665.99908
   667.00000      0.06643      0.53256    666.99902
   668.00000      0.06675      0.53516    667.99902
   669.00000      0.06708      0.53776    668.99902
   670.00000      0.06740      0.54035    669.99902
   671.00000      0.06772      0.54295    670.99902
   672.00000      0.06805      0.54555    671.99902
   673.00000      0.06837      0.54815    672.99902
   674.00000      0.06870      0.55075    673.99902
   675.00000      0.06902      0.55334    674.99902
   676.00000      0.06934      0.55594    675.99902
   677.00000      0.06967      0.55854    676.99902
   678.00000      0.06999      0.56114    677.99902
   679.00000      0.07032      0.56373    678.99902
   680.00000      0.07064      0.56633    679.99902
   681.00000      0.07096      0.56893    680.99902
   682.00000      0.07129      0.57153    681.99902
   683.00000      0.07161      0.57413    682.99902
   684.00000      0.07194      0.57672    683.99896
   685.00000      0.07226      0.57932    684.99896
   686.00000      0.07578      0.58585    685.99896
   687.00000      0.07929      0.59237    686.99890
   688.00000      0.08281      0.59890    687.99890
   689.00000      0.08633      0.60542    688.99884
   690.00000      0.08985      0.61195    689.99884
   691.00000      0.09336      0.61847    690.99878
   692.00000      0.09688      0.62500    691.99878
   693.00000      0.10040      0.63152    692.99872
