# Tigress ASCII Data File Version 4.1
# Copyright (c) 1993 Simon Petroleum Technology Ltd.
# 
# File created on 11/09/1997
#              at 16:19:03
#              by user cpi
# 
# using TIGRESS Deviation file conversion.
 
# Global Units Information
UNIT_DEPTH= m
UNIT_OFFSET= m
 
# Well Information
WELLNM= 15/9-7
OPERTR= STATOIL
 
# Deviation Data Information
DATTYP= DEVN
 
DESCRP= DEV SURVEY
LNGTDE=      1.71277500
LATTDE=     58.38224167
REFDIR=      0.00000000
 
#    <Depth><Inclination>    <Azimuth>
     0.00000      0.00000      0.00000
   180.00000      0.00000      0.00000
   270.00000      0.50000      4.00000
   364.00000      0.25000      0.00000
   463.00000      0.50000     33.00000
   550.00000      0.25000     17.00000
   645.00000      0.25000    256.00000
   740.00000      0.25000     15.00000
   834.99994      0.25000     75.00000
   928.00000      0.50000    252.00000
  1022.00000      0.25000    318.00000
  1180.00000      0.50000    266.00000
  1273.00000      0.25000    218.00000
  1369.00000      1.00000    292.00000
  1462.00000      0.25000     56.00000
  1560.00000      1.50000     54.00000
  1663.99988      0.75000     39.00000
  1750.00000      1.00000     48.00000
  1843.00000      1.00000      4.00000
  1937.00000      0.25000    314.00000
  2022.00000      0.50000      6.00000
  2115.00000      1.50000     14.00000
  2210.00000      1.00000    345.00000
  2303.00000      0.75000    294.00000
  2399.00000      0.25000    324.00000
  2484.00000      0.75000    286.00000
  2581.00000      0.75000     82.00000
  2675.00000      1.00000     74.00000
  2731.00000      0.50000    136.00000
  2792.00024      0.25000    254.00000
  2833.00000      0.75000    114.00000
  2927.99976      0.25000    107.00000
  3036.00000      0.50000    177.00000
  3116.00024      0.75000    172.00000
  3210.00000      0.75000    176.00000
  3270.00000      0.75000    204.00000
  3384.00000      0.75000    196.00000
  3457.00000      0.75000    114.00000
  3512.00000      1.25000    129.00000
  3611.00000      1.00000    158.00000
  3720.00000      0.75000    178.00000
  3769.00000      1.75000    222.00000
 
CDMETH= MCURV
 
#    <Depth>         <DX>         <DY>        <TVD>
     0.00000      0.00000      0.00000      0.00000
     1.00000      0.00000      0.00000      1.00000
     2.00000      0.00000      0.00000      2.00000
     3.00000      0.00000      0.00000      3.00000
     4.00000      0.00000      0.00000      4.00000
     5.00000      0.00000      0.00000      5.00000
     6.00000      0.00000      0.00000      6.00000
     7.00000      0.00000      0.00000      7.00000
     8.00000      0.00000      0.00000      8.00000
     9.00000      0.00000      0.00000      9.00000
    10.00000      0.00000      0.00000     10.00000
    11.00000      0.00000      0.00000     11.00000
    12.00000      0.00000      0.00000     12.00000
    13.00000      0.00000      0.00000     13.00000
    14.00000      0.00000      0.00000     14.00000
    15.00000      0.00000      0.00000     15.00000
    16.00000      0.00000      0.00000     16.00000
    17.00000      0.00000      0.00000     17.00000
    18.00000      0.00000      0.00000     18.00000
    19.00000      0.00000      0.00000     19.00000
    20.00000      0.00000      0.00000     20.00000
    21.00000      0.00000      0.00000     21.00000
    22.00000      0.00000      0.00000     22.00000
    23.00000      0.00000      0.00000     23.00000
    24.00000      0.00000      0.00000     24.00000
    25.00000      0.00000      0.00000     25.00000
    26.00000      0.00000      0.00000     26.00000
    27.00000      0.00000      0.00000     27.00000
    28.00000      0.00000      0.00000     28.00000
    29.00000      0.00000      0.00000     29.00000
    30.00000      0.00000      0.00000     30.00000
    31.00000      0.00000      0.00000     31.00000
    32.00000      0.00000      0.00000     32.00000
    33.00000      0.00000      0.00000     33.00000
    34.00000      0.00000      0.00000     34.00000
    35.00000      0.00000      0.00000     35.00000
    36.00000      0.00000      0.00000     36.00000
    37.00000      0.00000      0.00000     37.00000
    38.00000      0.00000      0.00000     38.00000
    39.00000      0.00000      0.00000     39.00000
    40.00000      0.00000      0.00000     40.00000
    41.00000      0.00000      0.00000     41.00000
    42.00000      0.00000      0.00000     42.00000
    43.00000      0.00000      0.00000     43.00000
    44.00000      0.00000      0.00000     44.00000
    45.00000      0.00000      0.00000     45.00000
    46.00000      0.00000      0.00000     46.00000
    47.00000      0.00000      0.00000     47.00000
    48.00000      0.00000      0.00000     48.00000
    49.00000      0.00000      0.00000     49.00000
    50.00000      0.00000      0.00000     50.00000
    51.00000      0.00000      0.00000     51.00000
    52.00000      0.00000      0.00000     52.00000
    53.00000      0.00000      0.00000     53.00000
    54.00000      0.00000      0.00000     54.00000
    55.00000      0.00000      0.00000     55.00000
    56.00000      0.00000      0.00000     56.00000
    57.00000      0.00000      0.00000     57.00000
    58.00000      0.00000      0.00000     58.00000
    59.00000      0.00000      0.00000     59.00000
    60.00000      0.00000      0.00000     60.00000
    61.00000      0.00000      0.00000     61.00000
    62.00000      0.00000      0.00000     62.00000
    63.00000      0.00000      0.00000     63.00000
    64.00000      0.00000      0.00000     64.00000
    65.00000      0.00000      0.00000     65.00000
    66.00000      0.00000      0.00000     66.00000
    67.00000      0.00000      0.00000     67.00000
    68.00000      0.00000      0.00000     68.00000
    69.00000      0.00000      0.00000     69.00000
    70.00000      0.00000      0.00000     70.00000
    71.00000      0.00000      0.00000     71.00000
    72.00000      0.00000      0.00000     72.00000
    73.00000      0.00000      0.00000     73.00000
    74.00000      0.00000      0.00000     74.00000
    75.00000      0.00000      0.00000     75.00000
    76.00000      0.00000      0.00000     76.00000
    77.00000      0.00000      0.00000     77.00000
    78.00000      0.00000      0.00000     78.00000
    79.00000      0.00000      0.00000     79.00000
    80.00000      0.00000      0.00000     80.00000
    81.00000      0.00000      0.00000     81.00000
    82.00000      0.00000      0.00000     82.00000
    83.00000      0.00000      0.00000     83.00000
    84.00000      0.00000      0.00000     84.00000
    85.00000      0.00000      0.00000     85.00000
    86.00000      0.00000      0.00000     86.00000
    87.00000      0.00000      0.00000     87.00000
    88.00000      0.00000      0.00000     88.00000
    89.00000      0.00000      0.00000     89.00000
    90.00000      0.00000      0.00000     90.00000
    91.00000      0.00000      0.00000     91.00000
    92.00000      0.00000      0.00000     92.00000
    93.00000      0.00000      0.00000     93.00000
    94.00000      0.00000      0.00000     94.00000
    95.00000      0.00000      0.00000     95.00000
    96.00000      0.00000      0.00000     96.00000
    97.00000      0.00000      0.00000     97.00000
    98.00000      0.00000      0.00000     98.00000
    99.00000      0.00000      0.00000     99.00000
   100.00000      0.00000      0.00000    100.00000
   101.00000      0.00000      0.00000    101.00000
   102.00000      0.00000      0.00000    102.00000
   103.00000      0.00000      0.00000    103.00000
   104.00000      0.00000      0.00000    104.00000
   105.00000      0.00000      0.00000    105.00000
   106.00000      0.00000      0.00000    106.00000
   107.00000      0.00000      0.00000    107.00000
   108.00000      0.00000      0.00000    108.00000
   109.00000      0.00000      0.00000    109.00000
   110.00000      0.00000      0.00000    110.00000
   111.00000      0.00000      0.00000    111.00000
   112.00000      0.00000      0.00000    112.00000
   113.00000      0.00000      0.00000    113.00000
   114.00000      0.00000      0.00000    114.00000
   115.00000      0.00000      0.00000    115.00000
   116.00000      0.00000      0.00000    116.00000
   117.00000      0.00000      0.00000    117.00000
   118.00000      0.00000      0.00000    118.00000
   119.00000      0.00000      0.00000    119.00000
   120.00000      0.00000      0.00000    120.00000
   121.00000      0.00000      0.00000    121.00000
   122.00000      0.00000      0.00000    122.00000
   123.00000      0.00000      0.00000    123.00000
   124.00000      0.00000      0.00000    124.00000
   125.00000      0.00000      0.00000    125.00000
   126.00000      0.00000      0.00000    126.00000
   127.00000      0.00000      0.00000    127.00000
   128.00000      0.00000      0.00000    128.00000
   129.00000      0.00000      0.00000    129.00000
   130.00000      0.00000      0.00000    130.00000
   131.00000      0.00000      0.00000    131.00000
   132.00000      0.00000      0.00000    132.00000
   133.00000      0.00000      0.00000    133.00000
   134.00000      0.00000      0.00000    134.00000
   135.00000      0.00000      0.00000    135.00000
   136.00000      0.00000      0.00000    136.00000
   137.00000      0.00000      0.00000    137.00000
   138.00000      0.00000      0.00000    138.00000
   139.00000      0.00000      0.00000    139.00000
   140.00000      0.00000      0.00000    140.00000
   141.00000      0.00000      0.00000    141.00000
   142.00000      0.00000      0.00000    142.00000
