WELLNAME    UWN     UTM NORTH   UTM EAST     MD       TVD      DEVIATION    AZIMUTH    NORTH            EAST         DOGLEG
15/9-7     2621    6472135.59   424724.77   132       132         0           0      6472135.59       424724.77        0
15/9-7     2621    6472135.59   424724.77   270       270       0.4        5.09      6472136.07       424724.81        0.09
15/9-7     2621    6472135.59   424724.77   463       462.99    0.5       34.09      6472137.44       424725.34        0.04
15/9-7     2621    6472135.59   424724.77   550       549.99    0.25      18.09      6472137.94       424725.62        0.09
15/9-7     2621    6472135.59   424724.77   645       644.99    0.25      57.09      6472138.09       424725.48        0.14
15/9-7     2621    6472135.59   424724.77   740       739.99    0.25      16.09      6472138.24       424725.33        0.14
15/9-7     2621    6472135.59   424724.77   835       834.99    0.25      76.09      6472138.49       424725.59        0.08
15/9-7     2621    6472135.59   424724.77   928       927.99    0.5       53.09      6472138.42       424725.4         0.24
15/9-7     2621    6472135.59   424724.77  1022      1021.99    0.5       19.09      6472138.45       424724.87        0.15
15/9-7     2621    6472135.59   424724.77  1080      1079.99    0.5       67.09      6472138.54       424724.54        0.21
15/9-7     2621    6472135.59   424724.77  1273      1272.98    0.25      19.09      6472138.17       424723.43        0.06
15/9-7     2621    6472135.59   424724.77  1369      1368.98      1       93.09      6472138.33       424722.53        0.3
15/9-7     2621    6472135.59   424724.77  1462      1461.97    0.25      57.09      6472138.76       424721.95        0.37
15/9-7     2621    6472135.59   424724.77  1560      1559.96    1.5       55.09      6472139.61       424723.18        0.38
15/9-7     2621    6472135.59   424724.77  1664      1663.94    0.75      40.09      6472140.91       424724.74        0.23
15/9-7     2621    6472135.59   424724.77  1750      1749.93      1       49.09      6472141.83       424725.67        0.1
15/9-7     2621    6472135.59   424724.77  1843      1842.92      1        5.09      6472143.17       424726.35        0.24
15/9-7     2621    6472135.59   424724.77  1937      1936.91    0.25      15.09      6472144.13       424726.28        0.27
15/9-7     2621    6472135.59   424724.77  2022      2021.91    0.5        7.09      6472144.63       424726.2         0.14
15/9-7     2621    6472135.59   424724.77  2115      2114.89    1.5       15.09      6472146.21       424726.56        0.32
15/9-7     2621    6472135.59   424724.77  2210      2209.87      1       46.09      6472148.22       424726.69        0.25
15/9-7     2621    6472135.59   424724.77  2303      2302.86    0.75      95.09      6472149.26       424725.94        0.25
15/9-7     2621    6472135.59   424724.77  2399      2398.86    0.25      25.09      6472149.7        424725.25        0.17
15/9-7     2621    6472135.59   424724.77  2484      2483.85    0.75      87.09      6472150.01       424724.62        0.2
15/9-7     2621    6472135.59   424724.77  2581      2580.85    0.75      83.09      6472150.28       424724.64        0.45
15/9-7     2621    6472135.59   424724.77  2675      2674.84      1       75.09      6472150.56       424726.04        0.09
15/9-7     2621    6472135.59   424724.77  2731      2730.84    0.5       37.09      6472150.51       424726.68        0.47
15/9-7     2621    6472135.59   424724.77  2792      2791.83    0.25      55.09      6472150.28       424726.73        0.32
15/9-7     2621    6472135.59   424724.77  2833      2832.83    0.75      15.09      6472150.14       424726.89        0.7
15/9-7     2621    6472135.59   424724.77  2928      2927.83    0.25       8.09      6472149.81       424727.65        0.16
15/9-7     2621    6472135.59   424724.77  3036      3035.83    0.5       78.09      6472149.27       424727.89        0.13
15/9-7     2621    6472135.59   424724.77  3116      3115.82    0.75      73.09      6472148.4        424727.96        0.1
15/9-7     2621    6472135.59   424724.77  3210      3209.81    0.75      77.09      6472147.18       424728.07        0.02
15/9-7     2621    6472135.59   424724.77  3270      3269.81    0.75       5.09      6472146.43       424727.92        0.1
15/9-7     2621    6472135.59   424724.77  3384      3383.8     0.75      97.09      6472145.04       424727.39        0.03
15/9-7     2621    6472135.59   424724.77  3457      3456.8     0.75      15.09      6472144.38       424727.68        0.4
15/9-7     2621    6472135.59   424724.77  3512      3511.79    1.25      30.09      6472143.84       424728.46        0.31
15/9-7     2621    6472135.59   424724.77  3611      3610.77      1       59.09      6472142.34       424729.6         0.19
15/9-7     2621    6472135.59   424724.77  3720      3719.76    0.75      79.09      6472140.74       424729.95        0.11
15/9-7     2621    6472135.59   424724.77  3769      3768.74    1.75      23.09      6472139.87       424729.44        0.81
15/9-7     2621    6472135.59   424724.77  3776      3775.74    1.75      23.09      6472139.72       424729.3         0
