# Tigress ASCII Data File Version 4.1
# Copyright (c) 1993 Simon Petroleum Technology Ltd.
# 
# File created on 29/05/1997
#              at 09:09:39
#              by user cpi
# 
# using TIGRESS Deviation file conversion.
 
# Global Units Information
UNIT_DEPTH= m
UNIT_OFFSET= m
 
# Well Information
WELLNM= 15/9-8
OPERTR= STATOIL
 
# Deviation Data Information
DATTYP= DEVN
 
DESCRP= DEVIATION DATA
LNGTDE=      1.77453333
LATTDE=     58.38216944
REFDIR=      0.00000000
 
#    <Depth><Inclination>    <Azimuth>
   131.00000      0.00000      1.04000
   179.00000      1.25000      9.04000
   277.00000      0.75000      1.04000
   520.00000      1.00000    310.04001
   549.00000      1.00000    315.04001
   577.00000      0.92000    320.04001
   605.00000      0.92000    324.04001
   634.00000      0.92000    327.04001
   662.00000      0.92000    331.04001
   691.00000      0.75000    330.04001
   719.00000      0.75000    328.04001
   747.00000      0.75000    329.04001
   776.00000      0.75000    328.04001
   804.00000      0.67000    319.04001
   833.00000      0.75000    322.04001
   861.00000      0.75000    318.04001
   889.00000      0.75000    320.04001
   918.00000      1.00000    324.04001
   946.00000      1.00000    319.04001
   974.00000      1.00000    319.04001
  1003.00000      1.00000    330.04001
  1031.00000      1.00000    341.04001
  1060.00000      0.83000    345.04001
  1088.00000      0.75000    330.04001
  1116.00000      0.75000    328.04001
  1145.00000      0.75000    344.04001
  1173.00000      0.75000    345.04001
  1181.00000      0.75000    346.04001
  1221.00000      1.00000     40.04000
  1321.00000      1.00000     41.04000
  1416.00000      0.75000    346.04001
  1501.00000      0.50000     31.04000
  1605.00000      0.50000    341.04001
  1706.00000      1.00000     16.04000
  1792.00000      2.00000     21.04000
  1897.00000      2.75000     32.04000
  2001.00000      1.50000      1.04000
  2086.00000      0.75000     46.04000
  2181.00000      1.00000    306.04001
  2300.00000      1.15000    296.04001
  2399.00000      0.75000    317.04001
  2493.00000      0.50000    329.04001
  2598.00000      1.00000    310.04001
  2676.00000      0.75000    291.04001
  2922.00000      0.75000    338.04001
  3000.00000      1.00000    298.04001
  3116.00000      0.25000    344.04001
  3236.00000      0.75000    259.04001
  3297.00000      0.50000    191.03999
  3447.00000      0.75000    181.03999
  3730.00000      1.50000    256.04001
 
CDMETH= AVANG
 
#    <Depth>         <DX>         <DY>        <TVD>
   131.00000      0.00000      0.00000    131.00000
   132.00000      0.00096      0.01087    131.99994
   133.00000      0.00192      0.02173    132.99988
   134.00000      0.00287      0.03260    133.99982
   135.00000      0.00383      0.04346    134.99976
   136.00000      0.00479      0.05433    135.99969
   137.00000      0.00575      0.06520    136.99965
   138.00000      0.00671      0.07606    137.99959
   139.00000      0.00767      0.08693    138.99953
   140.00000      0.00862      0.09779    139.99947
   141.00000      0.00958      0.10866    140.99940
   142.00000      0.01054      0.11953    141.99934
   143.00000      0.01150      0.13039    142.99928
   144.00000      0.01246      0.14126    143.99922
   145.00000      0.01342      0.15212    144.99916
   146.00000      0.01437      0.16299    145.99911
   147.00000      0.01533      0.17385    146.99905
   148.00000      0.01629      0.18472    147.99899
   149.00000      0.01725      0.19559    148.99893
   150.00000      0.01821      0.20645    149.99887
   151.00000      0.01917      0.21732    150.99881
   152.00000      0.02012      0.22818    151.99875
   153.00000      0.02108      0.23905    152.99869
   154.00000      0.02204      0.24992    153.99863
   155.00000      0.02300      0.26078    154.99857
   156.00000      0.02396      0.27165    155.99850
   157.00000      0.02492      0.28251    156.99846
   158.00000      0.02587      0.29338    157.99840
   159.00000      0.02683      0.30425    158.99834
   160.00000      0.02779      0.31511    159.99828
   161.00000      0.02875      0.32598    160.99821
   162.00000      0.02971      0.33684    161.99815
   163.00000      0.03067      0.34771    162.99809
   164.00000      0.03162      0.35858    163.99803
   165.00000      0.03258      0.36944    164.99799
   166.00000      0.03354      0.38031    165.99792
   167.00000      0.03450      0.39117    166.99786
   168.00000      0.03546      0.40204    167.99780
   169.00000      0.03641      0.41290    168.99774
   170.00000      0.03737      0.42377    169.99768
   171.00000      0.03833      0.43464    170.99762
   172.00000      0.03929      0.44550    171.99756
   173.00000      0.04025      0.45637    172.99750
   174.00000      0.04121      0.46723    173.99744
   175.00000      0.04216      0.47810    174.99738
   176.00000      0.04312      0.48897    175.99731
   177.00000      0.04408      0.49983    176.99727
   178.00000      0.04504      0.51070    177.99721
   179.00000      0.04600      0.52156    178.99715
   180.00000      0.04753      0.53895    179.99699
   181.00000      0.04906      0.55633    180.99684
   182.00000      0.05060      0.57372    181.99669
   183.00000      0.05213      0.59110    182.99654
   184.00000      0.05366      0.60849    183.99638
   185.00000      0.05520      0.62587    184.99623
   186.00000      0.05673      0.64326    185.99608
   187.00000      0.05826      0.66064    186.99593
   188.00000      0.05980      0.67803    187.99577
   189.00000      0.06133      0.69541    188.99562
   190.00000      0.06286      0.71280    189.99547
   191.00000      0.06440      0.73018    190.99532
   192.00000      0.06593      0.74757    191.99516
   193.00000      0.06746      0.76495    192.99501
   194.00000      0.06900      0.78234    193.99486
   195.00000      0.07053      0.79972    194.99471
   196.00000      0.07206      0.81711    195.99455
   197.00000      0.07360      0.83449    196.99440
   198.00000      0.07513      0.85188    197.99425
   199.00000      0.07666      0.86926    198.99409
   200.00000      0.07820      0.88665    199.99394
   201.00000      0.07973      0.90403    200.99379
   202.00000      0.08126      0.92142    201.99365
   203.00000      0.08280      0.93880    202.99350
   204.00000      0.08433      0.95619    203.99335
   205.00000      0.08586      0.97357    204.99319
   206.00000      0.08739      0.99096    205.99304
   207.00000      0.08893      1.00834    206.99289
   208.00000      0.09046      1.02573    207.99274
   209.00000      0.09199      1.04311    208.99258
   210.00000      0.09353      1.06050    209.99243
   211.00000      0.09506      1.07788    210.99228
   212.00000      0.09659      1.09527    211.99213
   213.00000      0.09813      1.11265    212.99197
   214.00000      0.09966      1.13004    213.99182
   215.00000      0.10119      1.14742    214.99167
   216.00000      0.10273      1.16481    215.99152
   217.00000      0.10426      1.18219    216.99136
   218.00000      0.10579      1.19958    217.99121
   219.00000      0.10733      1.21696    218.99106
   220.00000      0.10886      1.23435    219.99091
   221.00000      0.11039      1.25173    220.99075
   222.00000      0.11193      1.26912    221.99060
   223.00000      0.11346      1.28650    222.99045
   224.00000      0.11499      1.30389    223.99030
   225.00000      0.11653      1.32127    224.99014
   226.00000      0.11806      1.33866    225.98999
   227.00000      0.11959      1.35604    226.98984
   228.00000      0.12113      1.37343    227.98969
   229.00000      0.12266      1.39081    228.98953
   230.00000      0.12419      1.40820    229.98938
   231.00000      0.12573      1.42558    230.98923
   232.00000      0.12726      1.44297    231.98907
   233.00000      0.12879      1.46035    232.98892
   234.00000      0.13032      1.47774    233.98877
   235.00000      0.13186      1.49512    234.98862
   236.00000      0.13339      1.51250    235.98846
   237.00000      0.13492      1.52989    236.98831
   238.00000      0.13646      1.54727    237.98816
   239.00000      0.13799      1.56466    238.98801
   240.00000      0.13952      1.58204    239.98785
   241.00000      0.14106      1.59943    240.98770
   242.00000      0.14259      1.61681    241.98755
   243.00000      0.14412      1.63420    242.98740
   244.00000      0.14566      1.65158    243.98724
   245.00000      0.14719      1.66897    244.98709
   246.00000      0.14872      1.68635    245.98694
   247.00000      0.15026      1.70374    246.98679
   248.00000      0.15179      1.72112    247.98663
   249.00000      0.15332      1.73851    248.98648
   250.00000      0.15486      1.75589    249.98633
   251.00000      0.15639      1.77328    250.98618
   252.00000      0.15792      1.79066    251.98602
   253.00000      0.15946      1.80805    252.98587
   254.00000      0.16099      1.82543    253.98572
   255.00000      0.16252      1.84282    254.98557
   256.00000      0.16406      1.86020    255.98541
   257.00000      0.16559      1.87759    256.98526
   258.00000      0.16712      1.89497    257.98511
   259.00000      0.16866      1.91236    258.98495
   260.00000      0.17019      1.92974    259.98480
   261.00000      0.17172      1.94713    260.98465
   262.00000      0.17325      1.96451    261.98450
   263.00000      0.17479      1.98190    262.98434
   264.00000      0.17632      1.99928    263.98419
   265.00000      0.17785      2.01667    264.98404
   266.00000      0.17939      2.03405    265.98389
   267.00000      0.18092      2.05144    266.98373
   268.00000      0.18245      2.06882    267.98358
   269.00000      0.18399      2.08621    268.98346
   270.00000      0.18552      2.10359    269.98328
   271.00000      0.18705      2.12098    270.98315
   272.00000      0.18859      2.13836    271.98297
   273.00000      0.19012      2.15575    272.98285
   274.00000      0.19165      2.17313    273.98267
   275.00000      0.19319      2.19052    274.98254
   276.00000      0.19472      2.20790    275.98236
   277.00000      0.19625      2.22529    276.98224
   278.00000      0.20258      2.21139    277.98212
   279.00000      0.20890      2.19749    278.98199
   280.00000      0.21522      2.18359    279.98190
   281.00000      0.22155      2.16969    280.98178
   282.00000      0.22787      2.15578    281.98166
   283.00000      0.23419      2.14188    282.98154
   284.00000      0.24051      2.12798    283.98141
   285.00000      0.24684      2.11408    284.98129
   286.00000      0.25316      2.10018    285.98120
   287.00000      0.25948      2.08628    286.98108
   288.00000      0.26581      2.07238    287.98096
   289.00000      0.27213      2.05848    288.98083
   290.00000      0.27845      2.04458    289.98071
   291.00000      0.28478      2.03068    290.98059
   292.00000      0.29110      2.01678    291.98050
   293.00000      0.29742      2.00288    292.98038
   294.00000      0.30375      1.98898    293.98026
   295.00000      0.31007      1.97508    294.98013
   296.00000      0.31639      1.96118    295.98001
   297.00000      0.32271      1.94728    296.97992
   298.00000      0.32904      1.93338    297.97980
   299.00000      0.33536      1.91948    298.97968
   300.00000      0.34168      1.90558    299.97955
   301.00000      0.34801      1.89168    300.97943
   302.00000      0.35433      1.87778    301.97931
   303.00000      0.36065      1.86387    302.97922
   304.00000      0.36698      1.84997    303.97910
   305.00000      0.37330      1.83607    304.97897
   306.00000      0.37962      1.82217    305.97885
   307.00000      0.38595      1.80827    306.97873
   308.00000      0.39227      1.79437    307.97864
   309.00000      0.39859      1.78047    308.97852
   310.00000      0.40491      1.76657    309.97839
   311.00000      0.41124      1.75267    310.97827
   312.00000      0.41756      1.73877    311.97815
   313.00000      0.42388      1.72487    312.97803
   314.00000      0.43021      1.71097    313.97794
   315.00000      0.43653      1.69707    314.97781
   316.00000      0.44285      1.68317    315.97769
   317.00000      0.44918      1.66927    316.97757
   318.00000      0.45550      1.65537    317.97745
   319.00000      0.46182      1.64147    318.97736
   320.00000      0.46815      1.62757    319.97723
   321.00000      0.47447      1.61367    320.97711
   322.00000      0.48079      1.59977    321.97699
   323.00000      0.48712      1.58587    322.97687
   324.00000      0.49344      1.57196    323.97675
   325.00000      0.49976      1.55806    324.97665
   326.00000      0.50608      1.54416    325.97653
   327.00000      0.51241      1.53026    326.97641
   328.00000      0.51873      1.51636    327.97629
   329.00000      0.52505      1.50246    328.97617
   330.00000      0.53138      1.48856    329.97607
   331.00000      0.53770      1.47466    330.97595
   332.00000      0.54402      1.46076    331.97583
   333.00000      0.55035      1.44686    332.97571
   334.00000      0.55667      1.43296    333.97559
   335.00000      0.56299      1.41906    334.97546
   336.00000      0.56932      1.40516    335.97537
   337.00000      0.57564      1.39126    336.97525
   338.00000      0.58196      1.37736    337.97513
   339.00000      0.58828      1.36346    338.97501
   340.00000      0.59461      1.34956    339.97488
   341.00000      0.60093      1.33566    340.97479
   342.00000      0.60725      1.32176    341.97467
   343.00000      0.61358      1.30786    342.97455
   344.00000      0.61990      1.29396    343.97443
   345.00000      0.62622      1.28006    344.97430
   346.00000      0.63255      1.26615    345.97418
   347.00000      0.63887      1.25225    346.97406
   348.00000      0.64519      1.23835    347.97397
   349.00000      0.65152      1.22445    348.97385
   350.00000      0.65784      1.21055    349.97372
   351.00000      0.66416      1.19665    350.97360
   352.00000      0.67048      1.18275    351.97351
   353.00000      0.67681      1.16885    352.97339
   354.00000      0.68313      1.15495    353.97327
   355.00000      0.68945      1.14105    354.97314
   356.00000      0.69578      1.12715    355.97302
   357.00000      0.70210      1.11325    356.97290
   358.00000      0.70842      1.09935    357.97278
   359.00000      0.71475      1.08545    358.97269
   360.00000      0.72107      1.07155    359.97256
   361.00000      0.72739      1.05765    360.97244
   362.00000      0.73372      1.04375    361.97232
   363.00000      0.74004      1.02985    362.97223
   364.00000      0.74636      1.01595    363.97211
   365.00000      0.75268      1.00205    364.97198
   366.00000      0.75901      0.98815    365.97186
   367.00000      0.76533      0.97424    366.97174
   368.00000      0.77165      0.96034    367.97162
   369.00000      0.77798      0.94644    368.97150
   370.00000      0.78430      0.93254    369.97141
   371.00000      0.79062      0.91864    370.97128
   372.00000      0.79695      0.90474    371.97116
   373.00000      0.80327      0.89084    372.97104
   374.00000      0.80959      0.87694    373.97095
   375.00000      0.81592      0.86304    374.97083
   376.00000      0.82224      0.84914    375.97070
   377.00000      0.82856      0.83524    376.97058
   378.00000      0.83489      0.82134    377.97046
   379.00000      0.84121      0.80744    378.97034
   380.00000      0.84753      0.79354    379.97021
   381.00000      0.85385      0.77964    380.97012
   382.00000      0.86018      0.76574    381.97000
   383.00000      0.86650      0.75184    382.96988
   384.00000      0.87282      0.73794    383.96976
   385.00000      0.87915      0.72404    384.96967
   386.00000      0.88547      0.71014    385.96954
   387.00000      0.89179      0.69624    386.96942
   388.00000      0.89812      0.68233    387.96930
   389.00000      0.90444      0.66843    388.96918
   390.00000      0.91076      0.65453    389.96906
   391.00000      0.91709      0.64063    390.96893
   392.00000      0.92341      0.62673    391.96884
   393.00000      0.92973      0.61283    392.96872
   394.00000      0.93605      0.59893    393.96860
   395.00000      0.94238      0.58503    394.96848
   396.00000      0.94870      0.57113    395.96838
   397.00000      0.95502      0.55723    396.96826
   398.00000      0.96135      0.54333    397.96814
   399.00000      0.96767      0.52943    398.96802
   400.00000      0.97399      0.51553    399.96790
   401.00000      0.98032      0.50163    400.96777
   402.00000      0.98664      0.48773    401.96765
   403.00000      0.99296      0.47383    402.96756
   404.00000      0.99929      0.45993    403.96744
   405.00000      1.00561      0.44603    404.96732
   406.00000      1.01193      0.43213    405.96719
   407.00000      1.01825      0.41823    406.96710
   408.00000      1.02458      0.40433    407.96698
   409.00000      1.03090      0.39042    408.96686
   410.00000      1.03722      0.37652    409.96674
   411.00000      1.04355      0.36262    410.96661
   412.00000      1.04987      0.34872    411.96649
   413.00000      1.05619      0.33482    412.96637
   414.00000      1.06252      0.32092    413.96625
   415.00000      1.06884      0.30702    414.96616
   416.00000      1.07516      0.29312    415.96603
   417.00000      1.08149      0.27922    416.96591
   418.00000      1.08781      0.26532    417.96582
   419.00000      1.09413      0.25142    418.96570
   420.00000      1.10045      0.23752    419.96558
   421.00000      1.10678      0.22362    420.96545
   422.00000      1.11310      0.20972    421.96533
   423.00000      1.11942      0.19582    422.96521
   424.00000      1.12575      0.18192    423.96509
   425.00000      1.13207      0.16802    424.96497
   426.00000      1.13839      0.15412    425.96487
   427.00000      1.14472      0.14022    426.96475
   428.00000      1.15104      0.12632    427.96463
   429.00000      1.15736      0.11242    428.96454
   430.00000      1.16369      0.09852    429.96442
   431.00000      1.17001      0.08461    430.96429
   432.00000      1.17633      0.07071    431.96417
   433.00000      1.18266      0.05681    432.96405
   434.00000      1.18898      0.04291    433.96393
   435.00000      1.19530      0.02901    434.96381
   436.00000      1.20162      0.01511    435.96368
   437.00000      1.20795      0.00121    436.96359
   438.00000      1.21427     -0.01269    437.96347
   439.00000      1.22059     -0.02659    438.96335
   440.00000      1.22692     -0.04049    439.96326
   441.00000      1.23324     -0.05439    440.96313
   442.00000      1.23956     -0.06829    441.96301
   443.00000      1.24589     -0.08219    442.96289
   444.00000      1.25221     -0.09609    443.96277
   445.00000      1.25853     -0.10999    444.96265
   446.00000      1.26486     -0.12389    445.96252
   447.00000      1.27118     -0.13779    446.96240
   448.00000      1.27750     -0.15169    447.96228
   449.00000      1.28382     -0.16559    448.96219
   450.00000      1.29015     -0.17949    449.96207
   451.00000      1.29647     -0.19339    450.96198
   452.00000      1.30279     -0.20730    451.96185
   453.00000      1.30912     -0.22120    452.96173
   454.00000      1.31544     -0.23510    453.96161
   455.00000      1.32176     -0.24900    454.96149
   456.00000      1.32809     -0.26290    455.96136
   457.00000      1.33441     -0.27680    456.96124
   458.00000      1.34073     -0.29070    457.96112
   459.00000      1.34706     -0.30460    458.96100
   460.00000      1.35338     -0.31850    459.96091
   461.00000      1.35970     -0.33240    460.96078
   462.00000      1.36602     -0.34630    461.96066
   463.00000      1.37235     -0.36020    462.96057
   464.00000      1.37867     -0.37410    463.96045
   465.00000      1.38499     -0.38800    464.96033
   466.00000      1.39132     -0.40190    465.96021
   467.00000      1.39764     -0.41580    466.96008
   468.00000      1.40396     -0.42970    467.95996
   469.00000      1.41029     -0.44360    468.95984
   470.00000      1.41661     -0.45750    469.95972
   471.00000      1.42293     -0.47140    470.95963
   472.00000      1.42926     -0.48530    471.95950
   473.00000      1.43558     -0.49921    472.95938
   474.00000      1.44190     -0.51311    473.95929
   475.00000      1.44822     -0.52701    474.95917
   476.00000      1.45455     -0.54091    475.95905
   477.00000      1.46087     -0.55481    476.95892
   478.00000      1.46719     -0.56871    477.95880
   479.00000      1.47352     -0.58261    478.95868
   480.00000      1.47984     -0.59651    479.95856
   481.00000      1.48616     -0.61041    480.95844
   482.00000      1.49249     -0.62431    481.95834
   483.00000      1.49881     -0.63821    482.95822
   484.00000      1.50513     -0.65211    483.95810
   485.00000      1.51146     -0.66601    484.95801
   486.00000      1.51778     -0.67991    485.95789
   487.00000      1.52410     -0.69381    486.95776
   488.00000      1.53043     -0.70771    487.95764
   489.00000      1.53675     -0.72161    488.95752
   490.00000      1.54307     -0.73551    489.95740
   491.00000      1.54939     -0.74941    490.95728
   492.00000      1.55572     -0.76331    491.95715
   493.00000      1.56204     -0.77721    492.95706
   494.00000      1.56836     -0.79112    493.95694
   495.00000      1.57469     -0.80502    494.95682
   496.00000      1.58101     -0.81892    495.95673
   497.00000      1.58733     -0.83282    496.95660
   498.00000      1.59366     -0.84672    497.95648
   499.00000      1.59998     -0.86062    498.95636
   500.00000      1.60630     -0.87452    499.95624
   501.00000      1.61263     -0.88842    500.95612
   502.00000      1.61895     -0.90232    501.95599
   503.00000      1.62527     -0.91622    502.95587
   504.00000      1.63159     -0.93012    503.95578
   505.00000      1.63792     -0.94402    504.95566
   506.00000      1.64424     -0.95792    505.95554
   507.00000      1.65056     -0.97182    506.95544
   508.00000      1.65689     -0.98572    507.95532
   509.00000      1.66321     -0.99962    508.95520
   510.00000      1.66953     -1.01352    509.95508
   511.00000      1.67586     -1.02742    510.95496
   512.00000      1.68218     -1.04132    511.95483
   513.00000      1.68850     -1.05522    512.95471
   514.00000      1.69483     -1.06912    513.95459
   515.00000      1.70115     -1.08302    514.95447
   516.00000      1.70747     -1.09693    515.95435
   517.00000      1.71379     -1.11083    516.95422
   518.00000      1.72012     -1.12473    517.95416
   519.00000      1.72644     -1.13863    518.95404
   520.00000      1.73276     -1.15253    519.95392
   521.00000      1.71991     -1.14073    520.95380
   522.00000      1.70705     -1.12893    521.95361
   523.00000      1.69419     -1.11713    522.95349
   524.00000      1.68133     -1.10533    523.95331
   525.00000      1.66847     -1.09353    524.95319
   526.00000      1.65561     -1.08173    525.95300
   527.00000      1.64275     -1.06993    526.95288
   528.00000      1.62989     -1.05813    527.95270
   529.00000      1.61703     -1.04633    528.95258
   530.00000      1.60417     -1.03453    529.95239
   531.00000      1.59131     -1.02273    530.95227
   532.00000      1.57846     -1.01093    531.95209
   533.00000      1.56560     -0.99913    532.95197
   534.00000      1.55274     -0.98733    533.95178
   535.00000      1.53988     -0.97553    534.95166
   536.00000      1.52702     -0.96373    535.95148
   537.00000      1.51416     -0.95193    536.95135
   538.00000      1.50130     -0.94013    537.95117
   539.00000      1.48844     -0.92833    538.95105
   540.00000      1.47558     -0.91653    539.95087
   541.00000      1.46272     -0.90473    540.95074
   542.00000      1.44987     -0.89293    541.95056
   543.00000      1.43701     -0.88114    542.95044
   544.00000      1.42415     -0.86934    543.95026
   545.00000      1.41129     -0.85754    544.95013
   546.00000      1.39843     -0.84574    545.94995
   547.00000      1.38557     -0.83394    546.94983
   548.00000      1.37271     -0.82214    547.94965
   549.00000      1.35985     -0.81034    548.94952
   550.00000      1.34854     -0.79798    549.94940
   551.00000      1.33723     -0.78562    550.94922
   552.00000      1.32592     -0.77326    551.94910
   553.00000      1.31461     -0.76090    552.94897
   554.00000      1.30330     -0.74853    553.94885
   555.00000      1.29199     -0.73617    554.94867
   556.00000      1.28068     -0.72381    555.94855
   557.00000      1.26937     -0.71145    556.94843
   558.00000      1.25806     -0.69909    557.94824
   559.00000      1.24675     -0.68673    558.94812
   560.00000      1.23544     -0.67437    559.94800
   561.00000      1.22413     -0.66201    560.94781
   562.00000      1.21282     -0.64965    561.94769
   563.00000      1.20151     -0.63729    562.94757
   564.00000      1.19020     -0.62493    563.94739
   565.00000      1.17888     -0.61257    564.94727
   566.00000      1.16757     -0.60021    565.94714
   567.00000      1.15626     -0.58785    566.94702
   568.00000      1.14495     -0.57549    567.94684
   569.00000      1.13364     -0.56313    568.94672
   570.00000      1.12233     -0.55077    569.94659
   571.00000      1.11102     -0.53841    570.94641
   572.00000      1.09971     -0.52605    571.94629
   573.00000      1.08840     -0.51368    572.94617
   574.00000      1.07709     -0.50132    573.94604
   575.00000      1.06578     -0.48896    574.94586
   576.00000      1.05447     -0.47660    575.94574
   577.00000      1.04316     -0.46424    576.94562
   578.00000      1.03328     -0.45158    577.94550
   579.00000      1.02341     -0.43892    578.94537
   580.00000      1.01353     -0.42626    579.94525
   581.00000      1.00365     -0.41360    580.94513
   582.00000      0.99378     -0.40095    581.94495
   583.00000      0.98390     -0.38829    582.94482
   584.00000      0.97402     -0.37563    583.94470
   585.00000      0.96415     -0.36297    584.94458
   586.00000      0.95427     -0.35031    585.94446
   587.00000      0.94439     -0.33765    586.94434
   588.00000      0.93452     -0.32499    587.94421
   589.00000      0.92464     -0.31233    588.94409
   590.00000      0.91477     -0.29967    589.94397
   591.00000      0.90489     -0.28701    590.94379
   592.00000      0.89501     -0.27435    591.94366
   593.00000      0.88514     -0.26169    592.94354
   594.00000      0.87526     -0.24903    593.94342
   595.00000      0.86538     -0.23637    594.94330
   596.00000      0.85551     -0.22371    595.94318
   597.00000      0.84563     -0.21105    596.94305
   598.00000      0.83575     -0.19839    597.94293
   599.00000      0.82588     -0.18573    598.94281
   600.00000      0.81600     -0.17307    599.94263
   601.00000      0.80612     -0.16042    600.94250
   602.00000      0.79625     -0.14776    601.94238
   603.00000      0.78637     -0.13510    602.94226
   604.00000      0.77650     -0.12244    603.94214
   605.00000      0.76662     -0.10978    604.94202
   606.00000      0.75753     -0.09654    605.94189
   607.00000      0.74845     -0.08330    606.94177
   608.00000      0.73936     -0.07006    607.94165
   609.00000      0.73028     -0.05682    608.94153
   610.00000      0.72119     -0.04358    609.94135
   611.00000      0.71211     -0.03034    610.94122
   612.00000      0.70302     -0.01711    611.94110
   613.00000      0.69394     -0.00387    612.94098
   614.00000      0.68485      0.00937    613.94086
   615.00000      0.67577      0.02261    614.94073
   616.00000      0.66668      0.03585    615.94061
   617.00000      0.65760      0.04909    616.94049
   618.00000      0.64851      0.06233    617.94037
   619.00000      0.63943      0.07557    618.94019
   620.00000      0.63034      0.08880    619.94006
   621.00000      0.62126      0.10204    620.93994
   622.00000      0.61217      0.11528    621.93982
   623.00000      0.60309      0.12852    622.93970
   624.00000      0.59400      0.14176    623.93958
   625.00000      0.58492      0.15500    624.93945
   626.00000      0.57583      0.16824    625.93933
   627.00000      0.56675      0.18148    626.93921
   628.00000      0.55766      0.19471    627.93903
   629.00000      0.54857      0.20795    628.93890
   630.00000      0.53949      0.22119    629.93878
   631.00000      0.53040      0.23443    630.93866
   632.00000      0.52132      0.24767    631.93854
   633.00000      0.51223      0.26091    632.93842
   634.00000      0.50315      0.27415    633.93829
   635.00000      0.49489      0.28792    634.93817
