Wellname	UWN	UTM NORTH	UTM EAST	MD	TVD	DEVIATION	AZIMUTH	NORTH	EAST	DOGLEG
15/9-8	2622	6472060.11	428335.92	131	131	0	1.04	6472060.11	428335.91	0
15/9-8	2622	6472060.11	428335.92	179	179	1.25	9.04	6472060.63	428336	0.78
15/9-8	2622	6472060.11	428335.92	277	276.98	0.75	1.04	6472062.32	428336.18	0.16
15/9-8	2622	6472060.11	428335.92	520	519.96	1	310.04	6472065.28	428334.58	0.1
15/9-8	2622	6472060.11	428335.92	549	548.95	1	315.04	6472065.62	428334.21	0.09
15/9-8	2622	6472060.11	428335.92	577	576.95	0.92	320.04	6472065.96	428333.89	0.12
15/9-8	2622	6472060.11	428335.92	605	604.94	0.92	324.04	6472066.32	428333.62	0.07
15/9-8	2622	6472060.11	428335.92	634	633.94	0.92	327.04	6472066.7	428333.35	0.05
15/9-8	2622	6472060.11	428335.92	662	661.94	0.92	331.04	6472067.09	428333.12	0.07
15/9-8	2622	6472060.11	428335.92	691	690.93	0.75	330.04	6472067.45	428332.92	0.18
15/9-8	2622	6472060.11	428335.92	719	718.93	0.75	328.04	6472067.77	428332.73	0.03
15/9-8	2622	6472060.11	428335.92	747	746.93	0.75	329.04	6472068.08	428332.54	0.01
15/9-8	2622	6472060.11	428335.92	776	775.93	0.75	328.04	6472068.4	428332.34	0.01
15/9-8	2622	6472060.11	428335.92	804	803.92	0.67	319.04	6472068.68	428332.13	0.15
15/9-8	2622	6472060.11	428335.92	833	832.92	0.75	322.04	6472068.96	428331.91	0.09
15/9-8	2622	6472060.11	428335.92	861	860.92	0.75	318.04	6472069.24	428331.67	0.06
15/9-8	2622	6472060.11	428335.92	889	888.92	0.75	320.04	6472069.52	428331.43	0.03
15/9-8	2622	6472060.11	428335.92	918	917.91	1	324.04	6472069.87	428331.16	0.27
15/9-8	2622	6472060.11	428335.92	946	945.91	1	319.04	6472070.25	428330.86	0.09
15/9-8	2622	6472060.11	428335.92	974	973.91	1	319.04	6472070.62	428330.54	0
15/9-8	2622	6472060.11	428335.92	1003	1002.9	1	330.04	6472071.03	428330.24	0.2
15/9-8	2622	6472060.11	428335.92	1031	1030.9	1	341.04	6472071.47	428330.04	0.21
15/9-8	2622	6472060.11	428335.92	1060	1059.89	0.83	345.04	6472071.91	428329.91	0.19
15/9-8	2622	6472060.11	428335.92	1088	1087.89	0.75	330.04	6472072.27	428329.76	0.24
15/9-8	2622	6472060.11	428335.92	1116	1115.89	0.75	328.04	6472072.58	428329.57	0.03
15/9-8	2622	6472060.11	428335.92	1145	1144.89	0.75	344.04	6472072.93	428329.42	0.22
15/9-8	2622	6472060.11	428335.92	1173	1172.88	0.75	345.04	6472073.28	428329.32	0.01
15/9-8	2622	6472060.11	428335.92	1181	1180.88	0.75	346.04	6472073.38	428329.3	0.05
15/9-8	2622	6472060.11	428335.92	1221	1220.88	1	40.04	6472073.9	428329.46	0.62
15/9-8	2622	6472060.11	428335.92	1321	1320.86	1	41.04	6472075.23	428330.59	0.01
15/9-8	2622	6472060.11	428335.92	1416	1415.85	0.75	346.04	6472076.46	428330.99	0.26
15/9-8	2622	6472060.11	428335.92	1501	1500.85	0.5	31.04	6472077.31	428331.04	0.19
15/9-8	2622	6472060.11	428335.92	1605	1604.85	0.5	341.04	6472078.13	428331.13	0.12
15/9-8	2622	6472060.11	428335.92	1706	1705.84	1	16.04	6472079.39	428331.23	0.19
15/9-8	2622	6472060.11	428335.92	1792	1791.81	2	21.04	6472081.52	428331.98	0.35
15/9-8	2622	6472060.11	428335.92	1897	1896.72	2.75	32.04	6472085.36	428333.97	0.25
15/9-8	2622	6472060.11	428335.92	2001	2000.65	1.5	1.04	6472088.83	428335.32	0.48
15/9-8	2622	6472060.11	428335.92	2086	2085.63	0.75	46.04	6472090.33	428335.74	0.39
15/9-8	2622	6472060.11	428335.92	2181	2180.62	1	306.04	6472091.25	428335.52	0.43
15/9-8	2622	6472060.11	428335.92	2300	2299.6	1.15	296.04	6472092.39	428333.6	0.06
15/9-8	2622	6472060.11	428335.92	2399	2398.59	0.75	317.04	6472093.3	428332.27	0.16
15/9-8	2622	6472060.11	428335.92	2493	2492.58	0.5	329.04	6472094.1	428331.64	0.09
15/9-8	2622	6472060.11	428335.92	2598	2597.57	1	310.04	6472095.08	428330.7	0.16
15/9-8	2622	6472060.11	428335.92	2676	2675.56	0.75	291.04	6472095.7	428329.71	0.15
15/9-8	2622	6472060.11	428335.92	2922	2921.55	0.75	338.04	6472097.77	428327.6	0.07
15/9-8	2622	6472060.11	428335.92	3000	2999.54	1	298.04	6472098.56	428326.81	0.25
15/9-8	2622	6472060.11	428335.92	3116	3115.53	0.25	344.04	6472099.28	428325.85	0.22
15/9-8	2622	6472060.11	428335.92	3236	3235.53	0.75	259.04	6472099.39	428325.01	0.19
15/9-8	2622	6472060.11	428335.92	3297	3296.52	0.5	191.04	6472099.05	428324.56	0.36
15/9-8	2622	6472060.11	428335.92	3447	3446.51	0.75	181.04	6472097.43	428324.42	0.05
15/9-8	2622	6472060.11	428335.92	3730	3729.47	1.5	256.04	6472094.68	428320.79	0.16
