WELLNAME    UWN         UTM NORTH   UTM EAST    MD          TVD         DEVIATION   AZIMUTH     NORTH       EAST        DOGLEG
15/9-9      2623        6467984.08  435038.52   108         108         0           0           6467984.08  435038.53   0
15/9-9      2623        6467984.08  435038.52   120.7       120.7       0.25        350.95      6467984.1   435038.52   0.59
15/9-9      2623        6467984.08  435038.52   130.76      130.76      0.27        350.19      6467984.15  435038.51   0.06
15/9-9      2623        6467984.08  435038.52   140.82      140.82      0.29        349.44      6467984.2   435038.5    0.06
15/9-9      2623        6467984.08  435038.52   150.88      150.88      0.31        348.68      6467984.25  435038.49   0.06
15/9-9      2623        6467984.08  435038.52   160.93      160.93      0.33        347.93      6467984.3   435038.48   0.06
15/9-9      2623        6467984.08  435038.52   170.99      170.99      0.36        347.18      6467984.36  435038.47   0.09
15/9-9      2623        6467984.08  435038.52   181.05      181.05      0.38        346.42      6467984.43  435038.46   0.06
15/9-9      2623        6467984.08  435038.52   191.11      191.11      0.4         345.67      6467984.49  435038.44   0.06
15/9-9      2623        6467984.08  435038.52   201.17      201.17      0.42        344.91      6467984.56  435038.42   0.06
15/9-9      2623        6467984.08  435038.52   211.23      211.23      0.44        344.16      6467984.64  435038.4    0.06
15/9-9      2623        6467984.08  435038.52   221.28      221.28      0.46        343.4       6467984.71  435038.38   0.06
15/9-9      2623        6467984.08  435038.52   231.34      231.34      0.48        342.65      6467984.79  435038.35   0.06
15/9-9      2623        6467984.08  435038.52   241.4       241.4       0.5         341.82      6467984.87  435038.33   0.06
15/9-9      2623        6467984.08  435038.52   251.46      251.46      0.47        340.55      6467984.95  435038.3    0.1
15/9-9      2623        6467984.08  435038.52   261.52      261.52      0.44        339.28      6467985.03  435038.27   0.09
15/9-9      2623        6467984.08  435038.52   271.58      271.58      0.42        338.01      6467985.1   435038.25   0.07
15/9-9      2623        6467984.08  435038.52   281.64      281.64      0.39        336.74      6467985.16  435038.22   0.09
15/9-9      2623        6467984.08  435038.52   291.69      291.69      0.36        335.47      6467985.22  435038.19   0.09
15/9-9      2623        6467984.08  435038.52   301.75      301.75      0.34        334.2       6467985.28  435038.17   0.06
15/9-9      2623        6467984.08  435038.52   311.81      311.81      0.31        332.93      6467985.33  435038.14   0.09
15/9-9      2623        6467984.08  435038.52   321.87      321.87      0.28        331.66      6467985.38  435038.12   0.09
15/9-9      2623        6467984.08  435038.52   331.93      331.93      0.26        330.39      6467985.42  435038.09   0.06
15/9-9      2623        6467984.08  435038.52   341.99      341.99      0.25        331.39      6467985.46  435038.07   0.03
15/9-9      2623        6467984.08  435038.52   352.04      352.04      0.25        333.37      6467985.5   435038.05   0.03
15/9-9      2623        6467984.08  435038.52   362.1       362.09      0.25        335.36      6467985.53  435038.03   0.03
15/9-9      2623        6467984.08  435038.52   372.16      372.15      0.25        337.35      6467985.58  435038.01   0.03
15/9-9      2623        6467984.08  435038.52   382.22      382.21      0.25        339.33      6467985.62  435038      0.03
15/9-9      2623        6467984.08  435038.52   392.28      392.27      0.25        341.32      6467985.66  435037.98   0.03
15/9-9      2623        6467984.08  435038.52   402.34      402.33      0.25        343.3       6467985.7   435037.97   0.03
15/9-9      2623        6467984.08  435038.52   412.39      412.38      0.25        345.29      6467985.74  435037.96   0.03
15/9-9      2623        6467984.08  435038.52   422.45      422.44      0.25        347.28      6467985.78  435037.95   0.03
15/9-9      2623        6467984.08  435038.52   432.51      432.5       0.25        349.26      6467985.83  435037.94   0.03
15/9-9      2623        6467984.08  435038.52   442.57      442.56      0.25        351.25      6467985.87  435037.93   0.03
15/9-9      2623        6467984.08  435038.52   452.63      452.62      0.25        353.24      6467985.91  435037.93   0.03
15/9-9      2623        6467984.08  435038.52   462.69      462.68      0.25        355.22      6467985.96  435037.92   0.03
15/9-9      2623        6467984.08  435038.52   472.74      472.73      0.25        357.21      6467986     435037.92   0.03
15/9-9      2623        6467984.08  435038.52   482.8       482.79      0.25        359.2       6467986.04  435037.92   0.03
15/9-9      2623        6467984.08  435038.52   492.86      492.85      0.25        1.18        6467986.09  435037.92   0.03
15/9-9      2623        6467984.08  435038.52   502.92      502.91      0.27        1.74        6467986.13  435037.92   0.06
15/9-9      2623        6467984.08  435038.52   512.98      512.97      0.29        1.3         6467986.18  435037.92   0.06
15/9-9      2623        6467984.08  435038.52   523.04      523.03      0.32        0.86        6467986.24  435037.92   0.09
15/9-9      2623        6467984.08  435038.52   533.09      533.08      0.35        0.43        6467986.3   435037.92   0.09
15/9-9      2623        6467984.08  435038.52   543.15      543.14      0.37        359.99      6467986.36  435037.92   0.06
15/9-9      2623        6467984.08  435038.52   553.21      553.2       0.4         359.55      6467986.43  435037.92   0.09
15/9-9      2623        6467984.08  435038.52   563.27      563.26      0.43        359.12      6467986.5   435037.92   0.09
15/9-9      2623        6467984.08  435038.52   573.33      573.32      0.46        358.68      6467986.58  435037.92   0.09
15/9-9      2623        6467984.08  435038.52   583.39      583.38      0.49        358.24      6467986.66  435037.92   0.09
15/9-9      2623        6467984.08  435038.52   593.45      593.44      0.49        356.08      6467986.75  435037.91   0.06
15/9-9      2623        6467984.08  435038.52   603.5       603.49      0.46        351.72      6467986.83  435037.9    0.14
15/9-9      2623        6467984.08  435038.52   613.56      613.55      0.44        347.36      6467986.91  435037.89   0.12
15/9-9      2623        6467984.08  435038.52   623.62      623.61      0.41        342.99      6467986.98  435037.87   0.13
15/9-9      2623        6467984.08  435038.52   633.68      633.67      0.39        338.63      6467987.05  435037.85   0.11
15/9-9      2623        6467984.08  435038.52   643.74      643.73      0.36        334.27      6467987.11  435037.82   0.12
15/9-9      2623        6467984.08  435038.52   653.8       653.79      0.33        329.91      6467987.16  435037.79   0.12
15/9-9      2623        6467984.08  435038.52   663.85      663.84      0.31        325.54      6467987.21  435037.76   0.09
15/9-9      2623        6467984.08  435038.52   673.91      673.9       0.28        321.18      6467987.25  435037.73   0.11
15/9-9      2623        6467984.08  435038.52   683.97      683.96      0.26        316.82      6467987.28  435037.7    0.09
15/9-9      2623        6467984.08  435038.52   694.03      694.02      0.23        312.46      6467987.31  435037.67   0.11
15/9-9      2623        6467984.08  435038.52   704.09      704.08      0.21        308.09      6467987.34  435037.64   0.08
15/9-9      2623        6467984.08  435038.52   714.15      714.14      0.18        303.73      6467987.36  435037.61   0.1
15/9-9      2623        6467984.08  435038.52   724.2       724.19      0.15        299.37      6467987.37  435037.59   0.1
15/9-9      2623        6467984.08  435038.52   734.26      734.25      0.13        295.01      6467987.39  435037.57   0.07
15/9-9      2623        6467984.08  435038.52   744.32      744.31      0.1         290.64      6467987.39  435037.55   0.09
15/9-9      2623        6467984.08  435038.52   754.38      754.37      0.08        286.28      6467987.4   435037.53   0.06
15/9-9      2623        6467984.08  435038.52   764.44      764.43      0.05        281.92      6467987.4   435037.52   0.09
15/9-9      2623        6467984.08  435038.52   774.5       774.49      0.03        277.56      6467987.4   435037.52   0.06
15/9-9      2623        6467984.08  435038.52   784.55      784.54      0           273.19      6467987.4   435037.51   0.09
15/9-9      2623        6467984.08  435038.52   794.61      794.6       0.04        281.71      6467987.4   435037.51   0.12
15/9-9      2623        6467984.08  435038.52   804.67      804.66      0.09        290.84      6467987.41  435037.5    0.15
15/9-9      2623        6467984.08  435038.52   814.73      814.72      0.14        299.97      6467987.42  435037.48   0.16
15/9-9      2623        6467984.08  435038.52   824.79      824.78      0.18        309.09      6467987.43  435037.46   0.14
15/9-9      2623        6467984.08  435038.52   834.85      834.84      0.23        318.22      6467987.46  435037.43   0.18
15/9-9      2623        6467984.08  435038.52   844.91      844.9       0.28        327.35      6467987.49  435037.41   0.19
15/9-9      2623        6467984.08  435038.52   854.96      854.95      0.32        336.48      6467987.54  435037.38   0.19
15/9-9      2623        6467984.08  435038.52   865.02      865.01      0.37        345.61      6467987.6   435037.36   0.22
15/9-9      2623        6467984.08  435038.52   875.08      875.07      0.42        354.74      6467987.67  435037.35   0.24
15/9-9      2623        6467984.08  435038.52   885.14      885.13      0.46        3.87        6467987.74  435037.35   0.24
15/9-9      2623        6467984.08  435038.52   895.2       895.19      0.5         13.56       6467987.82  435037.36   0.27
15/9-9      2623        6467984.08  435038.52   905.26      905.25      0.5         25.37       6467987.91  435037.39   0.31
15/9-9      2623        6467984.08  435038.52   915.31      915.3       0.5         37.18       6467987.98  435037.44   0.31
15/9-9      2623        6467984.08  435038.52   925.37      925.36      0.5         48.99       6467988.05  435037.5    0.31
15/9-9      2623        6467984.08  435038.52   935.43      935.42      0.5         60.8        6467988.1   435037.57   0.31
15/9-9      2623        6467984.08  435038.52   945.49      945.48      0.5         72.61       6467988.13  435037.65   0.31
15/9-9      2623        6467984.08  435038.52   955.55      955.54      0.5         84.42       6467988.15  435037.73   0.31
15/9-9      2623        6467984.08  435038.52   965.61      965.6       0.5         96.23       6467988.15  435037.82   0.31
15/9-9      2623        6467984.08  435038.52   975.66      975.64      0.5         108.04      6467988.13  435037.91   0.31
15/9-9      2623        6467984.08  435038.52   985.72      985.7       0.5         119.38      6467988.09  435037.99   0.29
15/9-9      2623        6467984.08  435038.52   995.78      995.76      0.47        125.06      6467988.05  435038.06   0.17
15/9-9      2623        6467984.08  435038.52   1005.84     1005.82     0.44        130.73      6467988     435038.12   0.16
15/9-9      2623        6467984.08  435038.52   1015.9      1015.88     0.42        136.41      6467987.95  435038.18   0.14
15/9-9      2623        6467984.08  435038.52   1025.96     1025.94     0.39        142.08      6467987.89  435038.22   0.15
15/9-9      2623        6467984.08  435038.52   1036.01     1035.99     0.36        147.75      6467987.84  435038.26   0.14
15/9-9      2623        6467984.08  435038.52   1046.07     1046.05     0.34        153.43      6467987.79  435038.29   0.12
15/9-9      2623        6467984.08  435038.52   1056.13     1056.11     0.31        159.1       6467987.73  435038.31   0.13
15/9-9      2623        6467984.08  435038.52   1066.19     1066.17     0.28        164.77      6467987.69  435038.33   0.12
15/9-9      2623        6467984.08  435038.52   1076.25     1076.23     0.26        170.45      6467987.64  435038.34   0.1
15/9-9      2623        6467984.08  435038.52   1086.31     1086.29     0.28        153.4       6467987.6   435038.35   0.25
15/9-9      2623        6467984.08  435038.52   1096.37     1096.35     0.31        127.82      6467987.56  435038.39   0.4
15/9-9      2623        6467984.08  435038.52   1106.42     1106.4      0.35        102.25      6467987.53  435038.44   0.45
15/9-9      2623        6467984.08  435038.52   1116.48     1116.46     0.38        76.68       6467987.53  435038.5    0.49
15/9-9      2623        6467984.08  435038.52   1126.54     1126.52     0.42        51.1        6467987.57  435038.56   0.54
15/9-9      2623        6467984.08  435038.52   1136.6      1136.58     0.46        25.53       6467987.62  435038.61   0.59
15/9-9      2623        6467984.08  435038.52   1146.66     1146.64     0.49        359.96      6467987.7   435038.63   0.63
15/9-9      2623        6467984.08  435038.52   1156.72     1156.7      0.5         355.52      6467987.79  435038.62   0.12
15/9-9      2623        6467984.08  435038.52   1166.77     1166.75     0.5         357.29      6467987.88  435038.62   0.05
15/9-9      2623        6467984.08  435038.52   1176.83     1176.81     0.5         359.07      6467987.97  435038.61   0.05
15/9-9      2623        6467984.08  435038.52   1186.89     1186.87     0.5         0.85        6467988.05  435038.61   0.05
15/9-9      2623        6467984.08  435038.52   1196.95     1196.93     0.5         2.63        6467988.14  435038.62   0.05
15/9-9      2623        6467984.08  435038.52   1207.01     1206.99     0.5         4.4         6467988.23  435038.62   0.05
15/9-9      2623        6467984.08  435038.52   1217.07     1217.05     0.5         6.18        6467988.32  435038.63   0.05
15/9-9      2623        6467984.08  435038.52   1227.12     1227.1      0.5         7.96        6467988.4   435038.64   0.05
15/9-9      2623        6467984.08  435038.52   1237.18     1237.16     0.5         9.74        6467988.49  435038.65   0.05
15/9-9      2623        6467984.08  435038.52   1247.24     1247.22     0.5         11.51       6467988.58  435038.67   0.05
15/9-9      2623        6467984.08  435038.52   1257.3      1257.28     0.52        11.06       6467988.66  435038.69   0.06
15/9-9      2623        6467984.08  435038.52   1267.36     1267.34     0.55        9.78        6467988.76  435038.71   0.1
15/9-9      2623        6467984.08  435038.52   1277.42     1277.4      0.57        8.5         6467988.85  435038.72   0.07
15/9-9      2623        6467984.08  435038.52   1287.47     1287.45     0.6         7.21        6467988.96  435038.73   0.1
15/9-9      2623        6467984.08  435038.52   1297.53     1297.5      0.63        5.93        6467989.06  435038.75   0.1
15/9-9      2623        6467984.08  435038.52   1307.59     1307.56     0.65        4.65        6467989.17  435038.76   0.07
15/9-9      2623        6467984.08  435038.52   1317.65     1317.62     0.68        3.36        6467989.29  435038.77   0.1
15/9-9      2623        6467984.08  435038.52   1327.71     1327.68     0.71        2.08        6467989.41  435038.77   0.1
15/9-9      2623        6467984.08  435038.52   1337.77     1337.74     0.73        0.8         6467989.54  435038.77   0.08
15/9-9      2623        6467984.08  435038.52   1347.83     1347.8      0.75        2.77        6467989.67  435038.78   0.1
15/9-9      2623        6467984.08  435038.52   1357.88     1357.85     0.75        10.07       6467989.8   435038.79   0.29
15/9-9      2623        6467984.08  435038.52   1367.94     1367.91     0.75        17.38       6467989.93  435038.82   0.29
15/9-9      2623        6467984.08  435038.52   1378        1377.97     0.75        24.69       6467990.05  435038.87   0.29
15/9-9      2623        6467984.08  435038.52   1388.06     1388.03     0.75        31.99       6467990.17  435038.93   0.28
15/9-9      2623        6467984.08  435038.52   1398.12     1398.09     0.75        39.3        6467990.27  435039.01   0.29
15/9-9      2623        6467984.08  435038.52   1408.18     1408.15     0.75        46.61       6467990.37  435039.1    0.29
15/9-9      2623        6467984.08  435038.52   1418.23     1418.19     0.75        53.91       6467990.45  435039.2    0.29
15/9-9      2623        6467984.08  435038.52   1428.29     1428.25     0.75        61.22       6467990.52  435039.31   0.29
15/9-9      2623        6467984.08  435038.52   1438.35     1438.31     0.75        68.53       6467990.58  435039.43   0.29
15/9-9      2623        6467984.08  435038.52   1448.41     1448.37     0.73        68.87       6467990.63  435039.55   0.06
15/9-9      2623        6467984.08  435038.52   1458.47     1458.43     0.7         68.77       6467990.67  435039.67   0.09
15/9-9      2623        6467984.08  435038.52   1468.53     1468.49     0.67        68.67       6467990.71  435039.78   0.09
15/9-9      2623        6467984.08  435038.52   1478.58     1478.54     0.65        68.57       6467990.76  435039.89   0.06
15/9-9      2623        6467984.08  435038.52   1488.64     1488.6      0.62        68.46       6467990.8   435039.99   0.09
15/9-9      2623        6467984.08  435038.52   1498.7      1498.66     0.59        68.36       6467990.84  435040.09   0.09
15/9-9      2623        6467984.08  435038.52   1508.76     1508.72     0.57        68.26       6467990.87  435040.19   0.06
15/9-9      2623        6467984.08  435038.52   1518.82     1518.78     0.54        68.15       6467990.91  435040.28   0.09
15/9-9      2623        6467984.08  435038.52   1528.88     1528.84     0.51        68.05       6467990.94  435040.36   0.09
15/9-9      2623        6467984.08  435038.52   1538.93     1538.89     0.51        65.72       6467990.98  435040.44   0.06
15/9-9      2623        6467984.08  435038.52   1548.99     1548.95     0.54        61          6467991.02  435040.53   0.16
15/9-9      2623        6467984.08  435038.52   1559.05     1559.01     0.57        56.29       6467991.07  435040.61   0.16
15/9-9      2623        6467984.08  435038.52   1569.11     1569.07     0.59        51.58       6467991.13  435040.69   0.15
15/9-9      2623        6467984.08  435038.52   1579.17     1579.13     0.62        46.87       6467991.2   435040.77   0.17
15/9-9      2623        6467984.08  435038.52   1589.23     1589.18     0.65        42.16       6467991.28  435040.85   0.18
15/9-9      2623        6467984.08  435038.52   1599.28     1599.23     0.67        37.45       6467991.37  435040.92   0.17
15/9-9      2623        6467984.08  435038.52   1609.34     1609.29     0.7         32.74       6467991.47  435040.99   0.19
15/9-9      2623        6467984.08  435038.52   1619.4      1619.35     0.73        28.03       6467991.58  435041.06   0.2
15/9-9      2623        6467984.08  435038.52   1629.46     1629.41     0.77        23.95       6467991.69  435041.11   0.2
15/9-9      2623        6467984.08  435038.52   1639.52     1639.47     0.87        23.41       6467991.83  435041.17   0.3
